28,"Government Boys Primary School, SherWala",Chah Peer Wala (Boa Pur),212010227,,,148,128,276,2,2,4
"",,Chah Peer Wala (Boa Pur),212010235,,,232,197,429,,,
"",,Chah Peer Wala (Boa Pur),212010236,,,440,376,816,,,
28 Total,,,,,,820,701,1521,2,2,4
29,"Government Boys Primary School, SherWala",Akbar Town (Boa Pur),212010230,,,143,111,254,1,1,2
"",,Akbar Town (Boa Pur),212010239,,,131,119,250,,,
"",,Mustafa Wala (Boa Pur),212010231,,,65,54,119,,,
"",,Mustafa Wala (Boa Pur),212010240,,,158,126,284,,,
"",,Mustafa Wala (Boa Pur),212010241,,,111,92,203,,,
29 Total,,,,,,608,502,1110,1,1,2
30,"Government Girls Primary School, BodlaTown",Meher Wala (Boa Pur),212010226,,,108,95,203,2,1,3
"",,Meher Wala (Boa Pur),212010233,,,176,111,287,,,
"",,Meher Wala (Boa Pur),212010234,,,116,102,218,,,
"",,Hassan Abad (Boa Pur),212010228,,,96,86,182,,,
"",,Boa Pur,212010229,,,71,39,110,,,
"",,Boa Pur,212010237,,,48,53,101,,,
"",,Boa Pur,212010238,,,127,105,232,,,
30 Total,,,,,,742,591,1333,2,1,3
31,"Government Girls Primary School, BodlaTown",Bodla Town (Boa Pur),212010222,,,305,0,305,2,0,2
Bodla Town (Boa Pur),212010223,,,321,0,321,,,,,
Bodla Town (Boa Pur),212010232,,,238,0,238,,,,,
Bodla Town (Boa Pur),212010224,,,104,0,104,,,,,
Bodla Town (Boa Pur),212010225,,,281,0,281,,,,,
32,"Government Girls Primary School, FakharAbad",Taraf Mubarak Doem,212010201,,,443,0,443,1,0,1
32 Total,,,,,,443,0,443,1,0,1
33,"Government Girls Primary School, FakharAbad",Taraf Mubarak Doem,212010201,,,0,399,399,0,1,1
33 Total,,,,,,0,399,399,0,1,1
34,"Government Boys High School, WapdaColony","Wapda Colony, Piran Ghaib(Jahangirabad)",212010521,,,503,0,503,3,0,3
"",,"Wapda Colony, Piran Ghaib(Jahangirabad)",212010522,,,300,0,300,,,
"",,Chah Jhoke Wala (Jahangirabad),212010523,,,690,0,690,,,
34 Total,,,,,,1493,0,1493,3,0,3
35,"Government Boys High School, WapdaColony","Wapda Colony, Piran Ghaib(Jahangirabad)",212010521,,,0,442,442,0,2,2
"",,"Wapda Colony, Piran Ghaib(Jahangirabad)",212010522,,,0,282,282,,,
"",,Chah Jhoke Wala (Jahangirabad),212010523,,,0,554,554,,,
35 Total,,,,,,0,1278,1278,0,2,2
36,"Government Girls Primary School, 5-Marla Scheme",Toheedabad (Jahangirabad),212010516,,,109,112,221,2,1,3
"",,Toheedabad (Jahangirabad),212010517,,,164,152,316,,,
"",,Toheedabad (Jahangirabad),212010584,,,440,340,780,,,
36 Total,,,,,,713,604,1317,2,1,3
37,"N.F.C. Institute of Engirneering andTechnological Training opposite KhadFactory","Langar Wala Bhaini Sattar(Jahangirabad)",212010519,,,455,0,455,2,0,2
"",,"Langar Wala Bhaini Sattar(Jahangirabad)",212010520,,,161,0,161,,,
"",,"Langar Wala Bhaini Sattar(Jahangirabad)",212010586,,,94,0,94,,,
"",,Khad Factory (Jahangirabad),212010526,,,159,0,159,,,
"",,Khad Factory (Jahangirabad),212010527,,,184,0,184,,,
37 Total,,,,,,1053,0,1053,2,0,2
38,"N.F.C. Institute of Engirneering andTechnological Training opposite KhadFactory","Langar Wala Bhaini Sattar(Jahangirabad)",212010519,,,0,383,383,0,2,2
"",,"Langar Wala Bhaini Sattar(Jahangirabad)",212010520,,,0,129,129,,,
"",,"Langar Wala Bhaini Sattar(Jahangirabad)",212010586,,,0,70,70,,,
"",,Khad Factory (Jahangirabad),212010526,,,0,155,155,,,
"",,Khad Factory (Jahangirabad),212010527,,,0,155,155,,,
38 Total,,,,,,0,892,892,0,2,2
39,"Basic Health Unit, Rajapur",Raja Pur (Jahangirabad),212010507,,,303,247,550,1,1,2
"",,Raja Pur (Jahangirabad),212010508,,,85,88,173,,,
39 Total,,,,,,388,335,723,1,1,2
40,"Government Boys Primary School,Jahangirabad",Chah Dalail Wala (Jahangirabad),212010510,,,155,115,270,2,2,4
"",,Chah Dalail Wala (Jahangirabad),212010511,,,256,224,480,,,
"",,"Chah Dalail Wala Raja Pur(Jahangirabad)",212010512,,,198,157,355,,,
"",,"Chah Dalail Wala Raja Pur(Jahangirabad)",212010513,,,474,433,907,,,
40 Total,,,,,,1083,929,2012,2,2,4
Basti Dhor Kot,212010623,,,0,590,590,,,,,
41 Total,,,,,,0,994,994,0,2,2
42,"Government Girls Primary School, DhorKot",Pul Wasal Suraj Miani,212010615,,,414,336,750,1,1,2
"",,Chah Moulvi Wala Kotla Waris Shah,212010637,,,83,81,164,,,
42 Total,,,,,,497,417,914,1,1,2
43,"221Government Girls Middle School, HajiPur",Hafeezabad Durana Langana,212010410,,,38,176,214,1,1,2
"",,Hafeezabad Durana Langana,212010423,,,51,48,99,,,
"",,Hafeezabad Durana Langana,212010424,,,46,100,146,,,
"",,Hafeezabad Durana Langana,212010411,,,78,111,189,,,
"",,Hafeezabad Durana Langana,212010425,,,77,95,172,,,
"",,Hafeezabad Durana Langana,212010426,,,355,55,410,,,
43 Total,,,,,,645,585,1230,1,1,2
44,"225Government Boys Primary School,Basti Shor Kot",Basti Shor Kot Durana Langana,212010412,,,352,356,708,2,1,3
"",,Basti Shor Kot Durana Langana,212010427,,,338,252,590,,,
44 Total,,,,,,690,608,1298,2,1,3
45,"236Government Girls Primary School,Bodla Town",Bodla Town (Boa Pur),212010222,,,0,143,143,0,2,2
"",,Bodla Town (Boa Pur),212010223,,,0,148,148,,,
"",,Bodla Town (Boa Pur),212010232,,,0,379,379,,,
"",,Bodla Town (Boa Pur),212010224,,,0,97,97,,,
"",,Bodla Town (Boa Pur),212010225,,,0,216,216,,,
45 Total,,,,,,0,983,983,0,2,2
46,"264Government Girls Primary School, 5-Marla Scheme",Chah Pipal Wala (Jahangirabad),212010518,,,308,338,646,1,1,2
"",,Chah Pipal Wala (Jahangirabad),212010585,,,161,74,235,,,
46 Total,,,,,,469,412,881,1,1,2
47,"Government Boys Primary School,Bahwalpur Sukha",Bahawalpur Sukha,212020401,,,336,277,613,2,1,3
"",,Bahawalpur Sukha,212020404,,,445,334,779,,,
47 Total,,,,,,781,611,1392,2,1,3
48,"Government Boys Primary School,Bahwalpur Sukha",Bahawalpur Sukha,212020402,,,490,423,913,2,2,4
"",,Bahawalpur Sukha,212020403,,,361,235,596,,,
"",,Bahawalpur Sukha,212020417,,,304,201,505,,,
48 Total,,,,,,1155,859,2014,2,2,4
49,"Government Boys Primary School, BanWala",Alamgir,212020414,,,543,370,913,2,2,4
"",,Alamgir,212020415,,,227,301,528,,,
49 Total,,,,,,770,671,1441,2,2,4
50,"Government Girls Middle School, Alamgir(Qayyum Wala)",Alamgir,212020405,,,455,405,860,2,2,4
"",,Alamgir,212020406,,,248,216,464,,,
"",,Alamgir,212020407,,,225,163,388,,,
"",,Alamgir,212020418,,,226,207,433,,,
50 Total,,,,,,1154,991,2145,2,2,4
51,"Government Girls Middle School Alamgir(Qayyum wala)",Alamgir,212020408,,,406,295,701,2,1,3
"",,Alamgir,212020409,,,301,305,606,,,
51 Total,,,,,,707,600,1307,2,1,3
52,"Government Boys Primary School,Alamgir",Alamgir,212020410,,,139,80,219,1,1,2
"",,Alamgir,212020411,,,381,327,708,,,
52 Total,,,,,,520,407,927,1,1,2
53,"Government Boys Primary School KotlaAbul Feteh",Kotla Abdul Fateh,212020126,,,488,442,930,2,2,4
"",,Kotla Abdul Fateh,212020127,,,370,313,683,,,
"",,Kotla Abdul Fateh,212020128,,,361,329,690,,,
53 Total,,,,,,1219,1084,2303,2,2,4
54,"Government Boys Primary School, BanWala",Wan Chatta,212020416,,,185,140,325,1,1,2
Wan Chatta,212020419,,,326,301,627,,,,,
55,"Government Boys Primary School,Alamgir",Alamgir,212020412,,,498,383,881,2,2,4
"",,Alamgir,212020413,,,351,283,634,,,
55 Total,,,,,,849,666,1515,2,2,4
56,"Office of the Union Council, Qasim Bela",Qasim Bela,212020713,,,173,0,173,3,0,3
"",,Qasim Bela,212020714,,,717,0,717,,,
"",,Qasim Bela,212020715,,,349,0,349,,,
"",,Qasim Bela,212020728,,,211,0,211,,,
56 Total,,,,,,1450,0,1450,3,0,3
57,"Govt. Boys High School, Qasim Bela",Qasim Bela,212020713,,,0,151,151,0,2,2
"",,Qasim Bela,212020714,,,0,589,589,,,
"",,Qasim Bela,212020715,,,0,247,247,,,
"",,Qasim Bela,212020728,,,0,221,221,,,
57 Total,,,,,,0,1208,1208,0,2,2
58,"Government Girls Elementary School,Qasim Bela",Qasim Bela,212020706,,,660,0,660,4,0,4
"",,Qasim Bela,212020707,,,504,0,504,,,
"",,Qasim Bela,212020708,,,553,0,553,,,
"",,Qasim Bela,212020709,,,82,0,82,,,
58 Total,,,,,,1799,0,1799,4,0,4
59,"Government Girls Elementary School,Qasim Bela",Qasim Bela,212020706,,,0,537,537,0,3,3
"",,Qasim Bela,212020707,,,0,335,335,,,
"",,Qasim Bela,212020708,,,0,399,399,,,
"",,Qasim Bela,212020709,,,0,72,72,,,
59 Total,,,,,,0,1343,1343,0,3,3
60,"Government Boys Primary School,Langriyal",Langrial,212020303,,,592,0,592,4,0,4
"",,Langrial,212020304,,,482,0,482,,,
"",,Jalil Pur,212020308,,,484,0,484,,,
"",,Jalil Pur,212020309,,,308,0,308,,,
60 Total,,,,,,1866,0,1866,4,0,4
61,"Government Boys Primary School,Langriyal",Langrial,212020303,,,0,413,413,0,3,3
"",,Langrial,212020304,,,0,367,367,,,
"",,Jalil Pur,212020308,,,0,390,390,,,
"",,Jalil Pur,212020309,,,0,256,256,,,
61 Total,,,,,,0,1426,1426,0,3,3
62,"Government Boys High School, QasimBela",Qasim Bela,212020716,,,294,0,294,4,0,4
"",,Qasim Bela,212020717,,,487,0,487,,,
"",,Qasim Bela,212020729,,,203,0,203,,,
"",,Qasim Bela,212020718,,,152,0,152,,,
"",,Qasim Bela,212020719,,,246,0,246,,,
"",,Qasim Bela,212020730,,,78,0,78,,,
"",,Qasim Bela,212020731,,,327,0,327,,,
"",,Qasim Bela,212020732,,,71,0,71,,,
62 Total,,,,,,1858,0,1858,4,0,4
63,"Government Boys High School, QasimBela",Qasim Bela,212020716,,,0,187,187,0,3,3
"",,Qasim Bela,212020717,,,0,456,456,,,
"",,Qasim Bela,212020729,,,0,189,189,,,
"",,Qasim Bela,212020718,,,0,171,171,,,
"",,Qasim Bela,212020719,,,0,206,206,,,
"",,Qasim Bela,212020730,,,0,191,191,,,
"",,Qasim Bela,212020731,,,0,121,121,,,
"",,Qasim Bela,212020732,,,0,40,40,,,
63 Total,,,,,,0,1561,1561,0,3,3
Muhammad Pur Ghota,212020702,,,652,0,652,,,,,
64 Total,,,,,,973,0,973,2,0,2
65,"Government Girls Primary School,Muhammad Pur Ghota",Muhammad Pur Ghota,212020702,,,0,548,548,0,2,2
"",,Muhammad Pur Ghota,212020703,,,0,279,279,,,
65 Total,,,,,,0,827,827,0,2,2
66,"Government Boys Primary School, BastiKhair Pur Bhutta",Qasim Bela,212020710,,,232,0,232,3,0,3
"",,Qasim Bela,212020711,,,323,0,323,,,
"",,Qasim Bela,212020726,,,230,0,230,,,
"",,Qasim Bela,212020712,,,288,0,288,,,
"",,Qasim Bela,212020727,,,614,0,614,,,
66 Total,,,,,,1687,0,1687,3,0,3
67,"Government Boys Primary School, BastiKhair Pur Bhutta",Qasim Bela,212020704,,,0,233,233,0,4,4
"",,Qasim Bela,212020705,,,0,106,106,,,
"",,Qasim Bela,212020724,,,0,188,188,,,
"",,Qasim Bela,212020725,,,0,127,127,,,
"",,Qasim Bela,212020710,,,0,489,489,,,
"",,Qasim Bela,212020711,,,0,190,190,,,
"",,Qasim Bela,212020726,,,0,135,135,,,
"",,Qasim Bela,212020712,,,0,212,212,,,
"",,Qasim Bela,212020727,,,0,266,266,,,
67 Total,,,,,,0,1946,1946,0,4,4
68,"Government Girls Primary School, BastiKhair Pur Bhutta",Khair Pur,212020514,,,188,0,188,2,0,2
"",,Khair Pur,212020515,,,712,0,712,,,
"",,Khair Pur,212020516,,,63,0,63,,,
"",,Khair Pur,212020517,,,245,0,245,,,
68 Total,,,,,,1208,0,1208,2,0,2
69,"Government Girls Primary School, BastiKhair Pur Bhutta",Khair Pur,212020514,,,0,145,145,0,2,2
"",,Khair Pur,212020515,,,0,539,539,,,
"",,Khair Pur,212020516,,,0,55,55,,,
"",,Khair Pur,212020517,,,0,201,201,,,
69 Total,,,,,,0,940,940,0,2,2
70,"Government Basic Health Centre, QasimBela",Arjwain Sharif,212020720,,,481,0,481,3,0,3
"",,Arjwain Sharif,212020733,,,140,0,140,,,
"",,Arjwain Sharif,212020721,,,465,0,465,,,
"",,Arjwain Sharif,212020722,,,486,0,486,,,
70 Total,,,,,,1572,0,1572,3,0,3
71,"Government Girls Middle School, ThathiKhawaran",Muhammad Pur Ghota,212020701,,,1123,0,1123,2,0,2
71 Total,,,,,,1123,0,1123,2,0,2
72,"Government Girls Primary School, KhorSajri Wahin",Langrial,212020301,,,229,178,407,2,2,4
"",,Langrial,212020302,,,321,256,577,,,
"",,Kamun Khor,212020305,,,320,269,589,,,
72 Total,,,,,,870,703,1573,2,2,4
73,"Government Girls Primary School, TibbaMasood Pur (Chah Karari Wala) (BastiKhairu)",Masood Pur Tibba,212020501,,,291,0,291,2,0,2
"",,Masood Pur Tibba,212020502,,,189,0,189,,,
"",,Masood Pur Tibba,212020503,,,703,0,703,,,
73 Total,,,,,,1183,0,1183,2,0,2
74,"Government Girls Primary School, TibbaMasood Pur (Chah Karari Wala) (BastiKhairu)",Masood Pur Tibba,212020501,,,0,265,265,0,2,2
Masood Pur Tibba,212020502,,,0,124,124,,,,,
Masood Pur Tibba,212020503,,,0,645,645,,,,,
75,"Government Girls Primary School, DoulatAbad",Khair Pur,212020518,,,450,417,867,1,1,2
75 Total,,,,,,450,417,867,1,1,2
76,"Government Boys Primary School, TibbaMasood Pur",Masood Pur Tibba,212020506,,,656,600,1256,2,1,3
76 Total,,,,,,656,600,1256,2,1,3
77,"Government Boys Primary School, JakharPur Ghota",Jakhar Pur,212020819,,,634,0,634,3,0,3
"",,Jakhar Pur,212020820,,,249,0,249,,,
"",,Jakhar Pur,212020821,,,436,0,436,,,
77 Total,,,,,,1319,0,1319,3,0,3
78,"Government Boys Primary School, JakharPur",Jakhar Pur,212020822,,,501,404,905,1,1,2
78 Total,,,,,,501,404,905,1,1,2
79,"Government Girls Primary School, TibbaMasood Pur (Mouza Jakhar Pur)",Jakhar Pur,212020819,,,0,502,502,0,2,2
"",,Jakhar Pur,212020820,,,0,226,226,,,
"",,Jakhar Pur,212020821,,,0,401,401,,,
79 Total,,,,,,0,1129,1129,0,2,2
80,"Government Girls Primary School,Jalalabad",Jakhar Pur,212020834,,,82,17,99,1,1,2
"",,Jakhar Pur,212020835,,,56,112,168,,,
"",,Jakhar Pur,212020845,,,71,86,157,,,
80 Total,,,,,,209,215,424,1,1,2
81,"Government Girls Middle School,Industrial Estate",Jungle Bhera,212020615,,,296,269,565,1,1,2
"",,Jungle Bhera,212020631,,,320,265,585,,,
81 Total,,,,,,616,534,1150,1,1,2
82,"Government Boys Al-Hussain PrimarySchool, Haji Block Jungle Bhera",Jungle Bhera,212020617,,,262,231,493,2,2,4
"",,Jungle Bhera,212020618,,,319,263,582,,,
"",,Jungle Bhera,212020621,,,449,391,840,,,
82 Total,,,,,,1030,885,1915,2,2,4
83,"Government Girls Primary School, HajiBlock Jungle Bhera",Jungle Bhera,212020616,,,40,0,40,2,0,2
"",,Jungle Bhera,212020632,,,69,0,69,,,
"",,Jungle Bhera,212020619,,,319,0,319,,,
"",,Jungle Bhera,212020620,,,378,0,378,,,
"",,Jungle Bhera,212020622,,,111,0,111,,,
83 Total,,,,,,917,0,917,2,0,2
84,"Government Girls Primary School, HajiBlock Jungle Bhera",Jungle Bhera,212020616,,,0,28,28,0,2,2
"",,Jungle Bhera,212020632,,,0,63,63,,,
"",,Jungle Bhera,212020619,,,0,238,238,,,
"",,Jungle Bhera,212020620,,,0,396,396,,,
"",,Jungle Bhera,212020622,,,0,86,86,,,
84 Total,,,,,,0,811,811,0,2,2
85,"Government Girls Primary School, JungleBhera No. 2 (Green Town)",Jungle Bhera,212020608,,,71,66,137,2,2,4
"",,Jungle Bhera,212020609,,,376,325,701,,,
"",,Jungle Bhera,212020610,,,502,450,952,,,
85 Total,,,,,,949,841,1790,2,2,4
86,"Government Girls Middle School,Industry Area",Jungle Bhera,212020611,,,202,199,401,2,1,3
"",,Jungle Bhera,212020612,,,450,321,771,,,
86 Total,,,,,,652,520,1172,2,1,3
87,"Government Girls Middle School,Industry Area",Jungle Bhera,212020613,,,227,182,409,2,2,4
"",,Jungle Bhera,212020630,,,303,275,578,,,
"",,Jungle Bhera,212020614,,,304,231,535,,,
87 Total,,,,,,834,688,1522,2,2,4
88,Pasco Godown Industrial Estate,Mehdi Pur,212020624,,,353,0,353,3,0,3
"",,Mehdi Pur,212020625,,,167,0,167,,,
"",,Mehdi Pur,212020626,,,449,0,449,,,
88 Total,,,,,,1540,0,1540,3,0,3
89,Pasco Godown Industrial Estate,Mehdi Pur,212020623,,,0,465,465,0,2,2
"",,Mehdi Pur,212020624,,,0,339,339,,,
"",,Mehdi Pur,212020625,,,0,144,144,,,
"",,Mehdi Pur,212020626,,,0,337,337,,,
89 Total,,,,,,0,1285,1285,0,2,2
90,"Government Boys Elementary School,Ahmed Pur Bhutta",Masood Pur Tibba,212020507,,,254,0,254,3,0,3
"",,Masood Pur Tibba,212020508,,,441,0,441,,,
"",,Masood Pur Tibba,212020509,,,693,0,693,,,
90 Total,,,,,,1388,0,1388,3,0,3
91,"Government Boys Elementary School,Ahmed Pur Bhutta",Masood Pur Tibba,212020507,,,0,191,191,0,2,2
"",,Masood Pur Tibba,212020508,,,0,364,364,,,
"",,Masood Pur Tibba,212020509,,,0,560,560,,,
91 Total,,,,,,0,1115,1115,0,2,2
92,Government C.T.M Boys High School,Muzaffarabad,212020801,,,270,0,270,4,0,4
"",,Muzaffarabad,212020842,,,263,0,263,,,
"",,Muzaffarabad,212020802,,,224,0,224,,,
"",,Muzaffarabad,212020803,,,189,0,189,,,
"",,Muzaffarabad,212020804,,,186,0,186,,,
"",,Muzaffarabad,212020805,,,180,0,180,,,
"",,Jakhar Pur,212020825,,,617,0,617,,,
92 Total,,,,,,1929,0,1929,4,0,4
93,Government C.T.M Boys High School,Muzaffarabad,212020801,,,0,161,161,0,2,2
"",,Muzaffarabad,212020842,,,0,166,166,,,
"",,Muzaffarabad,212020802,,,0,100,100,,,
"",,Muzaffarabad,212020803,,,0,93,93,,,
"",,Muzaffarabad,212020804,,,0,95,95,,,
"",,Muzaffarabad,212020805,,,0,85,85,,,
"",,Jakhar Pur,212020825,,,0,525,525,,,
93 Total,,,,,,0,1225,1225,0,2,2
