Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
38,"Govt Girls High  School, Chak No.360/WB (Comb) (P)",Chak No. 360/WB,219031204,,,,661,563,1224,2,1,3
39,"Govt. Girls Higher Secondary School,Chak No.365/WB(Comb) (P)",Chak No.365/WB,219031205,,,,433,387,820,2,1,3
39,,Chak No.365/WB,219031206,,,,246,204,450,,,
Total,,,,,,,679,591,1270,2,1,3
40,"Govt Boys Middle  School,Chak No.365/WB (Comb) (P)",Chak No.365/WB,219031207,,,,294,259,553,1,1,2
Total,,,,,,,294,259,553,1,1,2
41,"Govt Boys Middle School,Tahir Bhutta (Comb) (P)",Thair Bhutta,219031201,,,,432,395,827,2,2,4
41,,Thair Bhutta,219031202,,,,249,189,438,,,
Total,,,,,,,681,584,1265,2,2,4
42,"Govt. Boys High School, Chak No. 362/WB (Comb) (P)",Chak No.362/WB,219030508,,,,595,531,1126,2,2,4
42,,Chak No.362/WB,219030509,,,,409,356,765,,,
Total,,,,,,,1004,887,1891,2,2,4
43,"Govt Boys Middle  School,Chak No. 364/WB  (Comb)(P)",Chak No.364/WB,219030506,,,,724,624,1348,2,2,4
Total,,,,,,,724,624,1348,2,2,4
44,"Govt Girls Middle School, Chak No.364/WB (Comb) (P)",Chak No.364/WB,219030507,,,,511,470,981,1,1,2
Total,,,,,,,511,470,981,1,1,2
45,"Govt Girls Middle School, Chak No. 372/WB (Comb) (P)",Chak No.372/WB,219030501,,,,563,487,1050,2,2,4
45,,Chak No.372/WB,219030502,,,,,,,,,
45,,Chak No.372/WB,219030503,,,,395,311,706,,,
Total,,,,,,,958,798,1756,2,2,4
46,"Govt Model Primary School, 361/WB  (East) (Comb) (P)",Chak No.361/WB (East),219030403,,,,510,396,906,1,1,2
Total,,,,,,,510,396,906,1,1,2
47,"Govt Model Primary School,361/WB  (West) (Comb) (P)",Chak No.361/WB (West),219030404,,,,510,413,923,1,1,2
Total,,,,,,,510,413,923,1,1,2
48,"Govt.Boys Middle School, Chak No. 358/W.B Part I(Comb) (P)",Chak No.358/WB,219030401,,,,832,749,1581,2,2,4
Total,,,,,,,832,749,1581,2,2,4
49,"Govt Boys Middle  School ,Chak No.358/WB Part II(Comb) (P)",Chak No.358/WB,219030402,,,,457,453,910,1,1,2
50,"Govt. Islamia High School,Chak No. 359/WB Part I (Male ) (P)",Chak No.359/WB,219030405,,,,1073,0,1073,2,0,2
50,,Chak No.359/WB,219030406,,,,0,0,0,,,
50,,Kamalpur,219030407,,,,22,0,22,,,
Total,,,,,,,1095,0,1095,2,0,2
51,"Govt. Islamia High School, Chak No.359/WB Part-II(Female) (P)",Chak No.359/WB,219030405,,,,0,839,839,0,2,2
51,,Chak No.359/WB,219030406,,,,0,0,0,,,
51,,Kamalpur,219030407,,,,0,18,18,,,
Total,,,,,,,0,857,857,0,2,2
52,"Govt.Boys Higher Secondary School, Makhdoom Aali(Male)(P)",Makhdoom Aali,219031001,,,,145,0,145,2,0,2
52,,Makhdoom Aali,219031002,,,,821,0,821,,,
52,,Makhdoom Aali,219031003,,,,,,,,,
Total,,,,,,,966,0,966,2,0,2
53,"Govt. Girls High School, Makhdoom Aali  (Female)(P)",Makhdoom Aali,219031001,,,,0,116,116,0,2,2
53,,Makhdoom Aali,219031002,,,,0,758,758,,,
53,,Makhdoom Aali,219031003,,,,,,,,,
Total,,,,,,,0,874,874,0,2,2
54,"Govt Boys Primary School,Chak No.366/WB (Comb) (P)",Chak No.366/WB,219031004,,,,711,626,1337,2,2,4
54,,Chak No.366/WB,219031005,,,,,,,,,
Total,,,,,,,711,626,1337,2,2,4
55,"Govt.Boys Higher Secondary School, Makhdoom Aali(Comb) (P)",Chak No.366/WB,219031006,,,,800,734,1534,2,2,4
55,,Chak No.366/WB,219031007,,,,,,,,,
Total,,,,,,,800,734,1534,2,2,4
56,"Govt Boys Middle  School,Chak No. 388/WB (Male )(P)",Chak No.388/WB,219031008,,,,548,0,548,3,0,3
56,,Chak No.388/WB,219031009,,,,643,0,643,,,
Total,,,,,,,1191,0,1191,3,0,3
57,"Govt Girls Community Model School, Chak No.388/WB(Female)(P)",Chak No.388/WB,219031008,,,,0,494,494,0,2,2
57,,Chak No.388/WB,219031009,,,,0,561,561,,,
58,"Govt. Girls High School, Chak No. 363/WB (Comb) (P)",Chahan Gardhari Lal,219031010,,,,185,168,353,2,2,4
58,,Chak No.363/WB,219031011,,,,813,733,1546,,,
Total,,,,,,,998,901,1899,2,2,4
59,"Govt Model Primary School,Chak No. 390/WB (Comb)(P)",Chak No.390/WB,219031013,,,,543,414,957,2,1,3
Total,,,,,,,543,414,957,2,1,3
60,"Govt Model Primary School,Chak No. 367/WB (Comb)(P)",Chak No.367/WB,219031012,,,,652,610,1262,2,2,4
Total,,,,,,,652,610,1262,2,2,4
61,"Govt. Higher Secondary School, Jalla Arain Part-I(Comb) (P)",Jalla Arain,219031101,,,,596,430,1026,2,2,4
61,,Jalla Arain,219031102,,,,,,,,,
61,,Jalla Arain,219031106,,,,232,222,454,,,
Total,,,,,,,828,652,1480,2,2,4
62,"Govt. Higher Secondary School, Jalla Arain Part-II(Comb) (P)",Jalla Arain,219031103,,,,434,335,769,2,2,4
62,,Jalla Arain,219031104,,,,488,426,914,,,
Total,,,,,,,922,761,1683,2,2,4
63,"Basic Health Unit, Jalla Arain (Comb) (P)",Jalla Arain,219031107,,,,919,757,1676,2,2,4
63,,Jalla Arain,219031108,,,,,,,,,
Total,,,,,,,919,757,1676,2,2,4
64,"Govt.Girls Higher Secondary School,Jalla Arain Part-I(Comb) (P)",Jalla Arain,219031109,,,,804,694,1498,2,2,4
Total,,,,,,,804,694,1498,2,2,4
65,"Govt.Girls Higher Secondary School,Jalla Arain Part-II(Comb) (P)",Jalla Arain,219031105,,,,431,395,826,2,2,4
65,,Jalla Arain,219031110,,,,474,457,931,,,
65,,,219031111,,,,,,,,,
Total,,,,,,,905,852,1757,2,2,4
66,"Govt.Boys High School, Chak No. 384/WB (Comb) (P)",Chak No.384/WB,219030702,,,,561,476,1037,2,2,4
66,,Chak No.384/WB,219030703,,,,315,285,600,,,
Total,,,,,,,876,761,1637,2,2,4
67,"Govt Girls Middle School,Chak No. 383/WB (Comb) (P)",Chak No.385/WB,219030704,,,,277,214,491,2,2,4
67,,Chak Sardar Khan,219030705,,,,248,203,451,,,
67,,Chak No.383/WB,219030701,,,,290,255,545,,,
Total,,,,,,,815,672,1487,2,2,4
68,"Basic Health Unit, Chak No.1-4/MPR (Comb) (P)",Chak No.1-4/MPR,219040501,,,,832,656,1488,2,2,4
68,,Chak No.1-4/MPR,219040502,,,,,,,,,
Total,,,,,,,832,656,1488,2,2,4
69,"Govt. Boys Primary School, 1-4/MPR (Comb) (P)",Chak No.1-4/MPR,219040503,,,,263,207,470,1,1,2
69,,Chak No.5/MPR,219040504,,,,8,4,12,,,
69,,Chak No.6/MPR,219040505,,,بے چراغ,0,0,0,,,
69,,Chak No.8/MPR,219040507,,,بے چراغ,0,0,0,,,
Total,,,,,,,271,211,482,1,1,2
70,"Govt Center Primary School, Kotli Wajwah Part-I(Comb) (P)",Kotli Wahjwah,219040401,,,,704,521,1225,2,1,3
Total,,,,,,,704,521,1225,2,1,3
71,"Govt Center Primary School, Kotli Wajwah Part-II(Comb) (P)",Kotli Wahjwah,219040402,,,,617,463,1080,2,1,3
Total,,,,,,,617,463,1080,2,1,3
72,"Govt. Model Elementary School, Chak No.9/MPR(Comb) (P)",Chak No.9/MPR,219040404,,,,305,250,555,2,1,3
72,,Ismail Jhndir,219040403,,,,181,138,319,,,
72,,Chak No.15/MPR,219040406,,,,15,14,29,,,
72,,Chak No.10/MPR,219040405,,,,248,216,464,,,
Total,,,,,,,749,618,1367,2,1,3
73,"Govt Girls Primary School, Chak No.39/M (Comb) (P)",Chak No.39/M,219040201,,,,424,346,770,2,1,3
73,,Chak No.40/M,219040202,,,,268,188,456,,,
Total,,,,,,,692,534,1226,2,1,3
74,"Govt Boys Primary School, Chak No.41/M (Comb) (P)",Chak No.41/M,219040203,,,,355,266,621,1,1,2
74,,Chak No.41/M,219040204,,,,93,75,168,,,
Total,,,,,,,448,341,789,1,1,2
75,"Govt.Boys Middle School, Chak No. 44/M (Comb) (P)",Chak No.44/M,219040209,,,,731,561,1292,2,1,3
Total,,,,,,,731,561,1292,2,1,3
76,"Govt Girls Primary School No-2, Chak No.45/M (Comb)(P)",Chak No.45/M,219040210,,,,291,255,546,2,2,4
76,,Chak No.45/M,219040211,,,,472,390,862,,,
Total,,,,,,,763,645,1408,2,2,4
77,"Govt Boys Primary School, Chak No.46/M (Comb) (P)",Chak No.46/M,219040212,,,,775,604,1379,2,1,3
78,"Govt.Boys Middle School, Chak No. 42/M (Comb) (P)",Chak No.42/M,219040205,,,,269,188,457,2,1,3
78,,Chak No.42/M,219040206,,,,334,288,622,,,
Total,,,,,,,603,476,1079,2,1,3
79,"Govt Boys Primary School,Chak No. 43/M (Comb) (T)",Chak No.43/M,219040207,,,,226,160,386,2,2,4
79,,Chak No.43/M,219040208,,,,605,490,1095,,,
Total,,,,,,,831,650,1481,2,2,4
80,"Govt Girls  Primary School, Chak No.25-M(P)",Chak No. 25/M,219040301,,,,417,298,715,2,2,4
"",,Chak No. 25/M,219040302,,,,516,387,903,,,
Total,,,,,,,933,685,1618,2,2,4
81,"Govt Girls Middle School, 26-M East  (P)",Chak No. 26/M (East ),219040305,,,,286,232,518,1,1,2
Total,,,,,,,286,232,518,1,1,2
82,"Govt. Boys Primary School, 26-M West Part-I (P)",Chak No. 26/M ( West ),219040303,,,,314,0,314,2,0,2
"",,Chak No. 26/M ( West ),219040304,,,,818,0,818,,,
Total,,,,,,,1132,0,1132,2,0,2
83,"Govt. Boys Primary School, 26-M West Part-II  (P)",Chak No. 26/M ( West ),219040303,,,,0,213,213,0,2,2
"",,Chak No. 26/M ( West ),219040304,,,,0,682,682,,,
Total,,,,,,,0,895,895,0,2,2
84,"Govt Girls  Primary School, Bohar Mailsi(P)",Bohar Mailsi,219040603,,,,562,449,1011,1,1,2
Total,,,,,,,562,449,1011,1,1,2
85,"Govt Boys Primary School, Fateh pur(P)",Fateh pur,219040601,,,,526,375,901,2,1,3
"",,Fateh pur,219040602,,,,293,236,529,,,
Total,,,,,,,819,611,1430,2,1,3
86,"Govt Boys Elementary School, 38-M(P)",Chak No. 38/M,219040306,,,,686,386,1072,1,1,2
Total,,,,,,,686,386,1072,1,1,2
87,"Govt Boys Primary School, Bhutta Wala ( Part-1)(P)",Dunyapur East,219010101,,,,745,586,1331,2,1,3
Total,,,,,,,745,586,1331,2,1,3
88,"Govt Boys Primary School, Bhutta Wala (Part-II)(P)",Dunyapur East,219010102,,,,410,310,720,2,1,3
"",,Dunyapur East,219010103,,,,507,337,844,,,
Total,,,,,,,917,647,1564,2,1,3
89,"Govt Girls  Primary School, Sadiq Wala Part-I (P)",Dunyapur West,219010201,,,,455,265,720,1,1,2
"",,Dunyapur West,219010203,,,,212,153,365,,,
Total,,,,,,,667,418,1085,1,1,2
90,"Govt Girls  Primary School,  Sadiq Wala Part-II (P)",Dunyapur West,219010202,,,,567,447,1014,1,1,2
Total,,,,,,,567,447,1014,1,1,2
91,"Govt Boys Primary School, 24-M(P)",Chak No. 24/M,219010206,,,,422,326,748,1,1,2
"",,Chak No. 24/M,219010207,,,,321,216,537,,,
Total,,,,,,,743,542,1285,1,1,2
92,"Govt Girls Middle School, 16-M(P)",Chak No. 16/M,219010204,,,,549,353,902,1,1,2
"",,Chak No. 16/M,219010205,,,,157,103,260,,,
Total,,,,,,,706,456,1162,1,1,2
"",,Chak No. 327/WB,219010802,,,,536,433,969,,,
Total,,,,,,,917,730,1647,2,2,4
94,"Govt Girls  Primary School, Chak No. 323/WB(P)",Chak No. 323/WB,219010803,,,,631,507,1138,2,2,4
"",,Chak No. 325/WB,219010804,,,,350,225,575,,,
Total,,,,,,,981,732,1713,2,2,4
95,"Govt Boys Primary School, Chak No. 329/WB(P)",Chak No. 329/WB,219010805,,,,90,67,157,1,1,2
"",,Chak No. 329/WB,219010806,,,,434,334,768,,,
Total,,,,,,,524,401,925,1,1,2
96,"Govt Girls High School, Chak No. 319/WB Part-I (P)",Chak No. 319/WB,219011104,,,,416,0,416,2,0,2
"",,Chak No. 319/WB,219011105,,,,502,0,502,,,
"",,Chak No. 319/WB,219011106,,,,168,0,168,,,
Total,,,,,,,1086,0,1086,2,0,2
97,"Govt Girls High School, Chak No. 319/WB Part-II (P)",Chak No. 319/WB,219011104,,,,0,354,354,0,3,3
"",,Chak No. 319/WB,219011105,,,,0,492,492,,,
"",,Chak No. 319/WB,219011106,,,,0,171,171,,,
Total,,,,,,,0,1017,1017,0,3,3
98,"Govt Girls  Primary School, Rukan Dinpur(P)",Rukan Din pur,219011101,,,,459,408,867,1,1,2
"",,Kotal Hassan Khan,219011111,,,,101,79,180,,,
Total,,,,,,,560,487,1047,1,1,2
99,"Govt Boys High School, Chak No. 321/WB Part-I (P)",Chak No. 321/WB,219011102,,,,528,442,970,1,1,2
Total,,,,,,,528,442,970,1,1,2
100,"Govt Boys High School, Chak No. 321/WB Part-II (P)",Chak No. 321/WB,219011103,,,,596,514,1110,0,1,2
Total,,,,,,,596,514,1110,0,1,2
101,"Govt Girls  Primary School, Chak No.. 305/WB(P)",Chak No. 305/WB,219010405,,,,249,146,395,1,1,2
Chak No. 305/WB,219010406,,,,253,166,419,,,,,
102,"Govt Girls  Middle School, Chak No. 313/WB(P)",Chak No. 313/WB,219010404,,,,593,447,1040,1,1,2
Total,,,,,,,593,447,1040,1,1,2
103,"Govt Boys Primary School, Chak No. 307/WB(P)",Chak No. 307/WB,219010403,,,,813,650,1463,2,2,4
Total,,,,,,,813,650,1463,2,2,4
104,"Govt Boys Primary School, Chak No. 315/WB(P)",Chak No. 315/WB,219010401,,,,608,457,1065,2,1,3
"",,Chak No. 315/WB,219010402,,,,262,219,481,,,
Total,,,,,,,870,676,1546,2,1,3
105,"Govt Boys High School, Qutabpur  Part-I (P)",Qutab Pur,219010304,,,,830,684,1514,2,1,3
Total,,,,,,,830,684,1514,2,1,3
106,"Govt Boys High School, Qutabpur Male Part-II (P)",Qutab Pur,219010306,,,,651,0,651,2,0,2
"",,Qutab Pur,219010307,,,,252,0,252,,,
"",,Qutab Pur,219010310,,,,379,0,379,,,
Total,,,,,,,1282,0,1282,2,0,2
107,"Govt Boys High School, Qutabpur Female Part-III (P)",Qutab Pur,219010306,,,,0,462,462,0,2,2
"",,Qutab Pur,219010307,,,,0,196,196,,,
"",,Qutab Pur,219010310,,,,0,337,337,,,
Total,,,,,,,0,995,995,0,2,2
108,"Govt Girls High School, Qutabpur Male Part-I (P)",Qutab Pur,219010308,,,,260,0,260,2,0,2
"",,Qutab Pur,219010309,,,,293,0,293,,,
Total,,,,,,,553,0,553,2,0,2
109,"Govt Girls High School, Qutabpur Female Part-II (P)",Qutab Pur,219010308,,,,0,237,237,0,1,1
"",,Qutab Pur,219010309,,,,0,275,275,,,
Total,,,,,,,0,512,512,0,1,1
110,Basic Health Unit Qutabpur Part-I (P),Qutab Pur,219010305,,,,1158,0,1158,2,0,2
Total,,,,,,,1158,0,1158,2,0,2
111,Basic Health Unit Qutabpur Part-II (P),Qutab Pur,219010305,,,,0,941,941,0,2,2
Total,,,,,,,0,941,941,0,2,2
112,"Govt Boys Primary School, Chak 337/WB(P)",Chak No. 337/WB,219010303,,,,610,432,1042,2,1,3
"",,Tibbi Lal Shah,219010302,,,,209,147,356,,,
Total,,,,,,,819,579,1398,2,1,3
113,"Govt Boys Primary School, Balail(P)",Balail,219010301,,,,575,468,1043,1,1,2
Total,,,,,,,575,468,1043,1,1,2
114,"Govt Girls  Primary School, Chak No. 349/WB Part-I (P)",Chak No. 349/WB,219010501,,,,744,627,1371,1,1,2
Total,,,,,,,744,627,1371,1,1,2
115,"Govt Girls  Primary School, Chak No. 349/WB Part-II (P)",Chak No. 347/WB,219010502,,,,435,335,770,1,1,2
Total,,,,,,,435,335,770,1,1,2
116,"Govt Boys High School, Mianpur(P)",Mianpur,219010503,,,,535,499,1034,1,1,2
"",,Mianpur,219010504,,,,132,112,244,,,
Total,,,,,,,667,611,1278,1,1,2
Total,,,,,,,786,671,1457,2,1,3
118,"Govt Boys Primary School, Chak 350/WB(P)",Chak No. 350/WB,219010606,,,,387,325,712,2,1,3
"",,Chak No. 338/WB,219010601,,,,418,250,668,,,
Total,,,,,,,805,575,1380,2,1,3
119,"Govt. Bosy High School, Dola Arain(P)",Dola Arain,219010604,,,,502,423,925,1,1,2
Total,,,,,,,502,423,925,1,1,2
120,"Govt Girls Middle School, Dola Arain(P)",Dola Arain,219010605,,,,564,444,1008,2,1,3
"",,Jodha Ram,219010603,,,,220,144,364,,,
Total,,,,,,,784,588,1372,2,1,3
121,"Govt Boys Primary School, Chak 340/WB(P)",Chak No. 340/WB,219010907,,,,525,445,970,1,1,2
Total,,,,,,,525,445,970,1,1,2
122,"Govt Boys Primary School, 341/WB(P)",Chak No. 341/WB,219010906,,,,763,689,1452,1,1,2
Total,,,,,,,763,689,1452,1,1,2
123,"Govt Boys Primary School, Chak 342/WB  (Male) (P)",Chak No. 342/WB,219010901,,,,102,0,102,4,0,4
"",,Chak No. 342/WB,219010902,,,,942,0,942,,,
"",,Chak No. 342/WB,219010903,,,,50,0,50,,,
"",,Chak No. 342/WB,219010904,,,,443,0,443,,,
"",,Chak No. 342/WB,219010905,,,,208,0,208,,,
Total,,,,,,,1745,0,1745,4,0,4
124,"Govt Girls  Primary School, 342/WB (Female) (P)",Chak No. 342/WB,219010901,,,,0,68,68,0,3,3
"",,Chak No. 342/WB,219010902,,,,0,738,738,,,
"",,Chak No. 342/WB,219010903,,,,0,27,27,,,
"",,Chak No. 342/WB,219010904,,,,0,312,312,,,
"",,Chak No. 342/WB,219010905,,,,0,155,155,,,
Total,,,,,,,0,1300,1300,0,3,3
125,"Govt Boys High School, Chak No. 343/WB(P)",Chak No. 343/WB,219011001,,,,786,668,1454,2,2,4
"",,Chak No. 343/WB,219011002,,,,171,134,305,,,
Total,,,,,,,957,802,1759,2,2,4
126,"Govt Boys Elementary School, Chak 344/WB Male(P)",Chak No. 344/WB,219011003,,,,755,0,755,2,0,2
"",,Chak No. 344/WB,219011004,,,,496,0,496,,,
Total,,,,,,,1251,0,1251,2,0,2
127,"Govt Girls  Primary School, Chak 344/WB Female(P)",Chak No. 344/WB,219011003,,,,0,579,579,0,2,2
"",,Chak No. 344/WB,219011004,,,,0,394,394,,,
Total,,,,,,,0,973,973,0,2,2
128,"Govt Boys Primary School, Chak 357/WB(P)",Chak No. 357/WB,219011005,,,,26,10,36,2,1,3
"",,Chak No. 357/WB,219011006,,,,65,38,103,,,
"",,Chak No. 357/WB,219011007,,,,27,18,45,,,
"",,Chak No. 357/WB,219011008,,,,710,552,1262,,,
Total,,,,,,,828,618,1446,2,1,3
Chak No. 357/WB,219011009,,,,522,389,911,2,2,4,,
"",,Chak No. 357/WB,219011011,,,,231,179,410,,,
Total,,,,,,,974,749,1723,2,2,4
130,"Govt Girls Middle School, Chak 339/WB(P)",Chak No. 339/WB,219010701,,,,744,606,1350,2,1,3
"",,Chak No. 339/WB,219010702,,,,155,112,267,,,
Total,,,,,,,899,718,1617,2,1,3
131,"Govt Middle School, 351/WB(P)",Chak No. 351/WB,219010709,,,,190,147,337,2,1,3
"",,Chak No. 351/WB,219010710,,,,642,576,1218,,,
Total,,,,,,,832,723,1555,2,1,3
132,"Govt Boys High School, 355/WB Part-I Male(P)",Chak No. 355/WB,219010703,,,,392,0,392,3,0,3
"",,Chak No. 355/WB,219010704,,,,340,0,340,,,
"",,Chak No. 355/WB,219010706,,,,251,0,251,,,
"",,Chak No. 355/WB,219010707,,,,309,0,309,,,
"",,Chak No. 355/WB,219010708,,,,189,0,189,,,
Total,,,,,,,1481,0,1481,3,0,3
133,"Govt Boys High School, 355/WB Part-II Female (P)",Chak No. 355/WB,219010703,,,,0,313,313,0,3,3
Chak No. 355/WB,219010704,,,,0,331,331,,,,,
Chak No. 355/WB,219010706,,,,0,215,215,,,,,
