"",PP,Sr#,Polling Station Name,PS Type,"Block
Code",Area,Male Vote,Female Vote,Total Vote,"Male
Booth","Female
Booth","Total
Booth"
141010606","ہیتو نمبر ،1سعید والہ
ہیتو نمبر ،1سعید والہ
ہیتو نمبر ،1سعید والہ","340
82
321
743","314
82
276
672","654
164
597
1415",1,1,2

"",89,112,Govt. Boys Elementary School Jandu,Female,"141010601
141010602
141010603","ہیتو نمبر ،1وانڈھی قادر آباد
ہیتو نمبر ،1سعید والہ
ہیتو نمبر ،1سعید والہ","0
0","326
156
581
1063","326
156
581
1063",0,2,2

"",89,113,Govt. Boys Elementry School Aahiran Wala,Combined,"141010708
141010709
141010710","ہیتو نمبر ،2بکے والہ عمرے والہ
ہیتو نمبر ،2بکے والہ عمرے والہ
ہیتو نمبر ،2بکے والہ عمرے والہ","270
353
201
824","187
199
140
526","457
552
341
1350",2,1,3

"",89,114,Govt. Boys Primary School Dhudhian Wala,Combined,141010707,ہیتو نمبر ،2آہیرانوالہ,"442
442","272
272","714
714",1,1,2

"",89,115,Govt. Boys High School Abbasian Wala,Combined,"141010706
141010711","ہیتو نمبر ،2ڈھڈیانوالہ
ہیتو نمبر ،2ڈھڈیانوالہ","120
150
270","148
74
222","268
224
492",1,1,2

"",89,116,"Govt. Boys Elementary School Hattaran Wala
Shumali",Combined,"141010704
141010705","ہیتو نمبر ،2حطارانوالہ شمالی
ہیتو نمبر ،2عباسیانوالہ","164
728
892","110
507
617","274
1235
1509",2,1,3

"",89,117,Govt. Girls School Bakkay Wala,Combined,"141010802
141010805","ہیتو نمبر ،3نائچا نوالہ
ہیتو نمبر ،3 چاہ نواب والہ","164
522
686","107
386
493","271
908
1179",2,1,3

"",89,118,Govt. Boys Primary School Azizian Wala,Combined,"141010703
141010801
141010806
141010901
141010902","ہیتو نمبر ،2 چاہ حاکم والہ عباسیانوالہ
ہیتو نمبر ،3عمرے والہ حطارانوالہ جنوبی
ہیتو نمبر ،3عمرے والہ حطارانوالہ جنوبی
ہیتونمبر 4
ہیتونمبر 4","438
82
59
12
252
843","282
43
46
8
199
578","720
125
105
20
451
1421",2,1,3

"",89,119,"Govt. Boys Model Primary School Withoay
Wala",Combined,"141010701
141010702","ہیتو نمبر ،2وٹھوئے والہ
ہیتو نمبر ،2وٹھوئے والہ","512
356
868","433
231
664","945
587
1532",2,1,3

"",89,120,Govt. Girls High School Haitoo,Combined,"141010803
141010804","ہیتو نمبر 3
ہیتو نمبر ،3 بکے والہ","467
510
977","366
385
751","833
895
1728",2,1,3

"",89,121,"Govt. Boys High School Jandan Wala (Ele:
Portion)",Male,"141080202
141080205","محلہ عید گاہ شمالی+شمس المدارس - جنڈانوالہ ٹاؤن کمیٹی
محلہ عید گاہ شمالی - جنڈانوالہ ٹاؤن کمیٹی","682
547
1229","0
0","682
547
1229",3,0,3

"",89,122,"Govt. Boys High School Jandan Wala (Ele:
Portion) PS-1",Male,"141080301
141080302","محلہ شمس المدارس - جنڈانوالہ ٹاؤن کمیٹی
محلہ صد یق اکبر+ مستی خیل - جنڈانوالہ ٹاؤن کمیٹی","495
518
1013","0
0","495
518
1013",2,0,2

"",89,123,"Govt. Boys High School Jandan Wala (Sec:
Portion) PS-2",Female,"141080301
141080302","محلہ شمس المدارس - جنڈانوالہ ٹاؤن کمیٹی
محلہ صد یق اکبر+ مستی خیل - جنڈانوالہ ٹاؤن کمیٹی","0
0","420
478
898","420
478
898",0,2,2

89,124,"Govt. Girls Community Model Primary School
Jandan Wala  PS-1",Female,"141080202
141080205","محلہ عید گاہ شمالی+شمس المدارس - جنڈانوالہ ٹاؤن کمیٹی
محلہ عید گاہ شمالی - جنڈانوالہ ٹاؤن کمیٹی","0
0","542
413
955","542
413
955",0,2,2,

"",89,125,"Govt. Girls Community Model Primary School
Jandan Wala  PS-2",Combined,141080201,محلہ عید گاہ شمالی - جنڈانوالہ ٹاؤن کمیٹی,"675
675","609
609","1284
1284",2,1,3

"",89,126,Town Committee office Jandanwala,Male,"141080101
141080102
141080103
141080104
141080105
141080106","محلہ گوہرخانوالہ - جنڈانوالہ ٹاؤن کمیٹی
محلہ مسجد حافظ عباس - جنڈانوالہ ٹاؤن کمیٹی
محلہ موتی مسجد - جنڈانوالہ ٹاؤن کمیٹی
محلہ قذافی + کچے خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ خنان خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ کچے خیل - جنڈانوالہ ٹاؤن کمیٹی","247
467
300
348
97
157
1616","0
0","247
467
300
348
97
157
1616",3,0,3

"",89,127,"Govt. Girls Primary School Moh. Niaz
Muhammad Wala",Female,"141080203
141080204","محلہ گوہرخانوالہ + لیاقت نمبردار - جنڈانوالہ ٹاؤن کمیٹی
محلہ موچیاں والہ + درکھا نانوالہ - جنڈانوالہ ٹاؤن کمیٹی","0
0","380
492
872","380
492
872",0,2,2

"",89,128,Govt Boys Primary School Hayat Mochi wala,Male,"141080203
141080204","محلہ گوہرخانوالہ + لیاقت نمبردار - جنڈانوالہ ٹاؤن کمیٹی
محلہ موچیاں والہ + درکھا نانوالہ - جنڈانوالہ ٹاؤن کمیٹی","514
610
1124","0
0","514
610
1124",2,0,2

"",89,129,Govt. Girls High School Jandan Wala,Female,"141080101
141080102
141080103
141080104
141080105
141080106","محلہ گوہرخانوالہ - جنڈانوالہ ٹاؤن کمیٹی
محلہ مسجد حافظ عباس - جنڈانوالہ ٹاؤن کمیٹی
محلہ موتی مسجد - جنڈانوالہ ٹاؤن کمیٹی
محلہ قذافی + کچے خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ خنان خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ کچے خیل - جنڈانوالہ ٹاؤن کمیٹی","0
0","237
353
234
267
114
142
1347","237
353
234
267
114
142
1347",0,3,3

"",89,130,Govt. Boys Primary School Jandan Wala No. 1,Male,"141080303
141080304
141080305","محلہ مستی خیل + مبارک مسجد - جنڈانوالہ ٹاؤن کمیٹی
محلہ خنان خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ مبارک مسجد+ بھورے والا - جنڈانوالہ ٹاؤن کمیٹی","111
362
445
918","0
0","111
362
445
918",2,0,2

"",89,131,"Govt. Girls Primary School Eid Gah Gharbi
Jandan Wala",Female,"141080303
141080304
141080305","محلہ مستی خیل + مبارک مسجد - جنڈانوالہ ٹاؤن کمیٹی
محلہ خنان خیل - جنڈانوالہ ٹاؤن کمیٹی
محلہ مبارک مسجد+ بھورے والا - جنڈانوالہ ٹاؤن کمیٹی","0
0","91
322
373
786","91
322
373
786",0,2,2

"",89,132,"Govt. Boys Elementary School Chak, No. 35-
36/ML",Combined,"141060602
141060603","چک نمبر 35 ایم ایل
چک نمبر 36 ایم ایل","456
523
979","318
414
732","774
937
1711",2,1,3

"",89,133,"Govt. Boys Primary School Chak, No. 1/TW",Combined,"141060601
141060701
141060702","چک نمبر1 ٹی ڈبلیو
چک نمبر 2 ٹی ڈبلیو
چک نمبر 3 ٹی ڈبلیو","586
211
120
917","439
147
100
686","1025
358
220
1603",2,1,3

"",89,134,Govt. Boys Primary School Chak No. 37/ML,Combined,141060501,چک نمبر37 ایم ایل,"575
575","448
448","1023
1023",1,1,2

"",89,135,"Govt. Boys Primary School Chak, No. 38/ML",Combined,"141050801
141060502","چک نمبر 38 اے ایم ایل، علی خیل، ڈیرہ سلطان والہ
چک نمبر38 ایم ایل","271
121
392","219
106
325","490
227
717",1,1,2

"",89,136,"Govt. Boys Primary School Chak, No. 39/ML",Combined,141060503,چک نمبر 39ایم ایل,"324
324","221
221","545
545",1,1,2

89,137,"Govt. Boys Primary School Chak, No. 40/ML",Combined,141060504,چک نمبر 40ایم ایل,"535
535","402
402","937
937",1,1,2,

"",89,138,Govt. Boys High School Ummer Wali,Combined,"141040201
141040202
141040203","عمر والی ڈگر، چاہ خدایاروالہ
عمر والی ڈگر، چاہ خدایاروالہ
عمر والی ڈگر، چنگڑانوالی","217
617
138
972","179
509
109
797","396
1126
247
1769",2,1,3

"",89,139,Govt. Boys High School Ummer Wali,Combined,"141030701
141030702
141030703
141040204
141040205
141040206","کہاوڑخورد
بھلہ
روحیلہ شرقی
عمر والی ڈگر، کہاوڑخورد
عمر والی ڈگر،چنگڑانوالی
عمر والی ڈگر،چنگڑانوالی","159
8
0
42
399
65
673","117
5
0
25
320
37
504","276
13
0
67
719
102
1177",1,1,2

"",89,140,Govt Boys Primary School Rohela Gharbi,Combined,"141030801
141030802
141030803
141030804","روحیلہ غربی
روحیلہ غربی
روحیلہ غربی
روحیلہ غربی","205
302
146
98
751","106
202
82
71
461","311
504
228
169
1212",2,1,3

"",89,141,Govt. Boys Primary School Mallana Daggar,Combined,"141010401
141010402
141010403
141010404","ملانہ ڈگر
ملانہ ڈگر
ملانہ نشیب
ملانہ ڈگر","702
109
14
87
912","595
94
14
75
778","1297
203
28
162
1690",2,1,3

"",89,142,Govt. Girls High School Noon Daggar,Combined,141010501,نون ڈگر,"585
585","470
470","1055
1055",1,1,2

"",89,143,"Govt. Boys Elementary School Noon Daggar
(Middle Portion)",Combined,"141010502
141010503
141010504","نون ڈگر
نون ڈگر
نون نشیب","401
456
2
859","308
423
3
734","709
879
5
1593",2,1,3

"",89,144,Govt. Boys Primary School Gidran Wali,Combined,"141010201
141010202
141010203
141010204","سگو جنوبی
جھوک یارن
گیدڑانوالی
گیدڑانوالی","53
15
249
270
587","29
6
194
211
440","82
21
443
481
1027",1,1,2

"",89,145,Govt. Girls Elementary School Chak 8RH,Combined,"141040403
141040404
141040503","چک نمبر 9 آر ایچ
چک نمبر8 آر ایچ
چک نمبر 7 آر ایچ","176
190
86
452","168
175
56
399","344
365
142
851",1,1,2

"",89,146,"Govt Girls Community Modal School
Asranwala PS-1",Male,"141010304
141010305","کلورکوٹ ڈگر،اسڑانوالہ وانڈھامروت
کلورکوٹ ڈگر،اسڑانوالہ وانڈھامروت","566
255
821","0
0","566
255
821",2,0,2

"",89,147,"Govt Girls Community Modal School
Asranwala PS-2",Female,"141010304
141010305","کلورکوٹ ڈگر،اسڑانوالہ وانڈھامروت
کلورکوٹ ڈگر،اسڑانوالہ وانڈھامروت","0
0","457
184
641","457
184
641",0,2,2

89,148,Govt.Boys Primary School Basti Ravi,Combined,"141010307
141010308
141010309","کلورکوٹ ڈگر،سونگیانوالہ
کلورکوٹ ڈگر،راوی
کلورکوٹ نشیب","374
441
2
817","272
345
4
621","646
786
6
1438",2,1,3,

"",89,149,"Govt. Girls Primary School Ali Pur Bhatian
Wala",Combined,"141010301
141010302
141010303","کلورکوٹ ڈگر، علی پور بھٹیاں
کلورکوٹ ڈگر، دھمرایہ
کلورکوٹ ڈگر،سلطانہ آباد","359
360
175
894","277
299
132
708","636
659
307
1602",2,1,3

"",89,150,Govt. Girls High School Saggu Shumali,Combined,"141010101
141010102
141010103","سگو شمالی ڈگر
سگو شمالی ڈگر
سگو شمالی نشیب","484
148
0
632","459
96
0
555","943
244
0
1187",1,1,2

"",89,151,Govt. Boys Primary School Chak No. 42-44/ML,Combined,"141011001
141011002
141011003
141011004
141011005","چک نمبر 41ایم ایل
چک نمبر 42ایم ایل
چک نمبر 43ایم ایل
چک نمبر 44ایم ایل
چک نمبر 45ایم ایل","40
43
156
21
27
287","44
35
132
20
16
247","84
78
288
41
43
534",1,1,2

"",89,152,"Govt. Elementary School Mehmood wala
No.2(Middle Portion)",Combined,141010306,کلورکوٹ ڈگر،بھلے والہ,"833
833","651
651","1484
1484",1,1,2

"",89,153,Govt Boys Primary School Garoka,Combined,"142040101
142040201
142040301","دلیوالہ نمبر 1
دلیوالہ نمبر 2
دلیوالہ نمبر 3","160
125
337
622","115
78
242
435","275
203
579
1057",1,1,2

"",89,154,Govt Boys Primary School Nibu wala,Combined,"142040202
142040302","دلیوالہ نمبر 2
دلیوالہ نمبر 3","397
126
523","391
104
495","788
230
1018",1,1,2

"",89,155,Govt Boys High School Jhamat Shumali,Combined,"142040801
142040802","جھمٹ شمالی نمبر1
جھمٹ شمالی نمبر1","281
322
603","235
292
527","516
614
1130",1,1,2

"",89,156,Govt Girls Elementary School Jhmat Shumali,Male,"142040402
142040803
142040804","دلیوالہ نمبر4
جھمٹ شمالی نمبر،1 چاہ بلیلی
جھمٹ شمالی نمبر،1 چاہ بلیلی","70
454
505
1029","0
0","70
454
505
1029",2,0,2

"",89,157,"Govt Girls Elementary School Jhmat Shumali
(PS-2)",Female,"142040402
142040803
142040804","دلیوالہ نمبر4
جھمٹ شمالی نمبر،1 چاہ بلیلی
جھمٹ شمالی نمبر،1 چاہ بلیلی","0
0","58
639
336
1033","58
639
336
1033",0,2,2

"",89,158,Govt Boys Primary School Hassa,Combined,"142040901
142041001","جھمٹ شمالی نمبر 2
جھمٹ شمالی نمبر،3 چدرام، چاہ حسہ","321
458
779","303
349
652","624
807
1431",2,1,3

"",89,159,Govt Boys Elementary School Nahu wala,Combined,"142040401
142041002
142041003
142041004","دلیوالہ نمبر4
جھمٹ شمالی نمبر،3 جوئیہ، نہوا، چدرام
جھمٹ شمالی نمبر،3 ہوا، ذاہد خیل
جھمٹ شمالی نمبر،3 ہوا، ذاہد خیل","121
415
155
375
1066","76
307
122
315
820","197
722
277
690
1886",2,2,4

89,160,Govt Boys High School Joeya (M),Male,"142040501
142040502
142040503
142040504","گوڈ ا نمبر،1 فتح خیل،پاہنے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل","373
214
318
517
1422","0
0","373
214
318
517
1422",3,0,3,

"",89,161,Govt Girls Primary School Joya,Female,"142040501
142040502
142040503
142040504","گوڈ ا نمبر،1 فتح خیل،پاہنے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل
گوڈ ا نمبر،1جوئیہ، ڈورے خیل","0
0","312
215
326
450
1303","312
215
326
450
1303",0,2,2

"",89,162,Govt Boys Elementary School Goda No 2,Male,"142040505
142040601
142040602","گوڈ ا نمبر،1پہوڑانوالہ
گوڈا نمبر 2
گوڈا نمبر 2","276
366
441
1083","0
0","276
366
441
1083",2,0,2

"",89,163,Govt Boys Elementary School Goda No 2,Female,"142040505
142040601
142040602","گوڈ ا نمبر،1پہوڑانوالہ
گوڈا نمبر 2
گوڈا نمبر 2","0
0","268
296
369
933","268
296
369
933",0,2,2

"",89,164,Govt Boys Primary School Awan Wala.,Combined,"142040603
142040701
142040702","گوڈا نمبر ،2 محلہ اعوانانوالہ والہ
گوڈا نمبر 3
گوڈا نمبر 3","264
260
227
751","254
208
221
683","518
468
448
1434",2,1,3

"",89,165,Govt Boys Elementry School Jhamat Janubi,Combined,"142041101
142041102","دالہ نمبر،1جھمٹ جنوبی
دالہ نمبر1","538
197
735","481
122
603","1019
319
1338",2,1,3

"",89,166,Govt Boys Elementry School Dala,Combined,"142041103
142041104
142041201","دالہ نمبر1
دالہ نمبر1
دالہ نمبر2","550
229
203
982","477
167
170
814","1027
396
373
1796",2,2,4

"",89,167,Govt Model Primary School Maseet Janubi,Combined,"142041202
142041203
142041204","دالہ نمبر2
دالہ نمبر2
دالہ نمبر2","156
279
322
757","127
273
278
678","283
552
600
1435",2,1,3

"",89,168,Govt Girls Primary School Dera Sharif Tilukar,Combined,"142041301
142041302
142041303
142041304","چک نمبر1رکھ دالہ
چک نمبر 2 رکھ دالہ
چک نمبر3 رکھ دالہ
چک نمبر 4 رکھ دالہ،","161
153
161
80
555","135
112
123
40
410","296
265
284
120
965",1,1,2

"",89,169,Govt Boys High School Goharwala,Male,"140040103
140040104
140040105
140040106
140040107","گوہروالہ -1 محلہ درکھان والہ
گوہروالہ -1 محلہ ترکھانا نوالہ
گوہروالہ -1 محلہ پیشانوالہ
گوہروالہ -1 محلہ پیشانوالہ
گوہروالہ -1 محلہ پیشانوالہ","137
82
178
158
247
802","0
0","137
82
178
158
247
802",2,0,2

89,170,Govt Boys High School Goharwala,Female,"140040103
140040104
140040105
140040106
140040107","گوہروالہ -1 محلہ درکھان والہ
گوہروالہ -1 محلہ ترکھانا نوالہ
گوہروالہ -1 محلہ پیشانوالہ
گوہروالہ -1 محلہ پیشانوالہ
گوہروالہ -1 محلہ پیشانوالہ","0
0","107
65
147
115
185
619","107
65
147
115
185
619",0,2,2,

"",89,171,Govt Boys Primary School Goharwala,Combined,"140040116
140040117
140040118
140040119","گوہروالہ 2 ماچھیانوالہ
گوہروالہ 2 سگوانوالہ
گوہروالہ 2 محلہ سادات
گوہروالہ 2 محلہ سادات","194
50
39
21
304","168
28
37
10
243","362
78
76
31
547",1,1,2

"",89,172,Govt Boys Primary School Gondal Wala,Combined,"140040113
140040114
140040115","گوہروالہ 2 محلہ سارنگ
گوہروالہ 2 محلہ سارنگ
گوہروالہ 2 محلہ سارنگ","308
173
474
955","261
123
400
784","569
296
874
1739",2,1,3

"",89,173,"Govt Boys Elementary School Jungu Sharif
PS-1",Combined,"140040101
140040102","گوہروالہ -1 محلہ شہر
گوہروالہ -1 محلہ شہر","388
276
664","267
255
522","655
531
1186",2,1,3

"",89,174,"Govt Boys Elementary School Jungu Sharif
PS-2",Male,"140040108
140040109
140040123","گوہروالہ -1 جنجوشریف
گوہروالہ -1 جنجوشریف
گوہروالہ -1 جنجوشریف","142
536
590
1268","0
0","142
536
590
1268",2,0,2

"",89,175,"Govt Boys Elementary School Jungu Sharif
PS-3",Female,"140040108
140040109
140040123","گوہروالہ -1 جنجوشریف
گوہروالہ -1 جنجوشریف
گوہروالہ -1 جنجوشریف","0
0","111
470
518
1099","111
470
518
1099",0,2,2

"",89,176,Govt Boys Primary School Shahi,Combined,140040120,گوہروالہ 3 شاہی والہ، کرٹانہ والہ,"927
927","731
731","1658
1658",2,1,3

"",89,177,Govt Boys Primary School Bumb,Combined,140040121,گوہروالہ 3,"589
589","452
452","1041
1041",1,1,2

"",89,178,Govt High School Karoo,Combined,140040122,گوہروالہ 3 کورو,"498
498","367
367","865
865",1,1,2

"",89,179,Govt Boys Primary School Kartanwala,Combined,"140040110
140040111
140040112","گوہروالہ 2 محلہ نائی والہ
گوہروالہ 2 محلہ پولنیانوالہ
گوہروالہ 2 محلہ کوٹا نوالہ","299
37
644
980","253
31
535
819","552
68
1179
1799",2,2,4

"",89,180,Govt Boys Primary School Binndiyanwala,Combined,"140040401
140040402","سادھ والہ
سادھ والہ","471
427
898","328
336
664","799
763
1562",2,1,3

"",89,181,Govt Boys High School Kapahi,Combined,"140040301
140040302
140040303","کپاہی محلہ کندیانوالہ
کپاہی محلہ کندیانوالہ
کپاہی","203
315
401
919","135
233
332
700","338
548
733
1619",2,1,3

89,182,Govt girls community model School Kapahi,Combined,140040304,کپاہی، بلوچانوالہ,"628
628","506
506","1134
1134",1,1,2,

"",89,183,Govt girls community model School Kapahi,Combined,"140040305
140040501
140040502
140040503
140040504
140040505
140040506
140040507
140040508
140040509","کپاہی، محلہ بھڈوال والہ،
چک نمبر1رکھ گوہروالہ
چک نمبر 2 رکھ گوہروالہ
چک نمبر 3 رکھ گوہروالہ
چک نمبر 4 رکھ گوہروالہ
چک نمبر 5 رکھ گوہروالہ
چک نمبر6 رکھ گوہروالہ
چک نمبر 7 رکھ گوہروالہ
چک نمبر 8 رکھ گوہروالہ
چک نمبر 9 رکھ گوہروالہ","244
0
7
4
15
0
0
7
25
2
304","200
1
11
3
6
0
0
10
22
3
256","444
1
18
7
21
0
0
17
47
5
560",1,1,2

"",89,184,Govt Boys Elementary School Peang lar,Combined,"140040201
140040202","یارا پینگ لڑ
یارا لکھنی","536
364
900","483
310
793","1019
674
1693",2,1,3

"",89,185,Govt Boys High School Yara Sulaha,Combined,"140040203
140040204
140040205","یارا سلحہ
یارا سلحہ
یارا نلکا سگرانوالہ","253
311
313
877","220
285
246
751","473
596
559
1628",2,1,3

123183,97992,221175,272,204,476,,,,,,,

"",PP,Sr#,Polling Station Name,PS Type,"Block
Code",Area,Male Vote,Female Vote,Total Vote,"Male
Booth","Female
Booth","Total
Booth"

"",90,1,Govt Boys Primary School Tiba Murtaza Shah,Combined,"142010101
142010102
142010103","ٹبہ مرتضی شاہ ڈگر، بستی احمد شاہ والی
ٹبہ مرتضی شاہ ڈگر
ٹبہ مرتضی شاہ نشیب","335
191
9
535","288
145
5
438","623
336
14
973",1,1,2

"",90,2,"Govt Boys Elementary School Ahmed Shah
wali (Middle Portion)",Combined,"142010104
142010105","مہر امام شاہ ڈگر، بستی احمد شاہ والی
مہر امام شاہ ڈگر، بستی احمد شاہ والی","328
572
900","288
442
730","616
1014
1630",2,1,3

"",90,3,"Govt Girls Primary School Mehr Imam Shah
Nasheb",Combined,"142010106
142010107
142010108","مہر امام شا ہ نشیب
مہر امام شا ہ نشیب
مہر امام شا ہ نشیب","355
354
207
916","241
244
177
662","596
598
384
1578",2,1,3

"",90,4,Govt Girls Elementary School Panjgran,Combined,"142010208
142010211","پنجگرائیں ڈگر، محلہ انصاری
پنجگرائیں ڈگر، محلہ سادات","418
448
866","352
406
758","770
854
1624",2,1,3

"",90,5,Govt Boys High School Panjgran Daggar PS-1,Male,"142010209
142010212","پنجگرائیں ڈگر، محلہ سنارانوالہ
پنجگرائیں ڈگر، محلہ فاروقیہ","461
914
1375","0
0","461
914
1375",3,0,3

"",90,6,Govt Boys High School Panjgran Daggar PS-2,Female,"142010209
142010212","پنجگرائیں ڈگر، محلہ سنارانوالہ
پنجگرائیں ڈگر، محلہ فاروقیہ","0
0","361
734
1095","361
734
1095",0,2,2

90,7,"Govt Boys High School Panjgran Praimary
Portion PS-1",Combined,142010210,پنجگرائیں ڈگر، محلہ ریلوے اسٹیشن,"529
529","437
437","966
966",1,1,2,

"",90,8,"Govt Boys High School Panjgran Praimary
Portion PS-2",Combined,142010213,پنجگرائیں ڈگر، محلہ عباس نگر,"526
526","480
480","1006
1006",1,1,2

"",90,9,Govt Girls Primary School Budhy wala,Combined,"142010214
142010215","پنجگرائیں ڈگر،  بڑھے والہ
پنجگرائیں ڈگر،علی والہ","457
421
878","393
343
736","850
764
1614",2,1,3

"",90,10,"Govt Boys Elementary School Jhok Qalandar
Buksh PS-1",Combined,"142010205
142010206","پنجگرائیں نشیب ،جھوک قلندربخش
پنجگرائیں نشیب ،جھوک قلندربخش","314
185
499","256
130
386","570
315
885",1,1,2

"",90,11,"Govt Boys Elementary School Jhok Qalandar
Buksh PS-2",Combined,"142010207
142010216","پنجگرائیں نشیب ، جھوک قلندربخش نادرشاہ
پنجگرائیں نشیب ، وانڈا نادر شاہ","274
376
650","186
292
478","460
668
1128",1,1,2

"",90,12,"Govt Girls Elementary School Jhok Qalandar
Buksh",Combined,"142010203
142010204","جھوک مہر شاہ
جھوک مہر شاہ","310
344
654","246
236
482","556
580
1136",2,1,3

"",90,13,Govt Boys Primary School Jhok Lal Shah,Combined,"142010201
142010202","جھوک لال شاہ
جھوک لال شاہ","442
183
625","314
166
480","756
349
1105",1,1,2

"",90,14,Govt Boys Primary School Kanyal,Combined,"142010301
142010303
142010307","کنیال
بلوچانوالی
کنیال","55
114
356
525","34
83
314
431","89
197
670
956",1,1,2

"",90,15,Govt  Primary School Kanyal (Girls Portion),Combined,"142010302
142010308","احمد ڈب
احمد ڈب","236
242
478","178
204
382","414
446
860",1,1,2

"",90,16,"Govt Boys Primary School Basti Ahmed Shah
Nashib",Combined,"142010109
142010110","حاجی حسین شاہ نشیب
حاجی حسین شاہ نشیب","218
261
479","144
216
360","362
477
839",1,1,2

"",90,17,Govt Boys Elementary School Lundi Nasheb,Combined,"142010502
142010507","لنڈی نشیب
لنڈی نشیب","375
246
621","326
215
541","701
461
1162",2,1,3

"",90,18,Govt Girls Elementary School Lundi Nasheb,Combined,"142010501
142010503","لنڈی نشیب
لنڈی نشیب","399
199
598","354
156
510","753
355
1108",1,1,2

"",90,19,Govt Boys Primary School Lak Kalan,Male,"142010603
142010604
142010605","لک کلاں
لک کلاں
لک کلاں","343
481
269
1093","0
0","343
481
269
1093",2,0,2

"",90,20,Govt Girls Primary School Lak Kalan,Female,"142010603
142010604
142010605","لک کلاں
لک کلاں
لک کلاں","0
0","298
414
252
964","298
414
252
964",0,2,2

"",90,21,Govt.Boys Primary School Basti Bahar Lak,Combined,"142010601
142010602","لک کلاں
لک کلاں","237
273
510","190
223
413","427
496
923",1,1,2

"",90,22,Govt Girls Primary School Jhok Khichi wali,Combined,"142010701
142010702
142010703
142010704","کارلو
کارلو
جھوک کھچیاں والی
جھوک کھچیاں والی","54
199
390
445
1088","43
149
311
363
866","97
348
701
808
1954",2,2,4

90,23,"Govt Boys Primary School Sukha Shah
Nasheb",Combined,"142010401
142010402","سکھا شاہ نشیب، بستی بلوچانوالی
سکھا شاہ نشیب، حسن شاہ","377
419
796","275
308
583","652
727
1379",2,1,3,

"",90,57,"Govt Boys Secondary School Adda Anaar
Shah Primary Portion",Combined,"142020301
142020303","ڈگرواہگوراں شرقی
ڈگرواہگوراں شرقی","399
523
922","343
417
760","742
940
1682",2,1,3

"",90,58,Union Council Office Daggar Qurashi,Combined,142020302,ڈگرواہگوراں شرقی,"659
659","556
556","1215
1215",1,1,2

"",90,59,Govt Shaheed Rest House Karari Mainer,Combined,"142020601
142020602","چک نمبر 48ایم ایل
چک نمبر 48ایم ایل","342
282
624","259
186
445","601
468
1069",1,1,2

"",90,60,Govt Boys Elementary School 175 TDA,Combined,"142020403
142020404","چک نمبر 175 ٹی ڈی اے
چک نمبر 176 ٹی ڈی اے","393
231
624","285
155
440","678
386
1064",1,1,2

"",90,61,Govt Boys Elementary School 49ML,Combined,142020603,چک نمبر 49ایم ایل,"522
522","391
391","913
913",1,1,2

"",90,62,Govt Girls Primary School 179TDA,Combined,"142020501
142020502","چک نمبر 179ٹی ڈی اے
ڈگر اعوان شرقی","418
74
492","338
54
392","756
128
884",1,1,2

"",90,63,Govt Girls Secondary School 53ML,Combined,"142020503
142020504","چک نمبر53 ایم ایل
چک نمبر 54ایم ایل","301
230
531","255
164
419","556
394
950",1,1,2

"",90,64,Public Health Center Barkat Wala,Combined,"142020901
142020902","رکھ ڈگرانوالی جنوبی
رکھ ڈگرانوالی جنوبی","292
483
775","186
381
567","478
864
1342",2,1,3

"",90,65,Govt Boys Primary School Addah Barkat Wala,Male,"142020903
142020904
142020905","رکھ ڈگرانوالی جنوبی
رکھ ڈگراں والی شمالی
رکھ ڈگراں والی شمالی","582
554
618
1754","0
0","582
554
618
1754",3,0,3

"",90,66,"Govt Girls Community Model Elementary
School Ada Barkat Wala",Female,"142020903
142020904
142020905","رکھ ڈگرانوالی جنوبی
رکھ ڈگراں والی شمالی
رکھ ڈگراں والی شمالی","0
0","423
350
486
1259","423
350
486
1259",0,2,2

"",90,67,Govt Boys High School Hassan Shah,Male,"142030106
142030107
142030108
142030109
142030110","سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر","201
187
388
329
191
1296","0
0","201
187
388
329
191
1296",3,0,3

"",90,68,Govt Girls Elementary School Hassan Shah,Female,"142030106
142030107
142030108
142030109
142030110","سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر
سکھا شاہ ڈگر","0
0","171
111
277
299
133
991","171
111
277
299
133
991",0,2,2

"",90,69,Govt Girls Elementary School Angra Daggar,Combined,"142030102
142030103","انگراڈ گر
انگراڈ گر","372
312
684","306
258
564","678
570
