Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. ofvoters on theelectoral rollin caseelectoral areais bifurcated","Number of voters assigned to pollingstation",Number of polling  booths,,,,,,
51 Total,,,,-,-,-,817,776,1593,2,2,4
52,"Government Boys Primary SchoolKhanwal",KHANWAL,128050401,-,-,,464,412,876,2,2,4
"",,"NARWAL (DHOKECHARA)",128050404,-,-,,251,236,487,,,
52 Total,,,,-,-,-,715,648,1363,2,2,4
53,"Government Girls Primary SchoolMooly",MULE,128050602,-,-,,354,322,676,1,1,2
53 Total,,,,-,-,-,354,322,676,1,1,2
54,"Government Model PrimarySchool Siral",SIRAL (FIM KASAR),128050605,-,-,,419,390,809,1,1,2
54 Total,,,,-,-,-,419,390,809,1,1,2
55,"Government Girls Primary SchoolDhoke Alfoo",WASO (DHOKE ALFO),128050601,-,-,,478,477,955,1,1,2
56,"Government Boys High SchoolJethal",JETHAL,128050805,-,-,,465,0,465,4,0,4
"",,JETHAL,128050806,-,-,,575,0,575,,,
"",,JETHAL,128050807,-,-,,493,0,493,,,
56 Total,,,,-,-,-,1533,0,1533,4,0,4
57,"Government Girls Primary SchoolJethal .",JETHAL,128050805,-,-,,0,477,477,0,4,4
"",,JETHAL,128050806,-,-,,0,537,537,,,
"",,JETHAL,128050807,-,-,,0,454,454,,,
57 Total,,,,-,-,-,0,1468,1468,0,4,4
58,"Government Boys ElementarySchool Sarkal Kassar",SARKAL KASSAR,128050801,-,-,,292,0,292,2,0,2
"",,SARKAL KASSAR,128050802,-,-,,450,0,450,,,
"",,"SARKAL KASAR(JETHAL)",128050803,-,-,,167,0,167,,,
"",,SARKAL KASSAR,128050804,-,-,,62,0,62,,,
58 Total,,,,-,-,-,971,0,971,2,0,2
59,"Government Girls Primary SchoolSarkal Kassar",SARKAL KASSAR,128050801,-,-,,0,287,287,0,2,2
"",,SARKAL KASSAR,128050802,-,-,,0,441,441,,,
"",,"SARKAL KASAR(JETHAL)",128050803,-,-,,0,165,165,,,
"",,SARKAL KASSAR,128050804,-,-,,0,54,54,,,
59 Total,,,,-,-,-,0,947,947,0,2,2
60,"Government Girls High SchoolKot Iqbal","KOTHA BAFINDA (KOTIQBAL)",128050603,-,-,,484,0,484,3,0,3
"",,"KOTHA BAFINDA (KOTIQBAL)",128050604,-,-,,642,0,642,,,
60 Total,,,,-,-,-,1126,0,1126,3,0,3
61,"Government Boys ElementarySchool Kot Iqbal","KOTHA BAFINDA (KOTIQBAL)",128050603,-,-,,0,450,450,0,2,2
"",,"KOTHA BAFINDA (KOTIQBAL)",128050604,-,-,,0,625,625,,,
61 Total,,,,-,-,-,0,1075,1075,0,2,2
62,"Government Boys High SchoolFim Kassar .",FIM KASSAR,128050703,-,-,,649,0,649,4,0,4
"",,FIM KASSAR,128050704,-,-,,757,0,757,,,
"",,"AASAMI HATTAR (FIMKASAR)",128050705,-,-,,45,0,45,,,
62 Total,,,,-,-,-,1451,0,1451,4,0,4
63,"Government Girls ElementarySchool Fim Kassar .",FIM KASSAR,128050703,-,-,,0,646,646,0,4,4
"",,FIM KASSAR,128050704,-,-,,0,761,761,,,
"",,"AASAMI HATTAR (FIMKASAR)",128050705,-,-,,0,46,46,,,
63 Total,,,,-,-,-,0,1453,1453,0,4,4
64,"Government Boys ElementarySchool Parhal",PARHAL (DHUDIAL),128050701,-,-,,781,0,781,3,0,3
"",,PARHAL (DHUDIAL),128050702,-,-,,383,0,383,,,
64 Total,,,,-,-,-,1164,0,1164,3,0,3
65,"Government Girls ElementarySchool Parhal",PARHAL (DHUDIAL),128050701,-,-,,0,770,770,0,3,3
"",,PARHAL (DHUDIAL),128050702,-,-,,0,390,390,,,
65 Total,,,,-,-,-,0,1160,1160,0,3,3
66,"Pakistan International SecondarySchool Dhudial","DHUDIAL (KASHMIRCOLONY, MOHALLAHCHAKI)",128060101,-,-,,322,0,322,2,0,2
"",,"DHUDIAL (MOHALLAHJABA, RAILWAYSTATION)",128060102,-,-,,787,0,787,,,
66 Total,,,,-,-,-,1109,0,1109,2,0,2
67,"Pakistan International SecondarySchool Dhudial","DHUDIAL (KASHMIRCOLONY, MOHALLAHCHAKI)",128060101,-,-,,0,254,254,0,2,2
"DHUDIAL (MOHALLAHJABA, RAILWAYSTATION)",128060102,-,-,,0,776,776,,,,,
68,"Government Boys High SchoolNo.2 Dhudial","DHUDIAL (GHAZIABAD, MOHALLAHSADAAT)",128060110,-,-,,243,0,243,4,0,4
"",,"DHUDIAL (MOHALLAH MADNIMASJID, MOHALLAHMISTRIAN)",128060111,-,-,,638,0,638,,,
"",,"DHUDIAL (MOHALLAHHUSSAINI, MOHALLAHKHANQAH)",128060112,-,-,,422,0,422,,,
68 Total,,,,-,-,-,1303,0,1303,4,0,4
69,"Government Degree College forWomen Dhudial.","DHUDIAL (GHAZIABAD, MOHALLAHSADAAT)",128060110,-,-,,0,262,262,0,3,3
"",,"DHUDIAL (MOHALLAH MADNIMASJID, MOHALLAHMISTRIAN)",128060111,-,-,,0,589,589,,,
"",,"DHUDIAL (MOHALLAHHUSSAINI, MOHALLAHKHANQAH)",128060112,-,-,,0,435,435,,,
69 Total,,,,-,-,-,0,1286,1286,0,3,3
70,Office of the SDO (IESCO) Dhudial,"DHUDIAL (DHOKEBHAL)",128060113,-,-,,469,424,893,2,2,4
"DHUDIAL (MOHALLAHIBRAHIM ABAD)",128060114,-,-,,380,345,725,,,,,
71,"Government Boys High SchoolUnion Council No.1 Dhudial","DHUDIAL (FAROOQABAD, MOHALLAHMACHINE)",128060103,-,-,,309,0,309,4,0,4
"",,"DHUDIAL (MOHALLAHKISRAN)",128060104,-,-,,737,0,737,,,
"",,"DHUDIAL (MOHALLAHDARSGAH, GIRLS HIGHSCHOOL)",128060105,-,-,,368,0,368,,,
"",,DHUDIAL (DARSGAH),128060118,-,-,,1,0,1,,,
71 Total,,,,-,-,-,1415,0,1415,4,0,4
72,"Government Girls Primary SchoolTalab Mairan Dhudial","DHUDIAL (FAROOQABAD, MOHALLAHMACHINE)",128060103,-,-,,0,298,298,0,3,3
"DHUDIAL (MOHALLAHKISRAN)",128060104,-,-,,0,678,678,,,,,
"DHUDIAL (MOHALLAHDARSGAH, GIRLS HIGHSCHOOL)",128060105,-,-,,0,318,318,,,,,
DHUDIAL (DARSGAH),128060118,-,-,,0,2,2,,,,,
73,"Government Girls High School ,Dhudial","DHUDIAL (MOHALLAHSAJJADIA)",128060106,-,-,,400,0,400,2,0,2
"",,"DHUDIAL (MOHALLAHAWAN)",128060107,-,-,,374,0,374,,,
"",,"DHUDIAL (MOHALLAHDARSGAH)",128060108,-,-,,74,0,74,,,
"",,"DHUDIAL (MOHALLAHBHATIAN)",128060109,-,-,,166,0,166,,,
73 Total,,,,-,-,-,1014,0,1014,2,0,2
74,"Government Girls High School ,Dhudial","DHUDIAL (MOHALLAHSAJJADIA)",128060106,-,-,,0,439,439,0,2,2
"",,"DHUDIAL (MOHALLAHAWAN)",128060107,-,-,,0,377,377,,,
"",,"DHUDIAL (MOHALLAHDARSGAH)",128060108,-,-,,0,63,63,,,
"",,"DHUDIAL (MOHALLAHBHATIAN)",128060109,-,-,,0,130,130,,,
74 Total,,,,-,-,-,0,1009,1009,0,2,2
75,"Government Boys High SchoolSang Kalan .",SONG KALAN,128060115,-,-,,355,358,713,2,2,4
"",,SONG KALAN,128060116,-,-,,474,513,987,,,
75 Total,,,,-,-,-,829,871,1700,2,2,4
76,"Government Model PrimarySchool Sang Khurd . Campus No.2",SONG KHURD,128060117,-,-,,403,413,816,1,1,2
76 Total,,,,-,-,-,403,413,816,1,1,2
77,"Government Girls Primary SchoolMohra Thaneel",THATHI JAMOON,128020207,-,-,,408,392,800,2,2,4
MOHRA THANEEL,128020208,-,-,,472,428,900,,,,,
78,"Government Girls ElementarySchool Dab",DAB,128010112,-,-,,381,321,702,1,1,2
"",,DAB,128010113,-,-,,151,147,298,,,
78 Total,,,,-,-,-,532,468,1000,1,1,2
79,Government High School Tatral,"TARTRAL (GHARBIMASJID)",128010101,-,-,,358,0,358,4,0,4
"",,TATRAL (QAZIAN),128010102,-,-,,181,0,181,,,
"",,"TATRAL (NIKABHOUN)",128010103,-,-,,220,0,220,,,
"",,"TATRAL (MOHALLAHGHS BOYS)",128010108,-,-,,671,0,671,,,
79 Total,,,,-,-,-,1430,0,1430,4,0,4
80,Government High School Tatral,"TARTRAL (GHARBIMASJID)",128010101,-,-,,0,322,322,0,3,3
"",,TATRAL (QAZIAN),128010102,-,-,,0,179,179,,,
"",,"TATRAL (NIKABHOUN)",128010103,-,-,,0,202,202,,,
"",,"TATRAL (MOHALLAHGHS BOYS)",128010108,-,-,,0,607,607,,,
80 Total,,,,-,-,-,0,1310,1310,0,3,3
81,"Government Girls High SchoolTatral","TATRAL (MOHALLAMASHRQI)",128010104,-,-,,254,0,254,4,0,4
TARTAL(DHOKE RAJA),128010105,-,-,,378,0,378,,,,,
"TATRAL (MOHALLAHGHAUSIA)",128010106,-,-,,573,0,573,,,,,
TATRAL,128010107,-,-,,207,0,207,,,,,
82,"Government Girls High SchoolTatral","TATRAL (MOHALLAMASHRQI)",128010104,-,-,,0,250,250,0,4,4
"",,TARTAL(DHOKE RAJA),128010105,-,-,,0,377,377,,,
"",,"TATRAL (MOHALLAHGHAUSIA)",128010106,-,-,,0,536,536,,,
"",,TATRAL,128010107,-,-,,0,212,212,,,
82 Total,,,,-,-,-,0,1375,1375,0,4,4
83,"Government Primary SchoolSutwal",SUTWAL,128010114,-,-,,335,296,631,2,2,4
"",,SUTWAL,128010115,-,-,,463,462,925,,,
83 Total,,,,-,-,-,798,758,1556,2,2,4
84,"Government Girls High SchoolKotha Abdal","KOTHA ABDAL(MOHRA KORCHISHAM)",128010109,-,-,,431,432,863,2,2,4
"",,"MOHRA SHEKHAN(MOHRA KORCHISHAM)",128010116,-,-,,194,223,417,,,
84 Total,,,,-,-,-,625,655,1280,2,2,4
85,"Government Elementary SchoolMohra Kor Chasm","MOHRAKORECHISHAN",128010110,-,-,,696,0,696,2,0,2
"",,"MOHRAKORECHISHAN",128010111,-,-,,286,0,286,,,
85 Total,,,,-,-,-,982,0,982,2,0,2
86,"Government Elementary SchoolMohra Kor Chasm","MOHRAKORECHISHAN",128010110,-,-,,0,646,646,0,2,2
"",,"MOHRAKORECHISHAN",128010111,-,-,,0,272,272,,,
86 Total,,,,-,-,-,0,918,918,0,2,2
87,"Government Girls Primary SchoolChak Bazeed .","CHAK BAZEED(MOHALLAH NAIABADI)",128060405,-,-,,440,437,877,2,2,4
"CHAK BAZEED (AMEENABAD)",128060406,-,-,,478,358,836,,,,,
"CHAK BAZEED(RANJHA)",128060407,-,-,,36,24,60,,,,,
88,"Government Boys High SchoolChakral",CHAKRAL,128010401,-,-,,484,0,484,4,0,4
"",,CHAKRAL,128010402,-,-,,397,0,397,,,
"",,CHAKRAL,128010404,-,-,,246,0,246,,,
88 Total,,,,-,-,-,1127,0,1127,4,0,4
89,"Government Girls High SchoolChakral",CHAKRAL,128010401,-,-,,0,504,504,0,2,2
"",,CHAKRAL,128010402,-,-,,0,373,373,,,
"",,CHAKRAL,128010404,-,-,,0,241,241,,,
89 Total,,,,-,-,-,0,1118,1118,0,2,2
90,"Government Girls Model SchoolUdhwal 1",CHAKRAL,128010403,-,-,,629,0,629,4,0,4
"",,UDHWAL,128010407,-,-,,528,0,528,,,
"",,"UDHWAL (DHOKEAITBAR)",128010408,-,-,,49,0,49,,,
90 Total,,,,-,-,-,1206,0,1206,4,0,4
91,"Government Model  SchoolUdhwal No.2",CHAKRAL,128010403,-,-,,0,591,591,0,3,3
"",,UDHWAL,128010407,-,-,,0,542,542,,,
"",,"UDHWAL (DHOKEAITBAR)",128010408,-,-,,0,49,49,,,
91 Total,,,,-,-,-,0,1182,1182,0,3,3
92,"Government Primary SchoolChattal","CHATAL (AWRAL,HAMDAL, CHATAL)",128010405,-,-,,438,0,438,3,0,3
"",,CHATAL (MADHIAL),128010406,-,-,,654,0,654,,,
92 Total,,,,-,-,-,1092,0,1092,3,0,3
93,"Government Girls ElementarySchool Chattal","CHATAL (AWRAL,HAMDAL, CHATAL)",128010405,-,-,,0,442,442,0,3,3
"",,CHATAL (MADHIAL),128010406,-,-,,0,683,683,,,
93 Total,,,,-,-,-,0,1125,1125,0,3,3
94,"Government High School FridKassar","FAREED KASAR(KHANWAL, DHOKEPANJAIN)",128051001,-,-,,462,415,877,2,2,4
"",,FAREED KASSAR,128051003,-,-,,283,294,577,,,
94 Total,,,,-,-,-,745,709,1454,2,2,4
95,"Government Boys Primary SchoolDhok Wadan","FAREED KASAR (DHOKE WADHAN)",128051004,-,-,,485,454,939,1,1,2
96,"Government Girls High SchoolFarid Kassar (Elementary Portion)","FAREED KASAR(MOHALLAH SALHAL)",128051002,-,-,,538,0,538,2,0,2
"",,NADRAL,128051005,-,-,,153,0,153,,,
"",,"ACHRAL (DHOKEHAJIAN)",128051006,-,-,,328,0,328,,,
96 Total,,,,-,-,-,1019,0,1019,2,0,2
97,"Government Girls High SchoolFarid Kassar (Elementary Portion)","FAREED KASAR(MOHALLAH SALHAL)",128051002,-,-,,0,470,470,0,2,2
"",,NADRAL,128051005,-,-,,0,170,170,,,
"",,"ACHRAL (DHOKEHAJIAN)",128051006,-,-,,0,300,300,,,
97 Total,,,,-,-,-,0,940,940,0,2,2
98,"Government Girls Primary SchoolDhab Loharan","HARCHARDHAAB(DHAB KALAN, DHAABLOHARAN)",128060201,-,-,,264,294,558,1,1,2
"",,"HARCHARDHAAB(DHAB LOHARAN)",128060202,-,-,,220,197,417,,,
98 Total,,,,-,-,-,484,491,975,1,1,2
99,"Government Elementary SchoolDhab Kalan","HARCHARDHAAB(DHAB KALAN)",128060203,-,-,,178,186,364,2,2,4
"",,"HARCHARDHAAB(DHAB KALAN)",128060204,-,-,,60,74,134,,,
"",,"HARCHARDHAAB(DHAB KALAN)",128060206,-,-,,117,105,222,,,
"",,"HARCHARDHAAB(DHAB PARI)",128060207,-,-,,178,176,354,,,
99 Total,,,,-,-,-,533,541,1074,2,2,4
100,"Government Primary SchoolDhab Pari","HARCHARDHAB(DHAB PARI)",128060211,-,-,,425,406,831,1,1,2
100 Total,,,,-,-,-,425,406,831,1,1,2
101,"Government Girls CommunityModel School Chak Naurang",CHAK NAURANG,128060401,-,-,,890,0,890,4,0,4
"CHAK NOURANG(JAMIA MASJID)",128060404,-,-,,286,0,286,,,,,
102,"Government Girls CommunityModel School Chak Naurang",CHAK NAURANG,128060401,-,-,,0,802,802,0,3,3
"",,"CHAK NOURANG(JAMIA MASJID)",128060404,-,-,,0,280,280,,,
102 Total,,,,-,-,-,0,1082,1082,0,3,3
103,"Government High School ChakNaurang",CHAK NAURANG,128060402,-,-,,309,307,616,2,2,4
"",,CHAK NAURANG,128060403,-,-,,600,583,1183,,,
103 Total,,,,-,-,-,909,890,1799,2,2,4
104,"Government Girls High SchoolDhab Pari","HARCHARDHAB(DHAB PARI)",128060212,-,-,,350,354,704,2,2,4
"",,"HARCHARDHAB(DHAB PARI)",128060213,-,-,,59,57,116,,,
"",,"HARCHARDHAB (KOHE NOOR MIL)",128060214,-,-,,206,179,385,,,
104 Total,,,,-,-,-,615,590,1205,2,2,4
105,"Government Girls Primary SchoolDhab Khushal","HARCHARDHAAB(DHAB KALAN)",128060205,-,-,,79,92,171,2,2,4
"HARCHARDHAB(DHAB KHUSH HAAL)",128060208,-,-,,310,327,637,,,,,
"HARCHARDHAB(DHAB KALAN)",128060209,-,-,,257,249,506,,,,,
"HARCHARDHAB(DHAB KALAN)",128060210,-,-,,144,146,290,,,,,
106,"Government Elementary SchoolThanil Fatohi",THANIL FATOOHI,128020301,-,-,,419,412,831,2,2,4
"",,THANIL FATOOHI,128020303,-,-,,275,282,557,,,
"",,RAKH JIWAL,128020305,-,-,,9,12,21,,,
106 Total,,,,-,-,-,703,706,1409,2,2,4
107,"Government Girls ElementarySchool Thanil Fatohi",THANIL FATOOHI,128020302,-,-,,477,0,477,4,0,4
"",,THANIL FATOOHI,128020304,-,-,,754,0,754,,,
107 Total,,,,-,-,-,1231,0,1231,4,0,4
108,"Government Girls ElementarySchool Thanil Fatohi",THANIL FATOOHI,128020302,-,-,,0,434,434,0,3,3
