Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. of Voterson the electoralRoll in caseelectoral area inbifurcated","No. of Voters Against to Pollingstations",No. of Polling Boths,,,,,,
"",,BHANo. WALA,229050503,,,,446,0,446,,,
"",,Bhano Wala,229050504,,,,193,0,193,,,
36.Total,,,,,,,1352,0,1352,4,0,4
37,Government Boys Primary School Taray Wala,,,Chah Lohar Wala,229080101,,76,0,76,2,0,2
"",,,,Gulshan Saeed Colony,229080102,,543,0,543,,,
"",,,,Turk Abad,229080103,,520,0,520,,,
37.Total,,,,,,,1139,0,1139,2,0,2
38,Office Agriculture officer Jampur,,,Chah Lohar Wala,229080101,,0,75,75,0,2,2
"",,,,Gulshan Saeed Colony,229080102,,0,169,169,,,
"",,,,Turk Abad,229080103,,0,427,427,,,
38.Total,,,,,,,0,671,671,0,2,2
39,Government Girls Primary School Mehray Wala,,,Farooq Town,229080104,,0,264,264,0,3,3
"",,,,Khosa Colony,229080105,,0,413,413,,,
"",,,,Gulshan Saeed Colony,229080106,,0,455,455,,,
"",,,,Farooq Town,229080107,,0,148,148,,,
"",,,,Khosa Colony,229080108,,0,68,68,,,
"",,,,Khosa Colony,229080109,,0,90,90,,,
39.Total,,,,,,,0,1438,1438,0,3,3
40,"Government Boys Model Primary School No.6Jam Pur",,,Farooq Town,229080104,,347,0,347,3,0,3
"",,,,Khosa Colony,229080105,,493,0,493,,,
"",,,,Ghulsan Saeed,229080106,,159,0,159,,,
"",,,,Farooq Twon,229080107,,193,0,193,,,
"",,,,Khosa colony,229080108,,96,0,96,,,
"",,,,Khosa Colony,229080109,,188,0,188,,,
40.Total,,,,,,,1476,0,1476,3,0,3
41,"ABAD Technical Training Center JampurAdjacent to PS city Jampur",,,AwamColony,229080201,,247,0,247,3,0,3
"",,,,AwamColony,229080202,,410,0,410,,,
"",,,,AwamColony,229080203,,609,0,609,,,
"",,,,AwamColony,229080204,,94,0,94,,,
41.Total,,,,,,,1360,0,1360,3,0,3
42,Government Girls High School Jam Pur,,,AwamColony,229080201,,0,244,244,0,3,3
"",,,,AwamColony,229080202,,0,386,386,,,
"",,,,AwamColony,229080203,,0,569,569,,,
"",,,,AwamColony,229080204,,0,86,86,,,
42.Total,,,,,,,0,1285,1285,0,3,3
"",,Kotla Peeran Shah,229080301,,537,0,537,,,,,
"",,,,Darra Thakray wala,229080305,,583,0,583,,,
43.Total,,,,,,,1331,0,1331,4,0,4
44,Government City High School Jam Pur,,,Kotla Peeran Shah,229080301,,0,469,469,0,4,4
"",,,,Kotla Peeran Shah,229080303,,0,166,166,,,
"",,,,Darra Thakray wala,229080305,,0,480,480,,,
44.Total,,,,,,,0,1115,1115,0,4,4
45,"Government Boys Elementary School No.2 JamPur",,,Kotla Peeran Shah,229080302,,45,0,45,4,0,4
"",,,,Kotla Peeran Shah,229080304,,567,0,567,,,
"",,,,Ali Pur,229080306,,349,0,349,,,
45.Total,,,,,,,961,0,961,4,0,4
46,Government Degree College for Women,,,Kotla Peeran Shah,229080302,,0,42,42,0,4,4
"",,,,Kotla Peeran Shah,229080304,,0,462,462,,,
"",,,,Ali Pur,229080306,,0,317,317,,,
46.Total,,,,,,,0,821,821,0,4,4
47,Government Commerce College Jam Pur,,,Mohammad Alpur/ Bakru wala,229080307,,521,0,521,3,0,3
"",,,,Hayderiya Colony,229080401,,613,0,613,,,
"",,,,Mohallah Ali,229080402,,3,0,3,,,
"",,,,Kotla Peran Shah,229080308,,244,0,244,,,
47.Total,,,,,,,1381,0,1381,3,0,3
48,Government Commerce College Jampur,,,Dara Thakry Wala,229080309,,462,0,462,3,0,3
"",,,,Dara Thakry Wala,229080310,,416,0,416,,,
"",,,,Ali pur,229080311,,500,0,500,,,
"",,,,Ali Pur,229080312,,370,0,370,,,
48.Total,,,,,,,1748,0,1748,3,0,3
49,Govternment Degree College for women,,,Dara Thakry wala,229080309,,0,419,419,0,3,3
"",,,,Dara Thakry Wala,229080310,,0,359,359,,,
"",,,,Ali Pur,229080311,,0,430,430,,,
"",,,,Ali Pur,229080312,,0,338,338,,,
49.Total,,,,,,,0,1546,1546,0,3,3
50,Government Degree College for Women,,,Mohammad Alpur/ Bakru wala,229080307,,0,410,410,0,3,3
"",,,,Hayderiya Colony,229080401,,0,500,500,,,
"",,,,Mohallah Ali,229080402,,0,7,7,,,
"",,,,Kot Peran Shah,229080308,,0,217,217,,,
50.Total,,,,,,,0,1134,1134,0,3,3
51,Darul Falah Jam Pur,,,Mohallah Chandiya,229080403,,0,132,132,0,3,3
"",,,,Mohallah Gormani,229080404,,0,465,465,,,
"",,,,Mohallah Islamabad Abad,229080405,,0,392,392,,,
51.Total,,,,,,,0,989,989,0,3,3
52,Government Boys Primary School No.5 Jam Pur,,,Mohallah Chandiya,229080403,,144,0,144,3,0,3
"",,,,Mohallah Gormani,229080404,,532,0,532,,,
"",,,,Mohallah Islamabad Abad,229080405,,323,0,323,,,
52.Total,,,,,,,999,0,999,3,0,3
53,Government Girls Primary School Massan Shah,,,Mohallah Jaman Shah,229080406,,0,524,524,0,3,3
"",,,,Gulshan Colony,229080407,,0,1055,1055,,,
"",,,,Mohallah Ali,229080408,,0,415,415,,,
53.Total,,,,,,,0,1994,1994,0,3,3
54,Government Boys Primary School No.4 Jam Pur,,,Mohallah Jaman Shah,229080406,,604,0,604,4,0,4
"",,,,Gulshan Colony,229080407,,1432,0,1432,,,
"",,,,Mohallah Ali,229080408,,550,0,550,,,
54.Total,,,,,,,2586,0,2586,4,0,4
55,"Government Girls Primary School Kotla PiranShah No.2 Jam Pur",,,Mohallah Qaziiyan,229080501,,579,0,579,3,0,3
"",,,,Mohallah Qureshi,229080503,,691,0,691,,,
"",,,,Mohallah Araeen,229080507,,418,0,418,,,
55.Total,,,,,,,1688,0,1688,3,0,3
56,"Government Girls Primary School Basti NoorMuhammad No.2 Jam Pur Sharqi",,,Mohallah Qaziiyan,229080501,,0,533,533,0,2,2
"",,Mohallah Qureshi,229080503,,0,572,572,,,,,
"",,Mohallah Araeen,229080507,,0,369,369,,,,,
57,Government Girls Primary School No.1 Jam Pur,,,Mohallah Chaudhry,229080502,,0,391,391,0,2,2
"",,,,Mohallah Arif Saeed Colony,229080504,,0,163,163,,,
"",,,,Mohallah Kastoori,229080505,,0,288,288,,,
"",,,,Mohallah Usmaniya,229080506,,0,225,225,,,
"",,,,Mohallah GadKallan,229080508,,0,260,260,,,
57.Total,,,,,,,0,1327,1327,0,2,2
58,"Government Boys Elementary School No.1 JamPur",,,Mohallah Chaudhry,229080502,,477,0,477,3,0,3
"",,,,Mohallah Arif Saeed Colony,229080504,,190,0,190,,,
"",,,,Mohallah Kastoori,229080505,,357,0,357,,,
"",,,,Mohallah Usmaniya,229080506,,292,0,292,,,
"",,,,Mohallah GadKallan,229080508,,312,0,312,,,
58.Total,,,,,,,1628,0,1628,3,0,3
59,Government Girls High School No.2 Jam Pur,,,Lal Parwana,229080601,,0,424,424,0,2,2
"",,,,MadnColony,229080602,,0,360,360,,,
"",,,,Mohammadiya Colony,229080603,,0,91,91,,,
59.Total,,,,,,,0,875,875,0,2,2
60,"Government Boys Elementary School No.3 JamPur",,,Lal Parwana,229080601,,460,0,460,3,0,3
"",,,,MadnColony,229080602,,432,0,432,,,
"",,,,Mohammadiya Colony,229080603,,92,0,92,,,
60.Total,,,,,,,984,0,984,3,0,3
61,Government Boys Model High School Jam Pur,,,Mohammadiya Colony,229080604,,555,0,555,3,0,3
"",,,,Mohallah Mohammadia,229080609,,410,0,410,,,
61.Total,,,,,,,965,0,965,3,0,3
62,Government Girls High School No.1 Jam Pur,,,Mohammadiya Colony,229080604,,0,452,452,0,3,3
"",,,,Mohammadiya Colony,229080609,,0,502,502,,,
62.Total,,,,,,,0,954,954,0,3,3
63,Govternment Girls High School Jampur No. 1,,,Mohallah Mohammadiya,229080610,,0,556,556,0,4,4
"",,,,Mohallah Arif,229080612,,0,232,232,,,
63.Total,,,,,,,0,788,788,0,4,4
64,Government Girls High School No. 1 Jampur,,,Mohallah Arif Saeed,229080613,,0,209,209,0,3,3
"",,,,Mohallah Arif Saeed,229080614,,0,247,247,,,
"",,,,Mohallah Arif Saeed,229080615,,0,221,221,,,
"",,,,Mohallah Arif Saeed,229080616,,0,319,319,,,
64.Total,,,,,,,0,996,996,0,3,3
65,Government Girls High School No. 1 Jampur,,,Mohallah Arif,229080617,,0,134,134,0,3,3
"",,,,Mohallah Arif,229080618,,0,404,404,,,
"",,,,Arif Saeed,229080619,,0,215,215,,,
"",,,,Noor Shah Ghazi,229080620,,0,200,200,,,
65.Total,,,,,,,0,953,953,0,3,3
66,Government Boys Model High School Jam Pur,,,Arif Saeed Colony,229080605,,0,0,0,3,0,3
"",,,,Arif Saeed Colony,229080611,,328,0,328,,,
66.Total,,,,,,,328,0,328,3,0,3
67,Government Boys Model High School Jampur,,,Mohallah Mohammadiya,229080610,,760,0,760,3,0,3
"",,,,Arif Saeed Colony,229080612,,259,0,259,,,
67.Total,,,,,,,1019,0,1019,3,0,3
68,Government Boys Model High School Jampur,,,Mohllah Arif Saeed,229080613,,252,0,252,3,0,3
"",,,,Mohallah Arif Saeed,229080614,,285,0,285,,,
"",,,,Mohallah Arif Saeed,229080615,,296,0,296,,,
"",,,,Mohallah Arif Saeed,229080616,,379,0,379,,,
68.Total,,,,,,,1212,0,1212,3,0,3
69,Government Boys Model High School Jampur,,,Mohallah Arif,229080617,,178,0,178,4,0,4
"",,,,Mohallah Arif,229080618,,572,0,572,,,
"",,,,Arif Saeed,229080619,,322,0,322,,,
"",,,,Noor Shah Ghazi,229080620,,245,0,245,,,
69.Total,,,,,,,1317,0,1317,4,0,4
70,Sir Syed Public School Jampur,,,Arif Saeed Colony,229080605,,0,0,0,0,3,3
"",,,,Arif Saeed Colony,229080611,,0,312,312,,,
70.Total,,,,,,,0,312,312,0,3,3
71,Government Boys Model High School Jam Pur,,,Arif Saeed Colony,229080606,,657,0,657,3,0,3
"",,,,Noor Shah Ghazi,229080607,,378,0,378,,,
"",,,,Lal Parwana,229080608,,505,0,505,,,
71.Total,,,,,,,1540,0,1540,3,0,3
"",,Arif Saeed Colony,229080606,,0,627,627,,,,,
"",,,,Lal Parwana,229080608,,0,455,455,,,
72.Total,,,,,,,0,1442,1442,0,3,3
73,"Government Boys Elementary School TattarWala",TATAR WALA,229050611,,,,239,0,239,4,0,4
"",,TATAR WALA,229050612,,,,251,0,251,,,
"",,TATAR WALA,229050614,,,,608,0,608,,,
"",,TATAR WALA,229050615,,,,403,0,403,,,
"",,TATAR WALA,229050616,,,,165,0,165,,,
"",,TATAR WALA,229050617,,,,346,0,346,,,
73.Total,,,,,,,2012,0,2012,4,0,4
74,"Government Boys Elementary School TattarWala",TATAR WALA,229050611,,,,0,190,190,0,3,3
"",,TATAR WALA,229050612,,,,0,187,187,,,
"",,TAR WALA,229050614,,,,0,460,460,,,
"",,TATAR WALA,229050615,,,,0,390,390,,,
"",,TATAR WALA,229050616,,,,0,173,173,,,
"",,TATAR WALA,229050617,,,,0,280,280,,,
74.Total,,,,,,,0,1680,1680,0,3,3
75,Government Girls Primary School Basti Awan,TATAR WALA,229050613,,,,211,0,211,2,0,2
"",,TATAR WALA,229050618,,,,347,0,347,,,
"",,TATAR WALA,229050619,,,,131,0,131,,,
"",,TATAR WALA,229050622,,,,122,0,122,,,
"",,TATAR WALA,229050623,,,,271,0,271,,,
75.Total,,,,,,,1082,0,1082,2,0,2
76,Union Council Tatar Wala,TATAR WALA,229050613,,,,0,128,128,0,3,3
"",,TATAR WALA,229050618,,,,0,19,19,,,
"",,TATAR WALA,229050619,,,,0,394,394,,,
"",,TATAR WALA,229050622,,,,0,151,151,,,
"",,TATAR WALA,229050623,,,,0,203,203,,,
76.Total,,,,,,,0,895,895,0,3,3
77,"Government Girls Primary School No.1 GarhiSultan Shah",GARHSULTAN SHAH,229050601,,,,179,143,322,1,1,2
"",,GARHSULTAN SHAH,229050602,,,,297,272,569,,,
"",,GARHSULTAN SHAH,229050603,,,,187,122,309,,,
"",,GARHI SULTAN SHAH,229050621,,,,70,53,123,,,
"",,GARHI SULTAN SHAN,229050622,,,,63,19,82,,,
77.Total,,,,,,,796,609,1405,1,1,2
78,"Government Boys Primary School No.2 GarhiSultan Shah",GARHSULTAN SHAH,229050604,,,,96,84,180,2,2,4
"",,GARHSULTAN SHAH,229050605,,,,156,129,285,,,
"",,GARHSULTAN SHAH,229050606,,,,229,181,410,,,
"",,GARHSULTAN SHAH,229050607,,,,502,415,917,,,
78.Total,,,,,,,983,809,1792,2,2,4
79,"Government Girls Primary School No.2 GarhiSultan Shah",GARHSULTAN SHAH,229050608,,,,400,320,720,3,1,4
"",,GARHSULTAN SHAH,229050609,,,,612,456,1068,,,
"",,GARHSULTAN SHAH,229050610,,,,22,21,43,,,
79.Total,,,,,,,1034,797,1831,3,1,4
80,"Government Girls Elementary School TattarWala Jampur",JAMPUR RURAL,229050101,,,,308,0,308,4,0,4
"",,JAMPUR RURAL,229050102,,,,404,0,404,,,
"",,JAMPUR RURAL,229050103,,,,174,0,174,,,
"",,JAMPUR RURAL,229050104,,,,416,0,416,,,
"",,JAMPUR RURAL,229050105,,,,145,0,145,,,
"",,JAMPUR RURAL,229050106,,,,231,0,231,,,
"",,JAMPUR RURAL,229050107,,,,137,0,137,,,
"",,JAMPUR RURAL,229050108,,,,154,0,154,,,
80.Total,,,,,,,1969,0,1969,4,0,4
JAMPUR RURAL,229050101,,,,0,261,261,,,,,
JAMPUR RURAL,229050102,,,,0,261,261,,,,,
JAMPUR RURAL,229050103,,,,0,203,203,,,,,
JAMPUR RURAL,229050104,,,,0,247,247,,,,,
JAMPUR RURAL,229050105,,,,0,239,239,,,,,
JAMPUR RURAL,229050106,,,,0,195,195,,,,,
"",,JAMPUR RURAL,229050108,,,,0,40,40,,,
81.Total,,,,,,,0,1540,1540,0,3,3
82,Government Boys Primary School Basti Gaddan,BastiGUDDAN,229051007,,,,345,0,345,4,0,4
"",,BastiGUDDAN,229051008,,,,302,0,302,,,
"",,BastiGUDDAN,229051009,,,,242,0,242,,,
"",,BastiGUDDAN,229051010,,,,547,0,547,,,
"",,Basti Guddan,229051011,,,,98,0,98,,,
"",,Basti Guddan,229051012,,,,436,0,436,,,
"",,Basti Guddan,229051013,,,,319,0,319,,,
82.Total,,,,,,,2289,0,2289,4,0,4
83,Government Girls Primary School Basti Gaddan,BastiGUDDAN,229051007,,,,0,277,277,0,4,4
"",,BastiGUDDAN,229051008,,,,0,240,240,,,
"",,BastiGUDDAN,229051009,,,,0,197,197,,,
"",,BastiGUDDAN,229051010,,,,0,200,200,,,
"",,Basti Guddan,229051011,,,,0,280,280,,,
"",,Basti Guddan,229051012,,,,0,297,297,,,
"",,Basti Guddan,229051013,,,,0,346,346,,,
83.Total,,,,,,,0,1837,1837,0,4,4
84,Government Boys High School Nawan Baigraj,NAWAN BEGRAJ,229051001,,,,605,0,605,4,0,4
"",,NAWAN BEGRAJ,229051002,,,,157,0,157,,,
"",,NAWAN BEGRAJ,229051003,,,,372,0,372,,,
"",,NAWAN BEGRAJ,229051004,,,,254,0,254,,,
84.Total,,,,,,,1388,0,1388,4,0,4
85,Government Boys High School Nawan Begraj,NAWAN BEGRAJ,229051005,,,,391,0,391,2,0,2
"",,NAWAN BEGRAJ,229051006,,,,270,0,270,,,
"",,NAWAN BEGRAJ,229051014,,,,579,0,579,,,
85.Total,,,,,,,1240,0,1240,2,0,2
86,Government Girls High School Nawan Begraj,Nawan Begraj,229051005,,,,0,320,320,0,2,2
"",,Nawan Begraj,229051006,,,,0,211,211,,,
"",,Nawan Begraj,229051014,,,,0,456,456,,,
86.Total,,,,,,,0,987,987,0,2,2
87,Government Girls High School Nawan Baigraj,NAWAN BEGRAJ,229051001,,,,0,508,508,0,8,8
"",,NAWAN BEGRAJ,229051002,,,,0,222,222,,,
"",,NAWAN BEGRAJ,229051003,,,,0,315,315,,,
"",,NAWAN BEGRAJ,229051004,,,,0,180,180,,,
87.Total,,,,,,,0,1225,1225,0,8,8
88,"Government Girls Model Primary School MudAhmad Khan Sahoo Wala",SAHO WALA,229050901,,,,608,464,1072,2,1,3
"",,SAHO WALA,229050902,,,,474,361,835,,,
88.Total,,,,,,,1082,825,1907,2,1,3
89,"Government Boys Elementary School Basti MadRindan Tibbi Lundaan",TIBBLUNDAN,229010602,,,,55,0,55,2,0,2
"",,TIBBLUNDAN,229010603,,,,208,0,208,,,
"",,TIBBLUNDAN,229010604,,,,1322,0,1322,,,
89.Total,,,,,,,1585,0,1585,2,0,2
90,"Government Boys Elementary School Basti MadRindan Tibbi Lundan",Tibbi Lundan,229010602,,,,0,31,31,0,3,3
"",,Tibbi Lundan,229010603,,,,0,125,125,,,
"",,Tibbi Lundan,229010604,,,,0,862,862,,,
90.Total,,,,,,,0,1018,1018,0,3,3
91,Government Boys High School Tibbi Lundan,TIBBLUNDAN,229010601,,,,1177,763,1940,2,1,3
91.Total,,,,,,,1177,763,1940,2,1,3
92,Government Boys Primary School Ali Abad,ALABAD,229010206,,,,574,383,957,1,1,2
"",,BETA,229010207,,,,57,20,77,,,
92.Total,,,,,,,631,403,1034,1,1,2
93,"Government Girls Primary School Thul AliMuhammad",Thul Ali Mohammad,229010201,,,,308,333,641,3,1,4
"",,Thul Ali Mohammad,229010202,,,,347,197,544,,,
"",,Thul Ali Mohammad,229010203,,,,255,249,504,,,
"",,Thul Ali Mohammad,229010204,,,,519,300,819,,,
"",,Thul Ali Mohammad,229010205,,,,321,112,433,,,
93.Total,,,,,,,1750,1191,2941,3,1,4
94,Government Girls Primary School Thul Hairo,THUL HERO,229010401,,,,795,504,1299,2,2,4
THUL HERO,229010402,,,,388,264,652,,,,,
THUL HERO,229010403,,,,267,173,440,,,,,
THUL HERO,229010404,,,,369,274,643,,,,,
""
""
95,Government Boys Primary School Thul Jannan,THUL JANAN,229010405,,,,418,233,651,1,1,2
"",,THUL JANAN,229010406,,,,193,135,328,,,
95.Total,,,,,,,611,368,979,1,1,2
96,"Government Boys Primary School Basti LashkarKhan Thul Seerak",THUL GANMON,229010301,,,,286,193,479,2,2,4
"",,THUL GANMON,229010302,,,,129,113,242,,,
"",,THUL SIRAK,229010303,,,,447,325,772,,,
96.Total,,,,,,,862,631,1493,2,2,4
97,"Government Boys Primary School Karim AbadBasti Hooran Khosa Thul Alam",RAQBA DOODIANI,229010304,,,,427,370,797,2,2,4
"",,BastiSHAH ALBOHAR,229010305,,,,332,278,610,,,
"",,THUL ALAM KHAN,229010605,,,,440,209,649,,,
"",,LEK WALA,229050301,,,,40,28,68,,,
97.Total,,,,,,,1239,885,2124,2,2,4
98,"Government Boys Primary School RaqbaLundan Karam Khan Lund",RAQBA LUNDAN,229010701,,,,1660,845,2505,2,2,4
"",,KotliJAMAL,229010702,,,,278,171,449,,,
"",,KotliJAMAL,229010703,,,,119,49,168,,,
