1,2,3,4,5,6,7,8,9,10,11
"",,,Mohallah Awan Sharif,101030106,,165,0,165,,,
"",,,Mohallah Awan Sharif,101030201,,198,0,198,,,
"",,,Mohallah Awan Sharif,101030206,,10,0,10,,,
"",,,Muhammad Aslam Colony,101030303,,254,0,254,,,
"",,,Total: -,1290,0,1290,4,0,4,,
"",19,"NURSING TRAINING CENTER, ATTOCK (FEMALE)(P)",Mohallah Awan Sharif/Christian Town,101030104,,0,307,307,,,
"",,,Mohallah Awan Sharif,101030105,,0,294,294,,,
"",,,Mohallah Awan Sharif,101030106,,0,139,139,,,
"",,,Mohallah Awan Sharif,101030201,,0,171,171,,,
"",,,Mohallah Awan Sharif,101030206,,0,20,20,,,
"",,,Muhammad Aslam Colony,101030303,,0,209,209,,,
"",,,Total: -,,,0,1140,1140,0,4,4
"",20,"GOVT. POST GRADUATE COLLEGE ATTOCK(MALE)(P)",R-South Block,101040403,,482,0,482,,,
"",,,,,NM,11,0,11,,,
"",,,R-Block Mohallah Eidgah,101040505,,168,0,168,,,
"",,,R-Block Mohallah Eidgah,101040601,,292,0,292,,,
"",,,Total: -,,,953,0,953,3,0,3
"",21,"GOVT. POST GRADUATE COLLEGE ATTOCK(MALE)(P)",R-Block Mohallah Eidgah,101040602,,338,0,338,,,
"",,,R-Block Mohallah Eidgah,101040603,,117,0,117,,,
"",,,Mohallah Nai Abaadi Eidgah,101040604,,348,0,348,,,
"",,,R-Block,101040605,,222,0,222,,,
"",,,Total: -,,,1025,0,1025,3,0,3
"",22,"MC BOYS PRIMARY SCHOOL, NO. 3 (FEMALE)(P)",R-South Block,101040403,,0,489,489,,,
"",,,,,NM,0,7,7,,,
"",,,R-Block Mohallah Eidgah,101040505,,0,160,160,,,
"",,,R-Block Mohallah Eidgah,101040601,,0,258,258,,,
"",,,Total: -,,,0,914,914,0,3,3
"",23,"MC BOYS PRIMARY SCHOOL, NO. 3 (FEMALE)(P)",R-Block Mohallah Eidgah,101040602,,0,369,369,,,
R-Block Mohallah Eidgah,101040603,,0,106,106,,,,,,
Mohallah Nai Abaadi Eidgah,101040604,,0,341,341,,,,,,
R-Block,101040605,,0,202,202,,,,,,
Total: -,,,0,1018,1018,0,3,3,,,
C-Block,101040301,,145,0,145,,,,,,
"",,NM,3,0,3,,,,,,
A-Block,101040302,,133,0,133,,,,,,
""
""
24,"GOVT. PILOT SECONDARY SCHOOL ATTOCK(MALE)(P)",Police Line,101040101,,130,0,130,,,
"",,Sessions House,101040102,,62,0,62,,,
"",,Pleader Line,101040103,,100,0,100,,,
"",,B-Block,101040105,,166,0,166,,,
"",,E-Block,101040201,,234,0,234,,,
"",,Total: -,1219,0,1219,4,0,4,,
25,"GOVT. PILOT SECONDARY SCHOOL ATTOCK(FEMALE)(P)",C-Block,101040301,,0,98,98,,,
"",,,,NM,0,2,2,,,
"",,A-Block,101040302,,0,122,122,,,
"",,E-Block,101040303,,0,220,220,,,
"",,Police Line,101040101,,0,108,108,,,
"",,Sessions House,101040102,,0,72,72,,,
"",,Pleader Line,101040103,,0,87,87,,,
"",,B-Block,101040105,,0,150,150,,,
"",,E-Block,101040201,,0,197,197,,,
"",,Total: -,,,0,1056,1056,0,3,3
26,"MC  BOYS PRIMARY SCHOOL, NO. 4 (CHOI WEST)COMBINED)(P)",Mohallah Shah Abad,101050503,,281,264,545,,,
"",,Mohallah Shah Abad,101050506,,3,1,4,,,
"",,Mohallah Shah Abad,101050505,,327,312,639,,,
"",,Total: -,,,611,577,1188,2,2,4
27,"GOVT. GIRLS HIGH SCHOOL, CHOI WEST (MALE)(P)",Choi Middle,101040204,,354,0,354,,,
"",,Choi West,101040205,,326,0,326,,,
"",,Choi West,101040206,,394,0,394,,,
"",,Total: -,,,1074,0,1074,3,0,3
28,"GOVT. GIRLS HIGH SCHOOL, CHOI WEST (FEMALE)(P)",Choi Middle,101040204,,0,368,368,,,
"",,Choi West,101040205,,0,309,309,,,
"",,Choi West,101040206,,0,440,440,,,
"",,Total: -,,,0,1117,1117,0,3,3
29,M.C. BOYS HIGH SCHOOL ATTOCK (MALE)(P),F-Block,101040304,,122,0,122,,,
F-Block,101040305,,214,0,214,,,,,
Mohallah Shed R-Block,101040402,,574,0,574,,,,,
F-G-R-Block,101040404,,228,0,228,,,,,
Nai Abaadi G-Block,101040405,,202,0,202,,,,,
Total: -,,,1340,0,1340,4,0,4,,
Mohallah Shed,101040501,,298,0,298,,,,,
R-Block Mohallah Shed,101040502,,487,0,487,,,,,
R-Block Mohallah Shed,101040503,,259,0,259,,,,,
"",,Total: -,1211,0,1211,4,0,4,,
31,M.C.DISPENASARY ATTOCK (FEMALE)(T),F-Block,101040304,,0,91,91,,,
"",,,,NM,0,2,2,,,
"",,F-Block,101040305,,0,190,190,,,
"",,Mohallah Shed R-Block,101040402,,0,554,554,,,
"",,F-G-R-Block,101040404,,0,204,204,,,
"",,Nai Abaadi G-Block,101040405,,0,201,201,,,
"",,Total: -,0,1242,1242,0,4,4,,
32,"M.C.GIRLS MIDDLE SCHOOL ATTOCK (B-BLOCK)(FEMALE)(P)",Mohallah Shed,101040501,,0,284,284,,,
"",,R-Block Mohallah Shed,101040502,,0,486,486,,,
"",,R-Block Mohallah Shed,101040503,,0,264,264,,,
"",,R-Block Mohallah Shed,101040504,,0,167,167,,,
"",,Total: -,0,1201,1201,0,4,4,,
33,GOVT. ISLAMIA HIGH SCHOOL ATTOCK (MALE)(P),BDK-Block,101040104,,137,0,137,,,
"",,K-Block,101040202,,318,0,318,,,
"",,H-Block,101040203,,345,0,345,,,
"",,G-Block,101040401,,564,0,564,,,
"",,Total: -,1364,0,1364,4,0,4,,
34,GOVT. ISLAMIA HIGH SCHOOL ATTOCK (FEMALE)(P),BDK-Block,101040104,,0,137,137,,,
"",,K-Block,101040202,,0,197,197,,,
"",,H-Block,101040203,,0,208,208,,,
"",,G-Block,101040401,,0,520,520,,,
"",,Total: -,0,1062,1062,0,3,3,,
35,POWER HOUSE ATTOCK (MALE)(T),Mohallah Samander Abad,101050203,,420,0,420,,,
"",,Mohallah Ali Jaah,101050601,,504,0,504,,,
"",,Mohallah Shah Abad,101050602,,376,0,376,,,
"",,Total: -,,,1300,0,1300,4,0,4
36,POWER HOUSE ATTOCK (MALE)(T),Mohallah Shah Faisal,101050603,,729,0,729,,,
"",,Mohallah Shah Faisal,101050604,,222,0,222,,,
"",,Mohallah Shah Faisal,101050605,,144,0,144,,,
"",,Mohallah Shah Faisal,101050606,,251,0,251,,,
"",,Total: -,,,1346,0,1346,4,0,4
37,"GOVT. COLLEGE OF COMMERCE ATTOCK. (MALE)-I(P)",Mohallah Karbala,101050101,,588,0,588,,,
"",,NM,2,0,2,,,,,
Mohallah Karbala,101050102,,316,0,316,,,,,
"",,NM,6,0,6,,,,,
Total: -,,,912,0,912,3,0,3,,
38,"GOVT. COLLEGE OF COMMERCE ATTOCK. (MALE)-I(P)",Sarwar Road Dhok Fateh,101050104,,423,0,423,,,
"",Mohallah Karbala,101050105,,266,0,266,,,,
"",Mohallah Karbala,101050201,,159,0,159,,,,
"",Total: -,,,955,0,955,3,0,3,
39,"GOVT. COLLEGE OF COMMERCE ATTOCK. (MALE)-II(P)",Mohallah Mola Bhai Choi East,101050202,,243,0,243,,,
"",Mohallah Awan Abad Dhok Fateh,101050204,,308,0,308,,,,
"",Dhok Fateh,101050304,,336,0,336,,,,
"",Dhok Fateh,101050305,,209,0,209,,,,
"",Baryar,101050306,,328,0,328,,,,
"",Total: -,1424,0,1424,4,0,4,,,
40,"OFFICE OF THE MINERAL DEPARTMENT ATTOCK(MALE)(P)",Awan Abad,101050205,,513,0,513,,,
"",Mohallah Noorani,101050301,,410,0,410,,,,
"",Total: -,,,923,0,923,3,0,3,
41,"OFFICE OF THE MINERAL DEPARTMENT ATTOCK(MALE)(P)",Sarwar Road Mohallah Nasirabad,101050302,,561,0,561,,,
"",Mohallah Nasirabad,101050303,,257,0,257,,,,
"",Pind Ghulam Khan,101050504,,142,0,142,,,,
"",Total: -,960,0,960,3,0,3,,,
42,"LIVE STOCK OFFICE, ATTOCK (MALE)(P)",Choi East,101050401,,241,0,241,,,
"",,,NM,6,0,6,,,,
"",Choi West Mari Link Road,101050402,,363,0,363,,,,
"",Mohallah Bijli Ghar,101050405,,533,0,533,,,,
"",Mari Link Road,101050404,,350,0,350,,,,
"",Total: -,,1493,0,1493,4,0,4,,
43,"LIVE STOCK OFFICE, ATTOCK (MALE)(P)",Mohallah Amin Abad,101050501,,803,0,803,,,
"",Mohallah Masjid Usmania,101050502,,276,0,276,,,,
"",Choi West,101050403,,255,0,255,,,,
"",Total: -,1334,0,1334,4,0,4,,,
44,"GOVT. TECHNICAL COLLEGE, FATEH JANG ROADATTOCK (FEMALE)",Mohallah Karbala,101050101,,0,613,613,,,
"",,,NM,0,3,3,,,,
"",Mohallah Karbala,101050102,,0,300,300,,,,
"",,,NM,0,3,3,,,,
"",Zargham Haider St: Choi East,101050103,,0,123,123,,,,
"",Total: -,,,0,1042,1042,0,3,3,
45,"GOVT. TECHNICAL COLLEGE, FATEH JANG ROADATTOCK (FEMALE)",Mohallah Karbala,101050105,,0,245,245,,,
Mohallah Karbala,101050201,,0,137,137,,,,,
Mohallah Mola Bhai Choi East,101050202,,0,220,220,,,,,
Total: -,,,0,602,602,0,2,2,,
46,"GOVT. VETERINARY HOSPITAL NEAR EIDGAHATTOCK CITY (FEMALE)(P)",Mohallah Amin Abad,101050501,,0,721,721,,,
"",Total: -,,,0,1226,1226,0,4,4,
47,"GOVT. VETERINARY HOSPITAL NEAR EIDGAHATTOCK CITY (FEMALE)(P)",Choi East,101050401,,0,245,245,,,
"",,,NM,0,4,4,,,,
"",Choi West Mari Link Road,101050402,,0,381,381,,,,
"",Choi West,101050403,,0,231,231,,,,
"",Mari Link Road,101050404,,0,339,339,,,,
"",Mohallah Masjid Usmania,101050502,,0,236,236,,,,
"",Total: -,,,0,1436,1436,0,4,4,
48,"GOVT. BOYS  PRIMARY SCHOOL MOHALLAHSHAHABAD ATTOCK (FEMALE)(P)",Mohallah Samander Abad,101050203,,0,359,359,,,
"",Mohallah Ali Jaah,101050601,,0,472,472,,,,
"",Mohallah Shah Abad,101050602,,0,358,358,,,,
"",Total: -,,,0,1189,1189,0,4,4,
49,"GOVT. BOYS  PRIMARY SCHOOL MOHALLAHSHAHABAD ATTOCK (FEMALE)(P)",Mohallah Shah Faisal,101050603,,0,639,639,,,
"",Mohallah Shah Faisal,101050604,,0,190,190,,,,
"",Mohallah Shah Faisal,101050605,,"00","127197",127,,,,
"",Mohallah Shah Faisal,101050606,197,,,,,,,
"",Total: -,0,1153,1153,0,4,4,,,
50,"GOVT. BOYS  PRIMARY SCHOOL DHOKE FATEH NEARSLAUGHTER HOUSE ATTOCK (FEMALE)(P)",Sarwar Road Dhok Fateh,101050104,,0,391,391,,,
"",Mohallah Awan Abad Dhok Fateh,101050204,,0,272,272,,,,
"",Dhok Fateh,101050304,,0,325,325,,,,
"",Dhok Fateh,101050305,,0,193,193,,,,
"",Baryar,101050306,,0,288,288,,,,
"",Total: -,,,0,1469,1469,0,4,4,
51,"GOVT. GIRLS ELEMENTARY SCHOOL  PIND GHULAMKHAN (SARWAR ROAD) DHOKE FATEH ATTOCK(FEMALE)(P)",Awan Abad,101050205,,0,493,493,,,
"",Mohallah Noorani,101050301,,0,375,375,,,,
"",Total: -,0,868,868,0,2,2,,,
52,"GOVT. GIRLS ELEMENTARY SCHOOL  PIND GHULAMKHAN (SARWAR ROAD) DHOKE FATEH ATTOCK(FEMALE)(P)",Sarwar Road Mohallah Nasirabad,101050302,,0,552,552,,,
"",Mohallah Nasirabad,101050303,,0,258,258,,,,
"",Pind Ghulam Khan,101050504,,0,131,131,,,,
"",Total: -,0,941,941,0,3,3,,,
53,GOVT. BOYS PRIMARY SCHOOL BARYAR (FEMALE)(P),Baryar,101020101,,0,4,4,,,
Baryar,101020102,,0,740,740,,,,,
Baryar,101020103,,0,247,"247398",,,,,
Baryar,101020104,,0,398,,,,,,
Total: -,0,1389,1389,0,4,4,,,,
Baryar,101020101,,12,0,12,,,,,
54,GOVT. GIRLS HIGH SCHOOL BARYAR (MALE)(P),Baryar,101020103,,270,0,"270444",,,
"",,Baryar,101020104,,444,0,,,,
"",,Total: -,1490,0,1490,4,0,4,,
55,"GOVT. BOYS ELEMENTARY SCHOOL JASSIAN(COMBINED) (P)",Jassian,101020702,,729,681,1410,,,
"",,Total : -,,,729,681,1410,2,2,4
56,"GOVT. BOYS ELEMENTARY SCHOOL JASSIAN(COMBINED) (P)",Jassian,101020701,,445,393,838,,,
"",,Jassian,101020703,,253,243,496,,,
"",,Total : -,,,698,636,1334,2,2,4
57,"GOVT. GIRLS ELEMENTARY SCHOOL JASSIAN(COMBINED)(P)",Jassian,101020704,,507,446,953,,,
"",,Jassian,101020705,,226,158,384,,,
"",,Total : -,,,733,604,1337,2,2,4
58,"GOVT. BOYS HIGH SCHOOL MARI KANJOOR(MALE)(P)",Mari Kanjoor,101020801,,622,0,622,,,
"",,Mari Kanjoor,101020803,,640,0,640,,,
"",,Total : -,,,1262,0,1262,4,0,4
59,"GOVT. BOYS HIGH SCHOOL MARI KANJOOR(MALE)(P)",Mari Kanjoor,101020802,,702,0,702,,,
"",,Mari Kanjoor,101020804,,186,0,186,,,
"",,Mari Kanjoor,101020805,,58,0,58,,,
"",,Mari Kanjoor,101020818,,60,0,60,,,
"",,Total : -,,,1006,0,1006,3,0,3
60,"GOVT. GIRLS HIGH SCHOOL MARI KANJOOR(FEMALE)(P)",Mari Kanjoor,101020801,,0,594,594,,,
"",,Mari Kanjoor,101020803,,0,585,585,,,
"",,Total : -,,,0,1179,1179,0,4,4
61,"GOVT. GIRLS HIGH SCHOOL MARI KANJOOR(FEMALE)(P)",Mari Kanjoor,101020802,,0,651,651,,,
"",,Mari Kanjoor,101020804,,0,188,188,,,
"",,Mari Kanjoor,101020805,,0,41,41,,,
"",,Mari Kanjoor,101020818,,0,38,38,,,
"",,Total : -,,,0,918,918,0,3,3
62,GOVT. BOYS HIGH SCHOOL SHEENBAGH (MALE)(P),Sheen Bagh,101020806,,415,0,415,,,
"",,Sheen Bagh,101020807,,436,0,436,,,
"",,Sheen Bagh,101020808,,488,0,488,,,
"",,Sheen Bagh,101020822,,25,0,25,,,
"",,Total : -,,,1364,0,1364,4,0,4
63,"GOVT. BOYS HIGH SCHOOL SHEENBAGH(FEMALE)(P)",Sheen Bagh,101020806,,0,356,356,,,
Sheen Bagh,101020807,,0,403,403,,,,,
Sheen Bagh,101020808,,0,440,440,,,,,
Sheen Bagh,101020822,,0,7,7,,,,,
Total : -,,,0,1206,1206,0,4,4,,
64,"GOVT. BOYS PRIMARY SCHOOL SARWALA (ATSHEEN BAGH) (MALE)(P)",Sheen Bagh,101020810,,22,0,22,,,
"",,Sheen Bagh,101020811,,176,0,176,,,
"",,Sheen Bagh,101020812,,350,0,350,,,
"",,Sheen Bagh,101020819,,308,0,308,,,
"",,Sheen Bagh,101020820,,17,0,17,,,
"",,Total : -,,,1032,0,1032,3,0,3
65,"GOVT. BOYS PRIMARY SCHOOL SARWALA (ATSHEEN BAGH) (FEMALE)(P)",Sheen Bagh,101020809,,0,92,92,,,
"",,Sheen Bagh,101020810,,0,77,77,,,
"",,Sheen Bagh,101020811,,0,170,170,,,
"",,Sheen Bagh,101020812,,0,300,300,,,
"",,Sheen Bagh,101020819,,0,283,283,,,
"",,Sheen Bagh,101020820,,0,16,16,,,
"",,Total : -,,,0,938,938,0,3,3
66,"GOVT. BOYS ELEMENTARY SCHOOL SHEEN BAGHKALAN (MALE)(P)",Sheen Bagh,101020815,,643,0,643,,,
"",,Sheen Bagh,101020821,,82,0,82,,,
"",,Sheen Bagh,101020823,,86,0,86,,,
"",,Total : -,,,811,0,811,2,0,2
67,"GOVT. BOYS ELEMENTARY SCHOOL SHEEN BAGHKALAN (FEMALE)(P)",Sheen Bagh,101020815,,0,475,475,,,
"",,Sheen Bagh,101020821,,0,82,82,,,
"",,Sheen Bagh,101020823,,0,51,51,,,
"",,Total : -,,,0,608,608,0,2,2
68,"GOVT. GIRLS PRIMARY SCHOOL SHEEN BAGH(MALE)(P)",Sheen Bagh,101020813,,506,0,506,,,
"",,Sheen Bagh,101020814,,270,0,270,,,
"",,Sheen Bagh,101020816,,193,0,193,,,
"",,Total : -,,,969,0,969,3,0,3
69,"GOVT. GIRLS PRIMARY SCHOOL SHEEN BAGH(FEMALE)(P)",Sheen Bagh,101020813,,0,414,414,,,
"",,Sheen Bagh,101020814,,0,245,245,,,
"",,Sheen Bagh,101020816,,0,180,180,,,
"",,Total : -,,,0,839,839,0,2,2
70,"GOVT. BOYS PRIMARY SCHOOL DHERI LAGAL(COMBINED)(P)",Dheri Lagal,101020817,,325,239,564,,,
"",,Total: -,325,239,564,1,1,2,,
71,"GOVT. GIRLS PRIMARY SCHOOL DHOKE WARRAICH(COMBINED)(P)",Choi Garyala,101010301,,497,424,921,,,
Total: -,497,424,921,2,1,3,,,,
Choi Garyala,101010302,,463,423,886,,,,,
Choi Garyala,101010303,,143,113,256,,,,,
73,"GOVT. BOYS PRIMARY SCHOOL BAGH NELAB(COMBINED)(P)",Bagh Nelab,101010304,,315,286,601,,,
"",Bagh Nelab,101010305,,102,73,175,,,,
"",Total: -,417,359,776,1,1,2,,,
74,GOVT. BOYS PRIMARY SCHOOL GORA MAR (MALE)(P),Sojhanda Bata,101010306,,876,0,876,,,
"",Sojhanda Bata,101010308,,260,0,260,,,,
"",Total: -,1136,0,1136,3,0,3,,,
75,"GOVT. GIRLS PRIMARY SCHOOL GORA MAR(FEMALE)(P)",Sojhanda Bata,101010306,,0,831,831,,,
"",Sojhanda Bata,101010308,,0,236,236,,,,
"",Total: -,0,1067,1067,0,3,3,,,
76,GOVT. BOYS HIGH SCHOOL SOJHANDA (MALE)(P),Sojhanda Bata,101010307,,537,0,537,,,
"",Sojhanda Bata,101010309,,379,0,379,,,,
"",Sojhanda Bata,101010310,,376,0,376,,,,
"",Total: -,1292,0,1292,4,0,4,,,
77,GOVT. BOYS HIGH SCHOOL SOJHANDA (FEMALE)(P),Sojhanda Bata,101010307,,0,516,516,,,
"",Sojhanda Bata,101010309,,0,346,346,,,,
"",Sojhanda Bata,101010310,,0,344,344,,,,
"",Total: -,0,1206,1206,0,4,4,,,
78,"GOVT. BOYS PRIMARY SCHOOL DHERI CHOHAN(COMBINED)(P)",Dheri Chohan,101010409,,351,299,650,,,
"",Total: -,351,299,650,1,1,2,,,
79,"GOVT. BOYS PRIMARY SCHOOL DHERI KOT(COMBINED)(P)",Dheri Kot,101010407,,92,71,163,,,
"",Dheri Kot,101010408,,399,329,728,,,,
"",Total: -,491,400,891,2,1,3,,,
80,"GOVT. BOYS PRIMARY SCHOOL SUREG(COMBINED)(P)",Sureg Sallar (Surag),101010401,,327,278,605,,,
SUREG SALAR,101010402,,177,166,343,,,,,
Sureg Sallar (Surag),101010403,,75,77,152,,,,,
Total: -,579,521,1100,2,2,4,,,,
"",,Total: -,727,593,1320,2,2,4,,
82,"GOVT. GIRLS ELEMENTARY SCHOOL MONGIWALI(COMBINED)(P)",Sureg Sallar(Mongiwali),101010405,,440,373,813,,,
"",,Total: -,440,373,813,2,1,3,,
83,"GOVT. BOYS PRIMARY SCHOOL SALLAR(COMBINED)(P)",Sureg Sallar,101010404,,493,426,919,,,
"",,Rakh Kalla Chitta,101010410,,0,0,0,,,
"",,Total: -,493,426,919,2,1,3,,
84,GOVT. BOYS HIGH SCHOOL DAKHNAIR (MALE)(P),Dakhnair,101010101,,794,0,794,,,
"",,Dakhnair,101010102,,264,0,264,,,
"",,Total: -,,1058,0,1058,,,,
85,GOVT. BOYS HIGH SCHOOL DAKHNAIR (MALE)(P),Dakhnair,101010103,,282,0,282,,,
"",,Dakhnair,101010104,,277,0,277,,,
"",,Dakhnair,101010105,,223,0,223,,,
"",,Total: -,782,0,782,2,0,2,,
86,GOVT. GIRLS HIGH SCHOOL DAKHNAIR (FEMALE) (P),Dakhnair,101010101,,0,762,762,,,
"",,Dakhnair,101010102,,0,220,220,,,
"",,Total: -,,0,982,982,0,3,3,
87,GOVT. GIRLS HIGH SCHOOL DAKHNAIR (FEMALE) (P),Dakhnair,101010103,,0,260,260,,,
"",,Dakhnair,101010104,,0,217,217,,,
"",,Dakhnair,101010105,,0,194,194,,,
"",,Total: -,0,671,671,0,2,2,,
88,"GOVT. BOYS PRIMARY SCHOOL JABBA (COMBINED)(P)",Noorpur Kamalia,101010109,,243,173,416,,,
"",,Jaba,101010204,154,105,259,,,,
"",,Jaba,101010205,,215,156,371,,,
"",,Total: -,612,434,1046,2,1,3,,
89,"GOVT. BOYS ELEMENTARY SCHOOL BAROTHA(COMBINED) (P)",Barotha,101010202,,199,119,318,,,
"",,Barotha,101010203,460,453,913,,,,
"",,Barotha,101010207,,23,4,27,,,
"",,Total: -,682,576,1258,2,2,4,,
90,"GOVT. BOYS PRIMARY SCHOOL DHER (COMBINED)(P)",Dher,101010201,,632,556,1188,,,
"",,Dher,101010206,,12,10,22,,,
"",,Total: -,644,566,1210,2,2,4,,
91,"GOVT. BOYS PRIMARY SCHOOL DHOKE GAMADAKHLI SARWALA (MALE)(P)",Sarwala,101010501,,1541,0,1541,,,
"",,NM,1,0,1,,,,,
Total: -,,1542,0,1542,4,0,4,,,
92,"GOVT. GIRLS HIGH SCHOOL SHEEN BAGH (OLDBUILDING) (MALE) (P)",Sarwala,101010503,,34,0,34,,,
"",,Sarwala,101010504,,510,0,510,,,
"",,Sarwala,101010505,,713,0,713,,,
"",,Total: -,1268,0,1268,4,0,4,,
93,"GOVT. GIRLS HIGH SCHOOL SHEEN BAGH (OLDBUILDING) (FEMALE) (P)",Sarwala,101010501,,0,1523,1523,,,
"",,Total: -,,0,1523,1523,0,4,4,
94,"GOVT. GIRLS HIGH SCHOOL SHEEN BAGH (OLDBUILDING) (FEMALE) (P)",Sarwala,101010502,,0,7,7,,,
"",,Sarwala,101010503,,0,52,52,,,
"",,Sarwala,101010504,,0,416,416,,,
"",,Sarwala,101010505,,0,612,612,,,
