172,,,Jodha Ghuggian,185340202,,200,131,331,,Combined,,,
172,,,"Jodha Ghuggian BandRoad",185340203,,422,259,681,,Combined,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
173,AKS School System Swami Nagar Road Tazab,,Tiba Azeem Shah 185300102,,724,521,1245,1,1,2,Combined
"",Ahata,,Ghoray Shah Road Cha,,,,,,,,
"",,,Mirran,,,,,,,,
173 Total,,,,,724,521,1245,1,1,2,
174,Govt. Compenihansive higher Sceondary School,,Tiba Azeem Shah Road 185300103,,989,807,1796,2,1,3,Combined
"",Main Kot Khawaja Saeed Lahore ()(Part-XIII),,Cha Mirran,,,,,,,,
174 Total,,,,,989,807,1796,2,1,3,
175,CDG Middle School Kocha Muhammadi,,Sawami Nagar Tayzab 185300101,,1141,869,2010,2,2,4,Combined
"",,,Ahata Ghoray Shah,,,,,,,,
175 Total,,,,,1141,869,2010,2,2,4,
176,Govt. CDGL Girls High School Hammad Coloney,,Hamad Colony 185350402,,1081,0,1081,3,,3,Male
176,,,Hamad Colony 185350405,,169,0,169,,,0,Male
176 Total,,,,,1250,0,1250,3,0,3,
177,Govt. CDGL Girls High School Hammad Coloney,,Hamad Colony 185350402,,0,967,967,,2,2,Female
177,,,Hamad Colony 185350405,,0,19,19,,,0,Female
177 Total,,,,,0,986,986,0,2,2,
Grand Total,,,,,130074,100244,230318,266,191,457,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
1,City District Govt. High School Tazzab Ahatta,,Peeli Kothi Tayzab 185290104,,516,,516,1,0,1,Male
"",Baghban Pura Lahore Permanent,,Ahata Jinnah Park,,,,,,,,
1 Total,,,,,516,0,516,1,0,1,
2,City District Govt. High School Tazzab Ahatta,,Sowami Nagar Tayzab 185290105,1-1200,1200,,1200,3,0,3,Male
"",Baghban Pura Lahore Permanent,,Ahata,,,,,,,,
2 Total,,,,,1200,0,1200,3,0,3,
3,City District Govt. High School Tazzab Ahatta,,Peeli Kothi Tayzab 185290104,,,385,385,0,3,3,Female
"",Baghban Pura Lahore Permanent,,Ahata Jinnah Park,,,,,,,,
3,,,Sowami Nagar Tayzab 185290108,,,0,0,,,0,Female
"",,,Ahata,,,,,,,,
3,,,Sowami Nagar Tayzab 185290109,,,446,446,,,0,Female
"",,,Ahata,,,,,,,,
3,,,Sowami Nagar Tayzab 185290110,,,132,132,,,0,Female
"",,,Ahata,,,,,,,,
3 Total,,,,,0,963,963,0,3,3,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,"Pakistan Railway, Supritendent Office, G.T Road,Lahore.",,,"Sowami Nagar TayzabAhata",185290105,1201-2701,1501,,1501,2,0,2,Male
4 Total,,,,,,,1501,0,1501,2,0,2,
5,"City District Govt. High School Tazzab AhattaBaghban Pura Lahore Permanent",,,"Sowami Nagar TayzabAhata",185290108,,0,,0,2,0,2,Male
5,,,"Sowami Nagar TayzabAhata",185290109,,580,,580,0,Male,,,
5,,,"Sowami Nagar TayzabAhata",185290110,,199,,199,0,Male,,,
5 Total,,,,,,,779,0,779,2,0,2,
6,"City District Govt. High School Tazzab AhattaBaghban Pura Lahore Permanent",,,"Sowami Nagar TayzabAhata",185290105,,,2231,2231,0,4,4,Female
6 Total,,,,,,,0,2231,2231,0,4,4,
7,"City District Govt. High School Tazzab AhattaBaghban Pura Lahore Permanent",,,"Sowami Nagar TayzabAhata",185290106,,609,,609,4,0,4,Male
7,,,"Sowami Nagar TayzabAhata",185290111,,329,,329,0,Male,,,
7,,,"Sawami Nagar TezabAhata",260040302,,335,,335,0,Male,,,
7,,,"Sawami Nagar TezabAhata",260040305,,273,,273,0,Male,,,
7,,,"Sawami Nagar TezabAhata",260040307,,314,,314,0,Male,,,
7 Total,,,,,,,1860,0,1860,4,0,4,
8,"City District Govt. High School Tazzab AhattaBaghban Pura Lahore Permanent",,,"Sowami Nagar TayzabAhata",185290106,,,543,543,0,3,3,Female
8,,,"Sowami Nagar TayzabAhata",185290111,,,220,220,0,Female,,,
8,,,"Sawami Nagar TezabAhata",260040302,,,295,295,0,Female,,,
8,,,"Sawami Nagar TezabAhata",260040305,,,203,203,0,Female,,,
8,,,"Sawami Nagar TezabAhata",260040307,,,280,280,0,Female,,,
8 Total,,,,,,,0,1541,1541,0,3,3,
9,"City District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.",,,"Sultan Pura RoadTayzab Ahata",185290102,,745,,745,3,0,3,Male
9,,,"Sultan Pura RoadTayzab Ahata",185290107,,360,,360,0,Male,,,
9,,,"Sultan Pura TayzabAhata",185290101,,306,,306,0,Male,,,
9 Total,,,,,,,1411,0,1411,3,0,3,
10,,,"Sultan Pura TayzabAhata",185290101,,,217,217,2,Female,,,
S.No.,"No. and Name of Polling StationCity District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths0","FemaleBooths2","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,,,,"Sultan Pura RoadTayzab Ahata",185290107,,,271,271,,,0,Female
10 Total,,,,,,,0,1097,1097,0,2,2,
11,"City District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.",,,"Wairless / Shaja colonyTezab Ahata",260040308,,0,,0,4,0,4,Male
11,,,"Wairless / Shaja colonyTezab Ahata",260040306,,1155,,1155,0,Male,,,
11,,,Jinnah park Sultan Pura,185290103,,720,,720,0,Male,,,
11 Total,,,,,,,1875,0,1875,4,0,4,
12,"City District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.",,,Jinnah park Sultan Pura,185290103,,,616,616,0,3,3,Female
12,,,"Wairless / Shaja colonyTezab Ahata",260040308,,,0,0,0,Female,,,
12,,,"Wairless / Shaja colonyTezab Ahata",260040306,,,972,972,0,Female,,,
12 Total,,,,,,,0,1588,1588,0,3,3,
13,"City District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.",,,"Shaja colony TezabAhata",260040303,,1887,,1887,4,0,4,Male
13,,,"Shaja colony TezabAhata",260040304,,34,,34,0,Male,,,
13 Total,,,,,,,1921,0,1921,4,0,4,
14,"City District Govt.. Girls High School Jinnah Park,Daudi Pir, Sultan Pura, Lahore Permanent.",,,"Shaja colony TezabAhata",260040303,,,1383,1383,0,2,2,Female
14,,,"Shaja colony TezabAhata",260040304,,,3,3,0,Female,,,
14 Total,,,,,,,0,1386,1386,0,2,2,
15,"Pakistan Railway High School Abdul GhafoorAfzal Road Lahore ()",,,"Victoria Road NearShazo Liboratary",185290205,,534,0,534,2,0,2,Male
15,,,Domoria Pul Ghja Peer,185290206,,688,0,688,0,Male,,,
15 Total,,,,,,,1222,0,1222,2,0,2,
16,"Pakistan Railway High School Abdul GhafoorAfzal Road Lahore ()",,,"Victoria Road NearShazo Liboratary",185290205,,0,388,388,0,2,2,Female
16,,,Domoria Pul Ghja Peer,185290206,,0,538,538,0,Female,,,
16 Total,,,,,,,0,926,926,0,2,2,
17,"Pakistan Railway High School Abdul GhafoorAfzal Road Lahore ()",,,Railway Signal Shop,260130102,,660,0,660,2,,2,Male
17,,,Railway Signal Shop,260130103,,529,0,529,0,Male,,,
17 Total,,,,,,,1189,0,1189,2,0,2,
18,"Pakistan Railway High School Abdul GhafoorAfzal Road Lahore ()",,,Railway Signal Shop,260130102,,0,642,642,0,2,2,Female
18,,,Railway Signal Shop,260130103,,0,267,267,0,Female,,,
18 Total,,,,,,,0,909,909,0,2,2,
19,"Pakistan Railway Axis College of Art & ScienceG.T Road Lahore()",,,"P.R Hope Road RailwayColony",260130101,,542,449,991,1,1,2,Combined
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
20,"Pakistan Railway Axis College of Art & ScienceG.T Road Lahore ()",,,Loko Shed,260130203,,459,0,459,4,0,4,Male
20,,,"Achnat Garh EngineShed",260130202,,822,0,822,0,Male,,,
20,,,"Engine Shed AzeemColony",260130204,,256,0,256,0,Male,,,
20,,,"Railway Colony EngineShed",260130201,,428,0,428,0,Male,,,
20 Total,,,,,,,1965,0,1965,4,0,4,
21,"Pakistan Railway Axis College of Art & ScienceG.T Road Lahore()",,,Loko Shed,260130203,,0,329,329,0,3,3,Female
21,,,"Achnat Garh EngineShed",260130202,,0,687,687,0,Female,,,
21,,,"Engine Shed AzeemColony",260130204,,0,217,217,0,Female,,,
21,,,"Railway Colony EngineShed",260130201,,0,331,331,0,Female,,,
21 Total,,,,,,,0,1564,1564,0,3,3,
22,"Health Centre Pakistan Railway Baja Line PowerHouse PSS, Lahore ()",,,Layrics Colony,260130307,,111,0,111,3,0,3,Male
22,,,"Baja Line MughalpuraRoad Ghari Shaho",260130306,,538,0,538,0,Male,,,
22,,,"Railway Power HouseBaja Line",260130305,,468,0,468,0,Male,,,
22,,,"Railway Power HouseBaja Line",260130301,,425,0,425,0,Male,,,
22 Total,,,,,,,1542,0,1542,3,0,3,
23,"Health Centre Pakistan Railway Baja Line PowerHouse PSS, Lahore ()",,,Layrics Colony,260130307,,0,94,94,0,3,3,Female
23,,,"Baja Line MughalpuraRoad Ghari Shaho",260130306,,0,456,456,0,Female,,,
23,,,"Railway Power HouseBaja Line",260130305,,0,342,342,0,Female,,,
23,,,"Railway Power HouseBaja Line",260130301,,0,351,351,0,Female,,,
23 Total,,,,,,,0,1243,1243,0,3,3,
24,"Pakistan Railway Dispencery Baja Line PowerHouse Opp Railway Police Station, Lahore ()",,,"Railway Power HouseBaja Line",260130302,,421,314,735,2,2,4,Combined
24,,,"Railway Power HouseBaja Line",260130303,,305,235,540,0,Combined,,,
24,,,"Railway Power HouseBaja Line",260130304,,231,185,416,0,Combined,,,
24 Total,,,,,,,957,734,1691,2,2,4,
25,,,"Railway Colony EngineShed",260130205,,244,193,437,3,Combined,,,
S.No.,"No. and Name of Polling StationCD Middle School Pakistan Railway Power HouseMughalpura Road, Lahore ()","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths2","FemaleBooths1","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
25,,,,"Achnat GarhMughalpura",260140403,,245,168,413,,,0,Combined
25 Total,,,,,,,758,581,1339,2,1,3,
26,"Lahore College of Commerce & ComputerScience, GT Road, Lahore ()",,,"Achnat GarhMughalpura",260140401,,381,298,679,2,2,4,Combined
26,,,"Kachi Abadi AchnatGarh",260140402,,242,196,438,0,Combined,,,
26,,,"Railway ColonyMughalpura",260140404,,405,315,720,0,Combined,,,
26 Total,,,,,,,1028,809,1837,2,2,4,
27,"City District Govt. Boys High School Pake QuarterDars Road, Lahore  ()",,,Mian Park,260140405,,805,0,805,4,0,4,Male
27,,,"JameelabadMughalpura",260140501,,361,0,361,0,Male,,,
27,,,Begum Pura Sukh Pura,260140502,,265,0,265,0,Male,,,
27,,,"Layrics Colony SinghPura Sabzi Mandi",260140503,,245,0,245,0,Male,,,
27 Total,,,,,,,1676,0,1676,4,0,4,
28,"City District Govt. Boys High School Pake QuarterDars Road, Lahore  ()",,,Mian Park,260140405,,0,676,676,0,3,3,Female
28,,,"JameelabadMughalpura",260140501,,0,244,244,0,Female,,,
28,,,Begum Pura Sukh Pura,260140502,,0,202,202,0,Female,,,
28,,,"Layrics Colony SinghPura Sabzi Mandi",260140503,,0,203,203,0,Female,,,
28 Total,,,,,,,0,1325,1325,0,3,3,
29,"Ctiy District Government Girls High School NearUC-32 Dras Baray Mian, Lahore ()",,,"Dars Baray Mian AzeemGround",260140206,,876,0,876,4,0,4,Male
29,,,"Dars Baray Mian AzeemGround",260140211,,752,0,752,0,Male,,,
29,,,"Dars Baray Mian AzeemGround",260140212,,314,0,314,0,Male,,,
29 Total,,,,,,,1942,0,1942,4,0,4,
30,"Ctiy District Government Girls High School NearUC-32 Dras Baray Mian, Lahore  ()",,,"Dars Baray Mian AzeemGround",260140206,,0,1111,1111,,4,4,Female
30,,,"Dars Baray Mian AzeemGround",260140211,,0,345,345,0,Female,,,
30,,,"Dars Baray Mian AzeemGround",260140212,,0,203,203,0,Female,,,
30 Total,,,,,,,0,1659,1659,0,4,4,
31,"Government Technical Training Istitute, PakGerman Center, Mughalpura, Lahore ()",,,M.T.One.B. N Colony,260140201,,737,0,737,2,0,2,Male
31,,,M.T.One.B. N Colony,260140207,,347,0,347,0,Male,,,
31 Total,,,,,,,1084,0,1084,2,0,2,
32,"Government Technical Training Istitute, PakGerman Center, Mughalpura, Lahore ()",,,M.T.One.B. N Colony,260140201,,0,578,578,0,2,2,Female
32,,,M.T.One.B. N Colony,260140207,,0,355,355,0,Female,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
33,"Pakistan Railway Apprents Training CenterMughalpura, Lahore ()",,,"Military BaricsMughalpura",260140303,,208,112,320,4,0,4,Combined
33,,,"New Military BaricsMughalpura",260140304,,376,297,673,0,Combined,,,
33,,,"Azeem Ground DarsBaray Mian",260140302,,530,391,921,0,Combined,,,
33 Total,,,,,,,1114,800,1914,4,0,4,
34,"Pakistan Railway Apprents Training CenterMughalpura, Lahore ()",,,Dars Baray Mian,260140306,,665,0,665,4,0,4,Male
34,,,"Azeem Ground DarsBaray Mian",260140301,,412,0,412,0,Male,,,
34,,,Usman Abad,260140202,,354,0,354,0,Male,,,
34,,,Usman Abad,260140208,,316,0,316,0,Male,,,
34 Total,,,,,,,1747,0,1747,4,0,4,
35,"Pakistan Railway Apprents Training CenterMughalpura, Lahore ()",,,"Azeem Ground DarsBaray Mian",260140301,,0,309,309,,3,3,Female
35,,,Dars Baray Mian,260140306,,,540,540,0,Female,,,
35,,,Usman Abad,260140202,,0,235,235,0,Female,,,
35,,,Usman Abad,260140208,,0,282,282,0,Female,,,
35 Total,,,,,,,0,1366,1366,0,3,3,
36,"Govt. Boys High School Usmanabad Scheme No.2Mughalpura, Lahore  ()",,,"Abadi Usman AbadScheme No.2",260140205,,966,0,966,3,,3,Male
36,,,"Abadi Usman AbadScheme No.2",260140213,,271,0,271,0,Male,,,
36 Total,,,,,,,1237,0,1237,3,0,3,
37,"Govt. Girls High School Usmanabad Scheme No.2Mughalpura, Lahore  ()",,,"Abadi Usman AbadScheme No.2",260140205,,0,678,678,,2,2,Female
37,,,"Abadi Usman AbadScheme No.2",260140213,,0,199,199,0,Female,,,
37 Total,,,,,,,0,877,877,0,2,2,
38,"Govt. Boys High School Usmanabad Scheme No.2Mughalpura, Lahore  ()",,,"Kachi Abadi Dars BarayMian",260140305,,432,0,432,4,0,4,Male
38,,,"Dars Road Saray-E-Amyanwali",260140204,,510,0,510,0,Male,,,
38,,,"Dars Road Saray-E-Amyanwali",260140209,,279,0,279,0,Male,,,
38,,,"Dars Road Saray-E-Amyanwali",260140210,,185,0,185,0,Male,,,
38,,,"Dars Road Saray-E-Amyanwali",260140214,,0,0,0,0,Male,,,
38 Total,,,,,,,1406,0,1406,4,0,4,
39,,,"Kachi Abadi Dars BarayMian",260140305,,0,332,332,2,Female,,,
39,,,"Dars Road Saray-E-Amyanwali",260140204,,0,442,442,0,Female,,,
S.No.,"No. and Name of Polling StationGovt. Girls High School Usmanabad Scheme No.2Mughalpura, Lahore  ()","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths0","FemaleBooths2","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
39,,,,"Dars Road Saray-E-Amyanwali",260140210,,0,142,142,,,0,Female
39,,,"Dars Road Saray-E-Amyanwali",260140214,,0,0,0,0,Female,,,
39 Total,,,,,,,0,1092,1092,0,2,2,
40,"Govt. Muslim Leage High School, Empress Road,Lahore ()",,,D.S Office Bogi Road,185290202,,226,174,400,1,1,2,Combined
40,,,"Railway Station,Ghoshat Market",185290203,,27,43,70,0,Combined,,,
40 Total,,,,,,,253,217,470,1,1,2,
41,"Govt. Muslim Leage High School, Empress Road,Lahore ()",,,"Railway Station,Ghoshat Market",185290201,,958,724,1682,2,2,4,Combined
41,,,"Railway Station,Ghoshat Market",185290204,,0,0,0,0,Combined,,,
41 Total,,,,,,,958,724,1682,2,2,4,
42,"Pakistan Railway Lady Garefen School Near DSRailway office, Lahore ()",,,"Allama Iqbal Road ,Boher wala chowk",260150101,,445,0,445,3,0,3,Male
42,,,"Pringal Road, RailwayColony",260150107,,99,0,99,0,Male,,,
42,,,"Railway washing line D.Soffice",260150102,,268,0,268,0,Male,,,
42,,,"Railway washing line D.Soffice",260150108,,737,0,737,0,Male,,,
42 Total,,,,,,,1549,0,1549,3,0,3,
43,"Pakistan Railway Lady Garefen School Near DSRailway office, Lahore ()",,,"Allama Iqbal Road ,Boher wala chowk",260150101,,0,377,377,0,3,3,Female
43,,,"Pringal Road, RailwayColony",260150107,,0,97,97,0,Female,,,
43,,,"Railway washing line D.Soffice",260150102,,0,220,220,0,Female,,,
43,,,"Railway washing line D.Soffice",260150108,,0,519,519,0,Female,,,
43 Total,,,,,,,0,1213,1213,0,3,3,
44,"Pakistan Railway Lady Garefen College Near DSRailway office, Lahore ()",,,Burt colony Ghari Shahu,260150105,,578,410,988,2,2,4,Combined
44,,,"Venus Road ,Burt colony",260150106,,285,227,512,0,Combined,,,
44 Total,,,,,,,863,637,1500,2,2,4,
45,"Pakistan Railway Stadium, Lahore()",,,Washing line,260150103,,585,0,585,3,0,3,Male
45,,,Railway stadium,260150104,,331,0,331,0,Male,,,
45,,,"Main Bazar Garhi Shahu,Gali No.4,5",260150206,,349,0,349,0,Male,,,
45,,,Garhi Shahu,260150207,,162,0,162,0,Male,,,
45 Total,,,,,,,1427,0,1427,3,0,3,
46,,,Washing line,260150103,,0,470,470,2,Female,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
46,,,,"Main Bazar Garhi Shahu,Gali No.4,5",260150206,,0,304,304,,,0,Female
46,,,Garhi Shahu,260150207,,0,146,146,0,Female,,,
46 Total,,,,,,,0,1165,1165,0,2,2,
47,"City District Govt.Girls High School Noor JehanGali No.06 Garhi Shahu, Lahore ()",,,Garhi Shahu,260150202,,679,0,679,3,0,3,Male
47,,,Main Bazar Garhi Shaho,260150203,,450,0,450,0,Male,,,
47,,,Garhi Shahu,260150205,,394,0,394,0,Male,,,
47 Total,,,,,,,1523,0,1523,3,0,3,
48,"City District Govt.Girls High School Noor JehanGali No.06 Garhi Shahu, Lahore ()",,,Garhi Shahu,260150202,,0,505,505,0,3,3,Female
48,,,Main Bazar Garhi Shaho,260150203,,0,360,360,0,Female,,,
48,,,Garhi Shahu,260150205,,0,343,343,0,Female,,,
48 Total,,,,,,,0,1208,1208,0,3,3,
49,"City District Govt.Girls High School Noor JehanGali No.06 Garhi Shahu, Lahore ()",,,Garhi Shahu,260150201,,766,0,766,4,0,4,Male
49,,,Garhi Shahu,260150204,,324,0,324,0,Male,,,
49,,,"Sheikha Street, Sharf UlDin Street No.1",260150303,,414,0,414,0,Male,,,
49,,,"Main Bazar Jalali StreetNo.22,26",260150301,,188,,188,4,Male,,,
49,,,"Yousaf Street, MainBazar Garhi Shahu GaliNo.19",260150302,,434,0,434,0,Male,,,
49 Total,,,,,,,2126,0,2126,6,2,8,
50,"City District Govt.Girls High School Noor JehanGali No.06 Garhi Shahu, Lahore ()",,,Garhi Shahu,260150201,,0,637,637,0,4,4,Female
50,,,Garhi Shahu,260150204,,0,300,300,0,Female,,,
50,,,"Sheikha Street, Sharf UlDin Street No.1",260150303,,0,333,333,0,Female,,,
50,,,"Main Bazar Jalali StreetNo.22,26",260150301,,0,132,132,4,Female,,,
50,,,"Yousaf Street, MainBazar Garhi Shahu GaliNo.19",260150302,,0,333,333,0,Female,,,
50 Total,,,,,,,0,1735,1735,2,6,8,
51,"City District Govt. Dispersary Hassan Din StreetGarhi Shahu, Lahore ()",,,"Barni Road Garhi ShahuFeroz Street",260160102,,504,432,936,,,0,Combined
51 Total,,,,,,,504,432,936,0,0,0,
52,"Govt. Iqbal Hussain High School  Near PoliceStation Garhi Shahu, Lahore ()",,,Barni Road Garhi Shahu,260160101,,178,0,178,4,,4,Male
52,,,Barni Road Garhi Shahu,260160105,,1785,0,1785,0,Male,,,
52 Total,,,,,,,1963,0,1963,4,0,4,
53,,,Barni Road Garhi Shahu,260160105,,0,1562,1562,3,Female,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
53 Total,,,,,,,0,1722,1722,0,3,3,
54,"Govt. Iqbal Hussain High School  Near PoliceStation Garhi Shahu, Lahore ()",,,"Babar Street, UmerStreet-30,31,32,33,",260160104,,147,122,269,1,1,2,Combined
54,,,"Nishtar Park LayricsColony",260160202,,253,259,512,0,Combined,,,
54 Total,,,,,,,400,381,781,1,1,2,
55,"Govt. Iqbal Hussain High School  Near PoliceStation Garhi Shahu, Lahore ()",,,Main Bazar Garhi Shahu,260150404,,409,317,726,2,2,4,Combined
55,,,Main Bazar Garhi Shahu,260150403,,238,193,431,0,Combined,,,
55,,,Main Bazar Garhi Shahu,260150401,,208,198,406,0,Combined,,,
55,,,"Feroz Street, YogandaStreet Garhi Shahu",260150402,,549,484,1033,0,Combined,,,
55 Total,,,,,,,1404,1192,2596,2,2,4,
56,"City District Govt. Girls Elementary School BajaLine, Lahore ()",,,Baja Line,260160204,,545,453,998,2,2,4,combined
56,,,"Level Crossing, CanalBank",260160203,,336,400,736,0,Combined,,,
56 Total,,,,,,,881,853,1734,2,2,4,
57,"Wajdi Public High School, Toheed Park MujahidAbad",,,"Mujahid Abad SrayHakeem Chand",260180302,,666,583,1249,2,1,3,combined
57 Total,,,,,,,666,583,1249,2,1,3,
58,"Wajdi Public High School, Toheed Park MujahidAbad",,,"Mujahid Abad SahowariSani View Park",260180402,,641,564,1205,2,1,3,combined
58 Total,,,,,,,641,564,1205,2,1,3,
59,"Danish Public School, S t#19- A OppositeMuhammadia Masjid Sahowari",,,"Mujahid Abad SahowariMuhammadia Qadari",260180403,,618,504,1122,1,1,2,combined
59 Total,,,,,,,618,504,1122,1,1,2,
60,"Danish Public School, S t#19- A OppositeMuhammadia Masjid Sahowari",,,"Mujahid AbadMuhammadia GhosiaColony",260180404,,585,461,1046,1,1,2,combined
60 Total,,,,,,,585,461,1046,1,1,2,
61,"CDGL Boys High School, Main Bazar Ram Garh(Gurdwara School)",,,Mujahid Abad,260180301,,878,740,1618,2,1,3,combined
61 Total,,,,,,,878,740,1618,2,1,3,
62,"CDGL Boys High School, Main Bazar Ram Garh(Gurdwara School)",,,Mujahid Abad Nai Abadi,260180303,,619,519,1138,2,1,3,combined
62 Total,,,,,,,619,519,1138,2,1,3,
"",S.No.,"No. and Name of Polling StationCDGL Girls High School Sahowari Qadria Colony","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths2","FemaleBooths1","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",63,,,,"Mujahid Abad Ram GarhMughalpura",260180103,,468,357,825,,,0,combined
"",63 Total,,,,,,,1223,980,2203,2,1,3,
"",64,"Govt.Millat Girls High School, Majja Wala AdaShah Kamal Road",,,Mujahid Abad,260180104,,778,682,1460,2,1,3,combined
"",64 Total,,,,,,,778,682,1460,2,1,3,
"",65,"Govt.Millat Girls High School, Majja Wala AdaShah Kamal Road",,,"Mujahid Abad Ram GarhMughalpura",260180102,,788,650,1438,2,2,4,combined
"",65 Total,,,,,,,788,650,1438,2,2,4,
"",66,"Govt.Millat Girls High School, Majja Wala AdaShah Kamal Road",,,"Mujahid Abad Ram GarhMughalpura",260180101,,532,445,977,1,1,2,combined
"",66 Total,,,,,,,532,445,977,1,1,2,
"",67,"CDGL Girls Elementary School No.2 Lal SchoolMujahid Abad Ram Ghar Colony",,,Mujahid Abad,260180105,,771,665,1436,2,2,4,combined
"",67 Total,,,,,,,771,665,1436,2,2,4,
"",68,"CDGL Girls Elementary School No.2 Lal SchoolMujahid Abad Ram Ghar Colony",,,Mujahid Abad Nai Abadi,260180304,,1113,919,2032,2,2,4,combined
"",68 Total,,,,,,,1113,919,2032,2,2,4,
"",69,"CDGL Girls Elementary School No.2 Lal SchoolMujahid Abad Ram Ghar Colony",,,Mujahid Abad,260180203,,394,0,394,4,,4,Male
"",69,,,Mujahid Abad,260180204,,548,0,548,0,Male,,,
"",69,,,Mujahid Abad,260180202,,377,0,377,0,Male,,,
"",69,,,Mujahid Abad,260180206,,259,0,259,0,Male,,,
"",69 Total,,,,,,,1578,0,1578,4,0,4,
"",70,"CDGL Girls Elementary School No.2 Lal SchoolMujahid Abad Ram Ghar Colony",,,Mujahid Abad,260180203,,0,331,331,,3,3,Female
"",70,,,Mujahid Abad,260180204,,0,447,447,0,Female,,,
"",70,,,Mujahid Abad,260180202,,0,385,385,0,Female,,,
"",70,,,Mujahid Abad,260180206,,0,183,183,0,Female,,,
"",70 Total,,,,,,,0,1346,1346,0,3,3,
