"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,Kot Ishaq,169040508,-,-,,0,241,241,,,
"",,,Kot Ishaq,169040509,-,-,,0,342,342,,,
"",11  Total,,,,-,-,-,0,1151,1151,0,2,2
"",12,Govt. Girls Elementary  School Mehdi Abad,Mehdi Abad,169040601,-,-,,412,0,412,3,0,3
"",,,Mehdi Abad,169040602,-,-,,398,0,398,,,
"",,,Dhariwal,169040603,-,-,,360,0,360,,,
"",,,Chak Balaqi,169040604,-,-,,57,0,57,,,
"",12 Total,,,,-,-,-,1227,0,1227,3,0,3
"",13,"Govt. Basic Health Unit, Mehdi Abad.",Mehdi Abad,169040601,-,-,,0,343,343,0,2,2
"",,,Mehdi Abad,169040602,-,-,,0,268,268,,,
"",,,Dhariwal,169040603,-,-,,0,255,255,,,
"",,,Chak Balaqi,169040604,-,-,,0,31,31,,,
"",13 Total,,,,-,-,-,0,897,897,0,2,2
"",14,"Govt. Boys Primary School Bahik Muqeyy-ud-Din","Bahik Muqeyy-ud-Din",169040703,-,-,,239,185,424,2,1,3
"",,,Jahanian Khatrian,169040704,-,-,,284,186,470,,,
"",,,Pir Kot Shamali,169040708,-,-,,257,157,414,,,
"",,,Chak Kiara,169040709,-,-,,0,0,0,,,
"",,,Chack Khurd,169040805,-,-,,0,1,1,,,
"",,,Fariq Pur,169040808,-,-,,0,0,0,,,
"",14 Total,,,,-,-,-,780,529,1309,2,1,3
"",15,"Govt.Girls Elementary School English MediumChak Sajada",Chak Sajada,169040701,-,-,,447,343,790,2,1,3
"",,,Chak Sajada,169040702,-,-,,2,0,2,,,
"",,,Kot Fazal,169040707,-,-,,148,82,230,,,
"",,,Channi Pir Shah,169040802,-,-,,6,8,14,,,
"",,,Jago,169040803,-,-,,117,89,206,,,
"",,,Amir Kot,169040804,-,-,,0,0,0,,,
"",,,"Mehmood PurSharqi",169040806,-,-,,0,0,0,,,
"",,,Noshera,169040807,-,-,,0,0,0,,,
"",15 Total,,,,-,-,-,720,522,1242,2,1,3
"",16,"Govt. Girls Elementary School Behak AhmedYar     (East Side)",Kot Kamir,169040401,-,-,,132,0,132,2,0,2
"",,,Behik Ahmed Yar,169040406,-,-,,692,0,692,,,
"",,,Behik Ahmed Yar,169040407,-,-,,82,0,82,,,
"",,,Kakshal,169040801,-,-,,181,0,181,,,
"",16 Total,,,,-,-,-,1087,0,1087,2,0,2
"",17,"Govt. Girls Elementary School Behak AhmedYar (West Side)",Kot Kamir,169040401,-,-,,0,104,104,0,2,2
"",,,Behik Ahmed Yar,169040406,-,-,,0,514,514,,,
"",,,Behik Ahmed Yar,169040407,-,-,,0,64,64,,,
"",,,Kakshal,169040801,-,-,,0,117,117,,,
"",17 Total,,,,-,-,-,0,799,799,0,2,2
"",18,Govt. Boys Primary School Bukkan Kalan,Bukan Kalan,169040501,-,-,,160,0,160,2,0,2
Bukan Kalan,169040502,-,-,,390,0,390,,,,,,
Bukan Kalan,169040503,-,-,,201,0,201,,,,,,
Bukan Khurd,169040505,-,-,,342,0,342,,,,,,
"",19,Govt. Boys Primary School Bukkan Kalan,Bukan Kalan,169040501,-,-,,0,138,138,0,2,2
"",,,Bukan Kalan,169040502,-,-,,0,290,290,,,
"",,,Bukan Kalan,169040503,-,-,,0,152,152,,,
"",,,Bukan Khurd,169040505,-,-,,0,241,241,,,
"",19 Total,,,,-,-,-,0,821,821,0,2,2
"",20,"Govt.Boys Elementary School MohallahJahangir Pura, Vanike Tarar East Side",Vanike Tarar,169040210,-,-,,408,0,408,3,0,3
"",,,Vanike Tarar,169040211,-,-,,273,0,273,,,
"",,,Vanike Tarar,169040212,-,-,,561,0,561,,,
"",,,Vanike Tarar,169040213,-,-,,434,0,434,,,
"",,,Vanike Tarar,169040214,-,-,,134,0,134,,,
"",20 Total,,,,-,-,-,1810,0,1810,3,0,3
"",21,"Govt.Boys Elementary School MohallahJahangir Pura, Vanike Tarar West Side",Vanike Tarar,169040210,-,-,,0,330,330,0,2,2
"",,,Vanike Tarar,169040211,-,-,,0,187,187,,,
"",,,Vanike Tarar,169040212,-,-,,0,420,420,,,
"",,,Vanike Tarar,169040213,-,-,,0,297,297,,,
"",,,Vanike Tarar,169040214,-,-,,0,59,59,,,
"",21 Total,,,,-,-,-,0,1293,1293,0,2,2
"",22,"Govt. Higher Secondary School Vanike Tarar(East Side)",Vanike Tarar,169040204,-,-,,246,0,246,3,0,3
"",,,Vanike Tarar,169040205,-,-,,198,0,198,,,
"",,,Vanike Tarar,169040207,-,-,,314,0,314,,,
"",,,Vanike Tarar,169040208,-,-,,202,0,202,,,
"",,,Vanike Tarar,169040209,-,-,,355,0,355,,,
"",22 Total,,,,-,-,-,1315,0,1315,3,0,3
"",23,"Govt.Girls Higher Secondary School VanikeTarar  West Side",Vanike Tarar,169040204,-,-,,0,206,206,0,2,2
"",,,Vanike Tarar,169040205,-,-,,0,158,158,,,
"",,,Vanike Tarar,169040207,-,-,,0,259,259,,,
"",,,Vanike Tarar,169040208,-,-,,0,140,140,,,
"",,,Vanike Tarar,169040209,-,-,,0,279,279,,,
"",23 Total,,,,-,-,-,0,1042,1042,0,2,2
"",24,"Govt.Girls Higher Secondary School VanikeTarar  East Side",Vanike Tarar,169040206,-,-,,749,620,1369,2,2,4
"",24  Total,,,,-,-,-,749,620,1369,2,2,4
"",25,"Govt. Higher Secondary School Vanike Tarar(West Side)",Vanike Tarar,169040201,-,-,,609,0,609,2,0,2
"",,,Vanike Tarar,169040202,-,-,,158,0,158,,,
"",,,Vanike Tarar,169040203,-,-,,306,0,306,,,
"",25 Total,,,,-,-,-,1073,0,1073,2,0,2
"",26,"Govt. Higher Secondary School Vanike Tarar(South Side)",Vanike Tarar,169040201,-,-,,0,467,467,0,2,2
"",,,Vanike Tarar,169040202,-,-,,0,105,105,,,
"",,,Vanike Tarar,169040203,-,-,,0,238,238,,,
"",26 Total,,,,-,-,-,0,810,810,0,2,2
"",27,Govt.Primary School Kot Qadir Bukhsh,Kot Qadir Bukhsh,169040402,-,-,,252,214,466,2,1,3
"",,,Nahra,169040403,-,-,,35,27,62,,,
"",,,Rabbar,169040404,-,-,,237,167,404,,,
"",,,Rabbar,169040405,-,-,,287,196,483,,,
"",27  Total,,,,-,-,-,811,604,1415,2,1,3
"",28,Govt.Model Primary School Kharak Bhattian,Kot Kheru,169040107,-,-,,175,136,311,2,1,3
"",,,Kharak Bhattian,169060704,-,-,,372,331,703,,,
"",,,Kharak Bhattian,169060705,-,-,,310,237,547,,,
"",28 Total,,,,-,-,-,857,704,1561,2,1,3
"",29,"Govt.Elementary School Allowdinke Kalan(East Side)",Allowdinke,169060401,-,-,,158,0,158,2,0,2
Allowdinke,169060402,-,-,,472,0,472,,,,,,
Allowdinke,169060403,-,-,,452,0,452,,,,,,
"",30,"Govt.Elementary School Allowdinke Kalan(West Side)",Allowdinke,169060401,-,-,,0,119,119,0,2,2
"",,,Allowdinke,169060402,-,-,,0,385,385,,,
"",,,Allowdinke,169060403,-,-,,0,339,339,,,
"",30 Total,,,,-,-,-,0,843,843,0,2,2
"",31,"Govt. Girls Primary School Kot JanMuhammad",Khokhar,169040302,-,-,,35,17,52,2,1,3
"",,,Kot Jan Muhammad,169040303,-,-,,192,162,354,,,
"",,,Channi Choohar,169040304,-,-,,25,20,45,,,
"",,,Thathi Anok Singh,169060404,-,-,,369,243,612,,,
"",31  Total,,,,-,-,-,621,442,1063,2,1,3
"",32,"Govt.Boys Primary School, Kot PirMuhammad",Bahri Tarar,169060301,-,-,,210,144,354,2,1,3
"",,,Kot Mian,169060302,-,-,,140,125,265,,,
"",,,Kot Pir Muhammad,169060303,-,-,,398,261,659,,,
"",,,Burj Elahia,169060305,-,-,,90,24,114,,,
"",,,Uncha Kala,169060307,-,-,,0,0,0,,,
"",32  Total,,,,-,-,-,838,554,1392,2,1,3
"",33,Govt.  Girls Elementary School Asadullah Pur,Asadullah Pur,169040301,-,-,,537,475,1012,2,1,3
"",,,Burj Bhian,169040305,-,-,,76,48,124,,,
"",,,Channi Mehra,169040306,-,-,,2,3,5,,,
"",,,Kala,169060304,-,-,,0,0,0,,,
"",,,Malahnwala,169060306,-,-,,109,64,173,,,
"",33  Total,,,,-,-,-,724,590,1314,2,1,3
"",34,"Govt. Boys Primary School, Bhirri Chatha",Amrao Khurd,169060203,-,-,,189,158,347,2,1,3
"",,,Thatha Pannah,169060207,-,-,,167,128,295,,,
"",,,Bhirri Chatha,169060406,-,-,,457,346,803,,,
"",34  Total,,,,-,-,-,813,632,1445,2,1,3
"",35,"Govt.Secondary School Sooianwala (EastSide)",Sooianwala,169060501,-,-,,937,0,937,3,0,3
"",,,Sooianwala,169060502,-,-,,533,0,533,,,
"",35  Total,,,,-,-,-,1470,0,1470,3,0,3
"",36,"Govt.Secondary School Sooianwala (WestSide)",Sooianwala,169060501,-,-,,0,719,719,0,2,2
"",,,Sooianwala,169060502,-,-,,0,419,419,,,
"",36  Total,,,,-,-,-,0,1138,1138,0,2,2
"",37,"Govt. Girls Community Model ElemantarySchool,  Sooianwala.",Thatha Shamsa,169060407,-,-,,359,0,359,2,0,2
"",,,Sooianwala,169060503,-,-,,382,0,382,,,
"",,,Sooianwala,169060504,-,-,,364,0,364,,,
"",37 Total,,,,-,-,-,1105,0,1105,2,0,2
"",38,"Govt. Girls Higher Secondary SchoolSooianwala",Thatha Shamsa,169060407,-,-,,0,228,228,0,2,2
"",,,Sooianwala,169060503,-,-,,0,331,331,,,
"",,,Sooianwala,169060504,-,-,,0,336,336,,,
"",38 Total,,,,-,-,-,0,895,895,0,2,2
"",39,"Govt.English Medium Primary School NakkiChatha (East Side)",Nakki Chatha,169060201,-,-,,594,0,594,2,0,2
"",,,Nakki Chatha,169060202,-,-,,158,0,158,,,
"",,,Kot Bakhsh,169060204,-,-,,220,0,220,,,
"",39 Total,,,,-,-,-,972,0,972,2,0,2
"",40,"Govt.English Medium Primary School NakkiChatha (West Side)",Nakki Chatha,169060201,-,-,,0,482,482,0,2,2
"",,,Nakki Chatha,169060202,-,-,,0,129,129,,,
"",,,Kot Bakhsh,169060204,-,-,,0,146,146,,,
"",40 Total,,,,-,-,-,0,757,757,0,2,2
"",41,"Govt. Boys Primary School Qadar AbadColony (Kotli Daim)",Kot Saleem,169060101,-,-,,300,230,530,2,1,3
Kot Hassan,169060205,-,-,,77,70,147,,,,,,
Kotli Daim,169060206,-,-,,375,285,660,,,,,,
"",42,"Govt. English Medium Primary School ChanniGhula",Channi Sultan,169060102,-,-,,468,0,468,3,0,3
"",,,Channi Ghula,169060103,-,-,,240,0,240,,,
"",,,Channi Ghula,169060104,-,-,,498,0,498,,,
"",,,Bagh,169060105,-,-,,183,0,183,,,
"",42 Total,,,,-,-,-,1389,0,1389,3,0,3
"",43,Govt. Girls Primary School Channi Ghula,Channi Sultan,169060102,-,-,,0,332,332,0,2,2
"",,,Channi Ghula,169060103,-,-,,0,159,159,,,
"",,,Channi Ghula,169060104,-,-,,0,395,395,,,
"",,,Bagh,169060105,-,-,,0,131,131,,,
"",43 Total,,,,-,-,-,0,1017,1017,0,2,2
"",44,Govt.Girls Elementary School Amrao Kalan,Amrao Kalan,169060405,-,-,,613,470,1083,1,1,2
"",44 Total,,,,-,-,-,613,470,1083,1,1,2
"",45,"Govt. Boys High School Ramke Chatha, (EastSide)",Ramke Chatha,169060601,-,-,,433,0,433,3,0,3
"",,,Ramke Chatha,169060602,-,-,,704,0,704,,,
"",,,Ramke Chatha,169060607,-,-,,187,0,187,,,
"",45 Total,,,,-,-,-,1324,0,1324,3,0,3
"",46,"Govt. Boys High School Ramke Chatha, (WestSide)",Ramke Chatha,169060601,-,-,,0,289,289,0,2,2
"",,,Ramke Chatha,169060602,-,-,,0,551,551,,,
"",,,Ramke Chatha,169060607,-,-,,0,152,152,,,
"",46  Total,,,,-,-,-,0,992,992,0,2,2
"",47,"Govt.Girls High School Ramke Chatha (EastSide)",Ramke Chatha,169060603,-,-,,396,312,708,2,1,3
"",,,Ramke Chatha,169060604,-,-,,311,208,519,,,
"",47 Total,,,,-,-,-,707,520,1227,2,1,3
"",48,"Govt.Girls High School Ramke Chatha (WestSide)",Ramke Chatha,169060605,-,-,,283,227,510,2,2,4
"",,,Ramke Chatha,169060606,-,-,,454,370,824,,,
"",48 Total,,,,-,-,-,737,597,1334,2,2,4
"",49,"Govt.Boys English Medium ElementarySchool Chak Ghazi",Chak Ghazi,169060801,-,-,,714,619,1333,2,2,4
"",,,Chak Ghazi,169060802,-,-,,144,111,255,,,
"",49 Total,,,,-,-,-,858,730,1588,2,2,4
"",50,Govt.Boys Elementary School Marh Bashi,Marh Bashi,169060701,-,-,,680,0,680,3,0,3
"",,,Marh Bashi,169060702,-,-,,201,0,201,,,
"",,,Marh Bashi,169060703,-,-,,369,0,369,,,
"",50 Total,,,,-,-,-,1250,0,1250,3,0,3
"",51,"Govt. Girls Community Model School,MarhBashi",Marh Bashi,169060701,-,-,,0,556,556,0,2,2
"",,,Marh Bashi,169060702,-,-,,0,158,158,,,
"",,,Marh Bashi,169060703,-,-,,0,272,272,,,
"",51 Total,,,,-,-,-,0,986,986,0,2,2
"",52,"Govt. Secondary School Dhiranke Mir Dadke(East Side)",Dhiranke Lalke,169050801,-,-,,628,0,628,2,0,2
"",,,Dhiranke Lalke,169050802,-,-,,248,0,248,,,
"",,,Dhiranke Lalke,169050803,-,-,,340,0,340,,,
"",52 Total,,,,-,-,-,1216,0,1216,2,0,2
"",53,"Govt. Secondary School Dhiranke Mir Dadke(West Side)",Dhiranke Lalke,169050801,-,-,,0,449,449,0,2,2
Dhiranke Lalke,169050802,-,-,,0,168,168,,,,,,
Dhiranke Lalke,169050803,-,-,,0,225,225,,,,,,
"",54,"Govt. Boys Primary School, Dheeranke Lalke",Dhiranke Mirdadke,169050804,-,-,,146,94,240,1,1,2
"",,,Dhiranke Mirdadke,169050805,-,-,,359,295,654,,,
"",54 Total,,,,-,-,-,505,389,894,1,1,2
"",55,"Govt. Girls Community Model School ChanniHanjrawan",Channi Hanjrawan,169050702,-,-,,441,328,769,2,1,3
"",,,Channi Hanjrawan,169050703,-,-,,274,175,449,,,
"",,,Dolu,169050704,-,-,,245,171,416,,,
"",55  Total,,,,-,-,-,960,674,1634,2,1,3
"",56,Govt  Model Primary School Channi Wazira,Channi Wazira,169050701,-,-,,620,490,1110,2,1,3
"",,,Thatha Deoka,169050705,-,-,,144,101,245,,,
"",,,Sawan Pura,169050806,-,-,,80,72,152,,,
"",56 Total,,,,-,-,-,844,663,1507,2,1,3
"",57,Govt. Boys Primary School Seray Tarar,Jhamb Tarar,169040506,-,-,,367,254,621,2,1,3
"",,,Seray Tarar,169050807,-,-,,339,269,608,,,
"",,,Rakh Vanike,169050808,-,-,,27,24,51,,,
"",57  Total,,,,-,-,-,733,547,1280,2,1,3
"",58,"Govt.English Medium Elementary School BeriWala",Beri Wala,169040101,-,-,,91,0,91,3,0,3
"",,,Beri Wala,169040102,-,-,,135,0,135,,,
"",,,Beri Wala,169040103,-,-,,21,0,21,,,
"",,,Beri Wala,169040104,-,-,,304,0,304,,,
"",,,Beri Wala,169040105,-,-,,610,0,610,,,
"",,,Beri Wala,169040106,-,-,,272,0,272,,,
"",58 Total,,,,-,-,-,1433,0,1433,3,0,3
"",59,Govt.Girls  Elementary School Beri Wala,Beri Wala,169040101,-,-,,0,68,68,0,2,2
"",,,Beri Wala,169040102,-,-,,0,97,97,,,
"",,,Beri Wala,169040103,-,-,,0,11,11,,,
"",,,Beri Wala,169040104,-,-,,0,252,252,,,
"",,,Beri Wala,169040105,-,-,,0,503,503,,,
"",,,Beri Wala,169040106,-,-,,0,196,196,,,
"",59 Total,,,,-,-,-,0,1127,1127,0,2,2
"",60,Govt. Girls  Primary School Malikwala,Malik Wala,169050101,-,-,,332,250,582,1,1,2
"",,,Akkanwala,169050102,-,-,,268,189,457,,,
"",60 Total,,,,-,-,-,600,439,1039,1,1,2
"",61,"Govt. English Medium Primary School NoorPura, Kolo Tarar (East Side)",Kolo Tarar,169050302,-,-,,220,199,419,2,1,3
"",,,Kolo Tarar,169050303,-,-,,205,217,422,,,
"",,,Kolo Tarar,169050308,-,-,,309,261,570,,,
"",61 Total,,,,-,-,-,734,677,1411,2,1,3
"",62,"Govt. Higher Secondary School Kolo Tarar,(East Side)",Kolo Tarar,169050307,-,-,,398,0,398,3,0,3
"",,,Kolo Tarar,169050309,-,-,,100,0,100,,,
"",,,Kolo Tarar,169050310,-,-,,626,0,626,,,
"",,,Kolo Tarar,169050311,-,-,,153,0,153,,,
"",62 Total,,,,-,-,-,1277,0,1277,3,0,3
"",63,"Govt. Higher Secondary School Kolo Tarar,(West Side)",Kolo Tarar,169050307,-,-,,0,305,305,0,2,2
"",,,Kolo Tarar,169050309,-,-,,0,91,91,,,
"",,,Kolo Tarar,169050310,-,-,,0,451,451,,,
"",,,Kolo Tarar,169050311,-,-,,0,107,107,,,
"",63 Total,,,,-,-,-,0,954,954,0,2,2
Kolo Tarar,169050301,-,-,,348,0,348,,,,,,
Kolo Tarar,169050305,-,-,,368,0,368,,,,,,
Kolo Tarar,169050306,-,-,,240,0,240,,,,,,
"",64 Total,,,,-,-,-,1322,0,1322,3,0,3
"",65,"Govt. Higher Secondary School Kolo Tarar(South Side)",Kolo Tarar,169050301,-,-,,0,222,222,0,2,2
"",,,Kolo Tarar,169050305,-,-,,0,286,286,,,
"",,,Kolo Tarar,169050306,-,-,,0,207,207,,,
"",,,Kolo Tarar,169050315,-,-,,0,359,359,,,
"",65 Total,,,,-,-,-,0,1074,1074,0,2,2
"",66,"Govt. Girls Higher Secondary School KoloTarar, (West Side)",Kolo Tarar,169050312,-,-,,1247,0,1247,3,0,3
"",,,Kolo Tarar,169050313,-,-,,62,0,62,,,
"",66 Total,,,,-,-,-,1309,0,1309,3,0,3
"",67,"Govt. Girls Higher Secondary School KoloTarar (South Side)",Kolo Tarar,169050312,-,-,,0,893,893,0,2,2
"",,,Kolo Tarar,169050313,-,-,,0,15,15,,,
"",67  Total,,,,-,-,-,0,908,908,0,2,2
"",68,"Govt. Girls Higher Secondary School (PrimaryPortion) Kolo Tarar, (East Side)",Kolo Tarar,169050304,-,-,,581,0,581,2,0,2
"",,,Kolo Tarar,169050314,-,-,,551,0,551,,,
"",68  Total,,,,-,-,-,1132,0,1132,2,0,2
"",69,"Govt. Girls Higher Secondary School (PrimaryPortion) Kolo Tarar, (West Side)",Kolo Tarar,169050304,-,-,,0,519,519,0,2,2
"",,,Kolo Tarar,169050314,-,-,,0,383,383,,,
"",69 Total,,,,-,-,-,0,902,902,0,2,2
"",70,"Govt.Girls Elementary School SandhwanTarar (East Side)",Sandhwan Tarar,169050501,-,-,,234,0,234,3,0,3
"",,,Sandhwan Tarar,169050502,-,-,,447,0,447,,,
"",,,"Thatha JahadHassan Wala",169050506,-,-,,240,0,240,,,
"",,,Ganjianwala,169050606,-,-,,296,0,296,,,
"",70  Total,,,,-,-,-,1217,0,1217,3,0,3
"",71,"Govt.Girls Elementary School SandhwanTarar (West Side)",Sandhwan Tarar,169050501,-,-,,0,210,210,0,2,2
"",,,Sandhwan Tarar,169050502,-,-,,0,344,344,,,
"",,,"Thatha JahadHassan Wala",169050506,-,-,,0,177,177,,,
"",,,Ganjianwala,169050606,-,-,,0,236,236,,,
"",71 Total,,,,-,-,-,0,967,967,0,2,2
"",72,Govt.Boys Primary School Bhopa Chadhran,Bhopa Chidhran,169050202,-,-,,331,248,579,2,1,3
"",,,Mahnianwala,169050505,-,-,,180,168,348,,,
"",72  Total,,,,-,-,-,511,416,927,2,1,3
"",73,"Govt.Girls Elementary School Ali Abad (BaloNau).  (East Side)",Ballo Kohna,169050204,-,-,,317,0,317,2,0,2
"",,,Balo Nau (Ali Abad),169050503,-,-,,263,0,263,,,
"",,,Balo Nau (Ali Abad),169050504,-,-,,357,0,357,,,
"",73 Total,,,,-,-,-,937,0,937,2,0,2
"",74,"Govt.Girls Elementary School Ali Abad (BaloNau). (West Side)",Ballo Kohna,169050204,-,-,,0,229,229,0,2,2
"",,,Balo Nau (Ali Abad),169050503,-,-,,0,224,224,,,
"",,,Balo Nau (Ali Abad),169050504,-,-,,0,319,319,,,
"",74 Total,,,,-,-,-,0,772,772,0,2,2
"",75,"Govt.Boys Primary School  Ram Tarar  (EastSide)",Ram Tarar,169050903,-,-,,256,0,256,2,0,2
Ram Tarar,169050904,-,-,,255,0,255,,,,,,
Gajranwali,169050907,-,-,,380,0,380,,,,,,
"",76,"Govt.Boys Primary School  Ram Tarar  (WestSide)",Ram Tarar,169050903,-,-,,0,223,223,0,2,2
"",,,Ram Tarar,169050904,-,-,,0,186,186,,,
"",,,Gajranwali,169050907,-,-,,0,336,336,,,
"",76  Total,,,,-,-,-,0,745,745,0,2,2
"",77,Govt.Boys Primary School Rai Chand,Rai Chand,169050901,-,-,,309,266,575,2,1,3
"",,,Rai Chand,169050902,-,-,,238,165,403,,,
"",,,Channi Janan,169050906,-,-,,278,210,488,,,
"",77 Total,,,,-,-,-,825,641,1466,2,1,3
"",78,"Govt. English Medium Primary School BalekiNao",Baleki Kohna,169040905,-,-,,127,95,222,2,1,3
"",,,Panjgrain,169040906,-,-,,241,150,391,,,
"",,,Baleke Nao,169041004,-,-,,556,423,979,,,
"",78  Total,,,,-,-,-,924,668,1592,2,1,3
"",79,Govt.  High School Pindi Bawray,Pindi Bawray,169050401,-,-,,690,0,690,3,0,3
"",,,Pindi Bawray,169050402,-,-,,304,0,304,,,
"",,,Pindi Bawray,169050403,-,-,,665,0,665,,,
"",79  Total,,,,-,-,-,1659,0,1659,3,0,3
"",80,Govt. Girls Elementary School Pindi Bawary,Pindi Bawray,169050401,-,-,,0,543,543,0,2,2
"",,,Pindi Bawray,169050402,-,-,,0,176,176,,,
"",,,Pindi Bawray,169050403,-,-,,0,544,544,,,
"",80  Total,,,,-,-,-,0,1263,1263,0,2,2
"",81,"Govt. Boys Elementary School EnglishMedium Kot Chian",Kot Chian,169050601,-,-,,239,0,239,2,0,2
"",,,Kot Chian,169050602,-,-,,474,0,474,,,
"",,,Kot Chian,169050603,-,-,,379,0,379,,,
"",81  Total,,,,-,-,-,1092,0,1092,2,0,2
"",82,Govt. Girls Elementary School Kot Chian,Kot Chian,169050601,-,-,,0,171,171,0,2,2
"",,,Kot Chian,169050602,-,-,,0,383,383,,,
"",,,Kot Chian,169050603,-,-,,0,307,307,,,
"",82  Total,,,,-,-,-,0,861,861,0,2,2
"",83,Govt.Boys Primary School Hardo Pipli,Chak Mouloo,169050404,-,-,,397,293,690,2,1,3
"",,,Hardo Pipli,169050405,-,-,,456,349,805,,,
"",83  Total,,,,-,-,-,853,642,1495,2,1,3
"",84,Govt.Boys Primary School Bawray Nau,Bawray Kohna,169050406,-,-,,249,0,249,2,0,2
"",,,Bawray Nau,169050407,-,-,,702,0,702,,,
"",84  Total,,,,-,-,-,951,0,951,2,0,2
"",85,Govt.Girls Primary School Bawray Nau,Bawray Kohna,169050406,-,-,,0,201,201,0,2,2
"",,,Bawray Nau,169050407,-,-,,0,523,523,,,
"",85  Total,,,,-,-,-,0,724,724,0,2,2
"",86,Govt.Boys Elementary School Chak Kharal,Chak Kharal,169060901,-,-,,666,0,666,3,0,3
"",,,Chak Kharal,169060902,-,-,,189,0,189,,,
"",,,Chak Kharal,169060903,-,-,,323,0,323,,,
"",86  Total,,,,-,-,-,1178,0,1178,3,0,3
"",87,Govt.Girls Primary School Chak Kharal,Chak Kharal,169060901,-,-,,0,434,434,0,2,2
"",,,Chak Kharal,169060902,-,-,,0,153,153,,,
"",,,Chak Kharal,169060903,-,-,,0,232,232,,,
"",87  Total,,,,-,-,-,0,819,819,0,2,2
"",88,Govt.Girls Primary  School Kot Pannah,Kot Pannah,169060803,-,-,,541,405,946,2,1,3
"",,,Kot Pannah,169060804,-,-,,250,155,405,,,
"",88  Total,,,,-,-,-,791,560,1351,2,1,3
"",89,Govt.Primary School for Boys Shori Chatha,Shori Chatha,169060907,-,-,,362,257,619,2,1,3
"",,,Shori Chatha,169060908,-,-,,407,275,682,,,
"",89 Total,,,,-,-,-,769,532,1301,2,1,3
"",90,"Govt. Boys  Primary School Ahmad PurChatha",Ahmed Pur Chatha,169020405,-,-,,344,326,670,1,1,2
"",91,Govt.Girls Elementary School  Kot Gora,Kot Gora,169020403,-,-,,894,622,1516,2,1,3
"",,,Kot Sora,169020404,-,-,,31,22,53,,,
"",91 Total,,,,-,-,-,925,644,1569,2,1,3
"",92,Govt.Boys Primary School Kalair Wala Khurd,Kalair Wala,169060904,-,-,,472,325,797,2,2,4
"",,,Kalair Wala,169060905,-,-,,410,281,691,,,
"",,,Kalair Wala,169060906,-,-,,9,5,14,,,
"",92 Total,,,,-,-,-,891,611,1502,2,2,4
