S.No.,No. and Name of Polling Station,"In case of rural area","In case of urban area","S.No. of voters on the electoral roll in case electoral area is bifurcated","Male Voters","Female Voters","Total Voters","Male Booths","Female Booths","Total Booths",,
11,,Ara Tullah,208050902,-,-,-,185,136,321,,,
11,,raja  dillo,208050908,-,-,-,149,117,266,,,
11,,kachi rehna,208050909,-,-,-,42,32,74,,,
11 Total,,,,,,,844,679,1523,,,
12,"Boys  Primary School  Nama SialSahiwal. (Combined)",Nama smor .,208050905,-,-,-,261,226,487,2,2,4
12,,Sh; Adam Wala,208050906,-,-,-,29,25,54,,,
12,,Nama Sial,208050907,-,-,-,635,496,1131,,,
12 Total,,,,,,,925,747,1672,,,
13,"Boys  Primary School  China Karmali(Male)",Cheena Karmali,208050903,-,-,-,672,0,672,2,0,2
13,,Cheena Karmali,208050904,-,-,-,293,0,293,,,
13 Total,,,,,,,965,0,965,,,
14,"Girls  Primary School  China Karmali(Female)",China Karmali,208050903,-,-,-,0,534,534,0,2,2
14,,China Karmali,208050904,-,-,-,0,195,195,,,
14 Total,,,,,,,0,729,729,,,
15,"Girls  Primary School  64/GD(Combined)",64/GD,208050910,-,-,-,666,567,1233,1,1,2
15 Total,,,,,,,666,567,1233,,,
16,"183-Boys primary School, 58/GD(Combined)",58/GD,208050502,-,-,-,374,317,691,2,1,3
16,,54- GD,208050506,-,-,-,253,223,476,,,
16 Total,,,,,,,627,540,1167,,,
17,"Boys primary School, 58/GD(Combined)",58/GD,208050501,-,-,-,649,513,1162,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
18,"Boys primary School    Dolla Balla(Combined)",dola  bala,208050504,-,-,-,502,384,886,1,1,2
18 Total,,,,,,,502,384,886,,,
19,"Girls Primary School  Dolla Balla(Combined)",kher sha h,208050503,-,-,-,262,206,468,1,1,2
19,,Khunda,208050505,-,-,-,221,170,391,,,
19 Total,,,,,,,483,376,859,,,
20,"Boys primary School  Saidan Shah(Combined)",Bhoor,208051001,-,-,-,218,196,414,2,1,3
20,,Siadan Shah,208051004,-,-,-,559,440,999,,,
20 Total,,,,,,,777,636,1413,,,
21,"Govt. Girls Primary School  AkbarShah   (Combined)","arazi kutabshahana",208051002,-,-,-,0,0,0,1,1,2
21,,Akbar Shah,208051003,-,-,-,372,273,645,,,
21,,mosa pur,208051005,-,-,-,4,6,10,,,
21,,"knd karamsangla",208051006,-,-,-,0,0,0,,,
21,,kund garh,208051007,-,-,-,0,0,0,,,
21,,jhalaar phalli,208051009,-,-,-,0,0,0,,,
21,,chak mosa pur,208051010,-,-,-,65,50,115,,,
21 Total,,,,,,,441,329,770,,,
22,"Boys High School Kote Deva Mal(Combined)",Kore Shah bala,208051008,-,-,-,732,525,1257,2,1,3
22 Total,,,,,,,732,525,1257,,,
23,"Boys primary School  Jerman(Combined)",bahawal ftyna,208050602,-,-,-,167,123,290,1,1,2
23,,Jerman,208050603,-,-,-,274,268,542,,,
23,,purbera,208051201,-,-,-,175,128,303,,,
23,,natho ftyna,208051207,-,-,-,78,46,124,,,
23 Total,,,,,,,694,565,1259,,,
24,"Boys High School59/GD-I    (Combined)",59/GD,208051301,-,-,-,577,500,1077,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
25,"Boys High School59/GD-II    (Combined)",muhabbat wala,208050201,-,-,-,29,21,50,2,2,4
25,,59/GD,208051302,-,-,-,424,392,816,,,
25,,59/GD,208051303,-,-,-,524,368,892,,,
25 Total,,,,,,,977,781,1758,,,
26,"Boys Higher Secondary58-A/ GD   (Combined)",63/GD,208051304,-,-,-,401,316,717,2,2,4
26,,58-A/ GD,208051305,-,-,-,357,325,682,,,
26 Total,,,,,,,758,641,1399,,,
27,"Boys Midel School60-61/GD    (Male)",62/GD,208050203,-,-,-,165,0,165,3,0,3
27,,60-61/GD,208050204,-,-,-,542,0,542,,,
27,,60-61/GD,208050205,-,-,-,236,0,236,,,
27,,60-61/GD,208050206,-,-,-,311,0,311,,,
27 Total,,,,,,,1254,0,1254,,,
28,"Boys Midel School60-61/GD    (Female)",62/GD,208050203,-,-,-,0,108,108,0,2,2
28,,60-61/GD,208050204,-,-,-,0,446,446,,,
28,,60-61/GD,208050205,-,-,-,0,179,179,,,
28,,60-61/GD,208050206,-,-,-,0,225,225,,,
28 Total,,,,,,,0,958,958,,,
29,"Boys primary School  Chokhandi(Combined)",(Guloi),208050202,-,-,-,301,176,477,2,1,3
29,,Chokhandi,208050207,-,-,-,457,334,791,,,
29 Total,,,,,,,758,510,1268,,,
30,"Govt. High School  Mouza BasheraCombined  P-I      (Combined)",Mouza Bashera,208051202,-,-,-,229,222,451,1,1,2
30,,Mouza Bashera,208051204,-,-,-,257,235,492,,,
30 Total,,,,,,,486,457,943,,,
31,"Govt. High School  Mouza BasheraCombined  P-I      (Combined)",Mouza Bashera,208051203,-,-,-,530,493,1023,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
31 Total,,,,,,,530,493,1023,,,
32,"Boys Middel School        MouzaBashera       Combined  P-II(Combined)",azam saho,208050601,-,-,-,294,221,515,2,1,3
32,,Qutab Shahana,208050701,-,-,-,461,377,838,,,
32 Total,,,,,,,755,598,1353,,,
33,"Boys Middel School        MouzaBashera       Combined  P-II(Combined)",chak  Bashera,208050604,-,-,-,170,103,273,1,1,2
33,,dola zerien,208050702,-,-,-,322,319,641,,,
33 Total,,,,,,,492,422,914,,,
34,"Girls Midel School Qutab Shahana(Combined)",Kholree,208050705,-,-,-,148,114,262,1,1,2
34,,ntho wslee,208051205,-,-,-,146,132,278,,,
34,,Dad Wasli,208051206,-,-,-,54,46,100,,,
34 Total,,,,,,,348,292,640,,,
35,"Boys primary School  Bhawani(Male)","Chahat Mehrshah",208050803,-,-,-,270,0,270,2,0,2
35,,Bhawani,208050703,-,-,-,653,0,653,,,
35,,Bhawani,208050704,-,-,-,272,0,272,,,
35 Total,,,,,,,1195,0,1195,,,
36,"Boys primary School  Bhowani(Female)","Chahat Mehrshah",208050803,-,-,-,0,223,223,0,2,2
36,,Bhawani,208050703,-,-,-,0,632,632,,,
36,,Bhawani,208050704,-,-,-,0,243,243,,,
36 Total,,,,,,,0,1098,1098,,,
37,"Office of Union Council No 6Orangabad Combined(Combined)",Orangabad,208050801,-,-,-,404,311,715,1,1,2
37,,Orangabad,208050802,-,-,-,51,41,92,,,
37,,ChakKhair Shah,208050804,-,-,-,118,88,206,,,
37 Total,,,,,,,573,440,1013,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
38,"Boys primary School138/9 -L old  (Male)",138/9 -L,208070701,-,-,-,433,0,433,3,0,3
38,,138/9 -L,208070702,-,-,-,585,0,585,,,
38 Total,,,,,,,1018,0,1018,,,
39,"Govt. Girls Elementary School138/9 -L old (Female)",138/9 -L old,208070701,-,-,-,0,313,313,0,2,2
39,,138/9 -L old,208070702,-,-,-,0,470,470,,,
39 Total,,,,,,,0,783,783,,,
40,"Boys High School  138/9 -L Zafarabad (Combined)",138/9 -L,208070703,-,-,-,381,365,746,2,1,3
40,,138/9 -L,208070704,-,-,-,230,137,367,,,
40,,138/9 -L,208070705,-,-,-,285,230,515,,,
40 Total,,,,,,,896,732,1628,,,
41,"Boys Middle School   139/9 -L(Combined)",139/9 -L,208070902,-,-,-,328,449,777,2,2,4
41,,139/9 -L,208070903,-,-,-,629,316,945,,,
41 Total,,,,,,,957,765,1722,,,
42,"Boys High School  138/9 -L Zafarabad (Combined)",138/9 -L,208070706,-,-,-,494,329,823,1,1,2
42 Total,,,,,,,494,329,823,,,
43,"Boys High School  138/9 -L Zafarabad (Male)",138/9 -L,208070707,-,-,-,522,0,522,2,0,2
43,,138/9 -L,208070708,-,-,-,625,0,625,,,
43 Total,,,,,,,1147,0,1147,,,
44,"Boys High School  138/9 -L Zafarabad (Female)",138/9 -L,208070707,-,-,-,0,348,348,0,2,2
44,,138/9 -L,208070708,-,-,-,0,513,513,,,
44 Total,,,,,,,0,861,861,,,
45,"Boys primary School  138/9 IhasnAbad   (Male)",138/9 -L,208070709,-,-,-,691,0,691,2,0,2
45,,138/9 -L,208070710,-,-,-,45,0,45,,,
45,,138/9 -L,208070711,-,-,-,343,0,343,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
46,"Boys primary School  138/9 IhasnAbad   (Female)",138/9 -L,208070709,-,-,-,0,593,593,0,2,2
46,,138/9 -L,208070710,-,-,-,0,19,19,,,
46,,138/9 -L,208070711,-,-,-,0,306,306,,,
46 Total,,,,,,,0,918,918,,,
47,"Boys primary School   132/9 -L(Male)",132/9 -L,208070601,-,-,-,332,0,332,2,0,2
47,,132/9 -L,208070602,-,-,-,160,0,160,,,
47,,132/9 -L,208070603,-,-,-,322,0,322,,,
47 Total,,,,,,,814,0,814,,,
48,"Boys primary School132/9 -LI    (Male)",132/9 -L,208070604,-,-,-,475,0,475,2,0,2
48,,132/9 -L,208070605,-,-,-,422,0,422,,,
48 Total,,,,,,,897,0,897,,,
49,"Govt.Girls Elementary School132/9 -L (Female)",132/9 -L,208070601,-,-,-,0,262,262,0,3,3
49,,132/9 -L,208070602,-,-,-,0,138,138,,,
49,,132/9 -L,208070603,-,-,-,0,267,267,,,
49,,132/9 -L,208070604,-,-,-,0,336,336,,,
49,,132/9 -L,208070605,-,-,-,0,338,338,,,
49 Total,,,,,,,0,1341,1341,,,
50,"Boys primary School104/9 -L(Male)",104/9 -L,208070606,-,-,-,1000,0,1000,3,0,3
50,,104/9 -L,208070607,-,-,-,388,0,388,,,
50,,104/9 -L,208070608,-,-,-,87,0,87,,,
50 Total,,,,,,,1475,0,1475,,,
51,"Girls  Primary School104/9 -L (Female)",104/9 -L,208070606,-,-,-,0,603,603,0,2,2
51,,104/9 -L,208070607,-,-,-,0,269,269,,,
51,,104/9 -L,208070608,-,-,-,0,245,245,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
52,"Govt.Girls Primary School kalan129/9 -L (Male)",129/9 -L,208080101,-,-,-,282,0,282,2,0,2
52,,129/9 -L,208080105,-,-,-,304,0,304,,,
52,,129/9 -L,208080107,-,-,-,474,0,474,,,
52 Total,,,,,,,1060,0,1060,,,
53,"Govt.Girls Primary School kalan129/9 -L (Female)",129/9 -L,208080101,-,-,-,0,214,214,0,2,2
53,,129/9 -L,208080105,-,-,-,0,238,238,,,
53,,129/9 -L,208080107,-,-,-,0,213,213,,,
53 Total,,,,,,,0,665,665,,,
54,"Govt.  High School          129/9L(Combined)",129/9 -L,208080102,-,-,-,338,288,626,1,1,2
54,,129/9 -L,208080106,-,-,-,143,232,375,,,
54 Total,,,,,,,481,520,1001,,,
55,"Govt.  High School          129/9L(Combined)",129/9 -L,208080103,-,-,-,255,200,455,1,1,2
55,,129/9 -L,208080104,-,-,-,288,197,485,,,
55 Total,,,,,,,543,397,940,,,
56,"Boys primary School130/9 -L (Male)",130/9 -L,208081105,-,-,-,594,0,594,3,0,3
56,,130/9 -L,208081106,-,-,-,401,0,401,,,
56,,130/9 -L,208081107,-,-,-,335,0,335,,,
56 Total,,,,,,,1330,0,1330,,,
57,"Boys primary School130/9 -L (Female)",130/9 -L,208081105,-,-,-,0,462,462,0,2,2
57,,130/9 -L,208081106,-,-,-,0,284,284,,,
57,,130/9 -L,208081107,-,-,-,0,230,230,,,
57 Total,,,,,,,0,976,976,,,
58,"Boys primary School131/9 -L (Combined)",131/9 -L,208081101,-,-,-,478,333,811,1,1,2
58,,131/9 -L,208081102,-,-,-,128,94,222,,,
58 Total,,,,,,,606,427,1033,,,
59,"Girls Primary School131/9 -L (Combined)",131/9 -L,208081103,-,-,-,504,424,928,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
59,,131/9 -L,208081104,-,-,-,204,130,334,,,
59 Total,,,,,,,708,554,1262,,,
60,"Girls Primary School127/9 -L (Combined)",127/9 -L,208080603,-,-,-,189,112,301,1,1,2
60,,127/9 -L,208080604,-,-,-,320,196,516,,,
60 Total,,,,,,,509,308,817,,,
61,"Girls Midel School 128/9 -L(Combined)",128/9 -L,208080601,-,-,-,636,468,1104,1,1,2
61 Total,,,,,,,636,468,1104,,,
62,"Girls Midel School128/9 -L    (Combined)",128/9 -L,208080602,-,-,-,576,463,1039,1,1,2
62 Total,,,,,,,576,463,1039,,,
63,"Boys primary School105/9 -L (Male)",105/9 -L,208081203,-,-,-,622,0,622,2,0,2
63,,105/9 -L,208081204,-,-,-,393,0,393,,,
63 Total,,,,,,,1015,0,1015,,,
64,"Govt. Girls Elementary School105/9 -L (Female)",105/9 -L,208081203,-,-,-,0,494,494,0,2,2
64,,105/9 -L,208081204,-,-,-,0,320,320,,,
64 Total,,,,,,,0,814,814,,,
65,"Govt. Elementary School126/9 -L (Combined)",126/9 -L,208081201,-,-,-,460,364,824,1,1,2
65 Total,,,,,,,460,364,824,,,
66,"Govt. Elementary School   126/9 -L(Combined)",126/9 -L,208081202,-,-,-,472,374,846,1,1,2
66 Total,,,,,,,472,374,846,,,
67,"Boys High School140/9 -L(Combined)",140/9 -L,208071001,-,-,-,722,550,1272,2,1,3
67 Total,,,,,,,722,550,1272,,,
68,Boys High School   140/9 -L  (Male),140/9 -L,208071002,-,-,-,774,0,774,3,0,3
68,,140/9 -L,208071003,-,-,-,439,0,439,,,
68 Total,,,,,,,1213,0,1213,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
69,"Boys High School  140/9 -L(Female)",140/9 -L,208071002,-,-,-,0,618,618,0,2,2
69,,140/9 -L,208071003,-,-,-,0,327,327,,,
69 Total,,,,,,,0,945,945,,,
70,"Boys Midel School   141/9 -L(Combined)",141/9 -L,208071004,-,-,-,689,479,1168,2,1,3
70 Total,,,,,,,689,479,1168,,,
71,"Boys Midel School   141/9 -L(Combined)",141/9 -L,208071006,-,-,-,532,355,887,1,1,2
71 Total,,,,,,,532,355,887,,,
72,"Boys Midel School141/9 -L    (Combined)",141/9 -L,208071005,-,-,-,550,479,1029,1,1,2
72 Total,,,,,,,550,479,1029,,,
73,"Girls Middle School139/9 -L     (Combined)",139/9 -L,208070901,-,-,-,612,434,1046,2,1,3
73 Total,,,,,,,612,434,1046,,,
74,"Boys Middle School139/9 -L (Combined)",139/9 -L,208070904,-,-,-,261,269,530,2,2,4
74,,139/9 -L,208070905,-,-,-,395,224,619,,,
74 Total,,,,,,,656,493,1149,,,
75,"Boys primary School153/9 -L (Male)",153/9 -L,208071201,-,-,-,482,0,482,3,0,3
75,,153/9 -L,208071202,-,-,-,491,0,491,,,
75,,153/9 -L,208071203,-,-,-,354,0,354,,,
75,,153/9 -L,208071204,-,-,-,253,0,253,,,
75 Total,,,,,,,1580,0,1580,,,
76,"Govt. Girls Primary School153/9 -L (Female)",153/9 -L,208071201,-,-,-,0,298,298,0,2,2
76,,153/9 -L,208071202,-,-,-,0,333,333,,,
76,,153/9 -L,208071203,-,-,-,0,252,252,,,
76,,153/9 -L,208071204,-,-,-,0,156,156,,,
76 Total,,,,,,,0,1039,1039,,,
77,"Boys Midel School  154/9 -L ShahMurad(Combined)",154/9 -L,208071205,-,-,-,559,493,1052,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
77 Total,,,,,,,559,493,1052,,,
78,"Boys primary School152/9 -L(Male)",152/9 -L,208070201,-,-,-,603,0,603,2,0,2
78,,152/9 -L,208070202,-,-,-,402,0,402,,,
78 Total,,,,,,,1005,0,1005,,,
79,"Girls Midel School 152/9 -L(Female)",152/9 -L,208070201,-,-,-,0,470,470,0,2,2
79,,152/9 -L,208070202,-,-,-,0,229,229,,,
79 Total,,,,,,,0,699,699,,,
80,"Boys primary School121/9 -LMain Abad   (Combined)",121/9 -L,208071101,-,-,-,170,116,286,1,1,2
80,,121/9 -L,208071102,-,-,-,393,246,639,,,
80 Total,,,,,,,563,362,925,,,
81,"Boys primary School121/9 -LMain Abad  (Combined)",121/9 -L,208071103,-,-,-,258,194,452,1,1,2
81,,121/9 -L,208071104,-,-,-,249,175,424,,,
81 Total,,,,,,,507,369,876,,,
82,"Boys primary School  kondan121/9 -L (Combined)",121/9 -L,208071105,-,-,-,232,164,396,1,1,2
82,,121/9 -L,208071106,-,-,-,338,243,581,,,
82 Total,,,,,,,570,407,977,,,
83,"Boys High School151/9 -L    (Combined)",151/9 -L,208070203,-,-,-,451,338,789,1,1,2
83,,151/9 -L,208070204,-,-,-,220,158,378,,,
83 Total,,,,,,,671,496,1167,,,
84,"Boys Primary School, 189/-9AL(Combined)",189/9-AL,208061607,-,-,-,205,131,336,2,2,4
84,,189/9-AL,208061608,-,-,-,677,540,1217,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
85,"Girls Community Model ElementarySchool 190/9ALMuslim. (Combined)",190/9-AL,208061601,-,-,-,431,297,728,1,1,2
85,,190/9-AL,208061606,-,-,-,150,126,276,,,
85 Total,,,,,,,581,423,1004,,,
86,"Boys High School, 190/9-AL(Combined)",190/9-AL,208061603,-,-,-,228,204,432,1,1,2
86,,190/9-AL,208061604,-,-,-,273,193,466,,,
86 Total,,,,,,,501,397,898,,,
87,"Boys High School, 190/9-AL(Male)",190/9-AL,208061602,-,-,-,998,0,998,2,0,2
87,,190/9-AL,208061609,-,-,-,317,0,317,,,
87 Total,,,,,,,1315,0,1315,,,
88,"247-Girls Community ModelElementary School 190/9ALMuslim.(Combined)",190/9-AL,208061605,-,-,-,612,477,1089,1,1,2
88 Total,,,,,,,612,477,1089,,,
89,"Boys High School, 190/9-AL (Female)",190/9-AL,208061602,-,-,-,0,729,729,0,2,2
89,,190/9-AL,208061609,-,-,-,0,222,222,,,
89 Total,,,,,,,0,951,951,,,
90,"Boys Middle School, 98/6-R(Combined)",98/6-R,208060605,-,-,-,734,613,1347,2,1,3
90 Total,,,,,,,734,613,1347,,,
91,"Govt. Girls High School 98/6-R(Combined)",98/6-R,208060606,-,-,-,519,405,924,1,1,2
91 Total,,,,,,,519,405,924,,,
92,"Boys Middle School, 98/6-R(Combined)",98/6-R,208060604,-,-,-,251,198,449,1,1,2
92,,98/6-R,208060607,-,-,-,170,131,301,,,
92 Total,,,,,,,421,329,750,,,
93,"Boys Primary School, 99/6-R(Combined)",99/6-R,208060602,-,-,-,278,404,682,1,1,2
93 Total,,,,,,,278,404,682,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
94,"Govt.Girls Elementary School, 99/6-R(Combined)",99/6-R,208060601,-,-,-,869,467,1336,2,1,3
94 Total,,,,,,,869,467,1336,,,
95,"Govt.Girls Elementary School, 99/6-R(Combined)",99/6-R,208060603,-,-,-,683,581,1264,2,1,3
95 Total,,,,,,,683,581,1264,,,
96,"Girls High School, 100/WM  (Male)",100/WM,208060608,-,-,-,320,0,320,3,0,3
96,,100/WM,208060609,-,-,-,866,0,866,,,
96 Total,,,,,,,1186,0,1186,,,
97,"Girls High School, 100/WM  (Female)",100/WM,208060608,-,-,-,0,195,195,0,2,2
97,,100/WM,208060609,-,-,-,0,634,634,,,
97 Total,,,,,,,0,829,829,,,
98,"Girls High School, 185/9L(Gharbi)(Combined)",185/9-L,208061201,-,-,-,645,449,1094,1,1,2
98 Total,,,,,,,645,449,1094,,,
99,"Girls High School, 185/9L(Gharbi)(Combined)",185/9-L,208061204,-,-,-,385,274,659,1,1,2
99,,185/9-L,208061206,-,-,-,188,163,351,,,
99 Total,,,,,,,573,437,1010,,,
100,"Boys Primary School, 137/9-L(Combined)",137/9-L,208061004,-,-,-,570,515,1085,1,1,2
100 Total,,,,,,,570,515,1085,,,
101,"Boys Primary School,188-9/A-L  (Male)",188-9/A-L,208061001,-,-,-,478,0,478,3,0,3
101,,188-9/A-L,208061002,-,-,-,521,0,521,,,
101,,188-9/A-L,208061003,-,-,-,551,0,551,,,
101 Total,,,,,,,1550,0,1550,,,
102,"Girls Middle School, 188/9-AL(Female)",188-9/A-L,208061001,-,-,-,0,352,352,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
102,,188-9/A-L,208061003,-,-,-,0,374,374,,,
102 Total,,,,,,,0,1184,1184,,,
103,"Boys Primary School, 185/9-LSharki(Combined)",185/9-L,208061202,-,-,-,425,355,780,1,1,2
103 Total,,,,,,,425,355,780,,,
104,"Boys Middle School, 185/9-LGharbi(Combined)",185/9-L,208061203,-,-,-,544,432,976,1,1,2
104 Total,,,,,,,544,432,976,,,
105,"Boys Middle School, 185/9-L(Combined)",185/9-L,208061205,-,-,-,668,599,1267,2,1,3
105 Total,,,,,,,668,599,1267,,,
106,"Boys High School, 186/9-L(Combined)",186/9-L,208060701,-,-,-,706,480,1186,1,1,2
106 Total,,,,,,,706,480,1186,,,
107,"Boys High School, 186/9-L(Combined)",186/9-L,208060702,-,-,-,352,272,624,1,1,2
107,,186/9-L,208060703,-,-,-,289,220,509,,,
107 Total,,,,,,,641,492,1133,,,
108,"Boys High School, 186/9-L(Combined)",186/9-L,208060704,-,-,-,176,114,290,1,1,2
108,,186/9-L,208060705,-,-,-,165,107,272,,,
108,,186/9-L,208060708,-,-,-,249,149,398,,,
108 Total,,,,,,,590,370,960,,,
109,"Boys High School, 186/9-L(Combined)",186/9-L,208060706,-,-,-,257,154,411,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
109 Total,,,,,,,588,342,930,,,
110,"Govt. Girls Higher Secondary School,187/9-L(Combined)",187/9-L,208060713,-,-,-,542,346,888,1,1,2
110 Total,,,,,,,542,346,888,,,
111,"Govt. Girls Higher Secondary School,187/9-L(Combined)",187/9-L,208060710,-,-,-,533,323,856,1,1,2
111,,187/9-L,208060711,-,-,-,459,411,870,,,
111 Total,,,,,,,992,734,1726,,,
112,"Govt. Girls Higher Secondary School,187/9-L(Combined)",187/9-L,208060709,-,-,-,372,243,615,2,1,3
112,,187/9-L,208060712,-,-,-,427,288,715,,,
112 Total,,,,,,,799,531,1330,,,
113,"Boys Primary School ,101/6-AR  (Combined)",101/6-AR,208061406,-,-,-,332,199,531,2,1,3
113,,101/6-AR,208061407,-,-,-,228,157,385,,,
113,,101/6-AR,208061408,-,-,-,208,135,343,,,
113 Total,,,,,,,768,491,1259,,,
114,"Girls  Primary School, 101/6-AR(Combined)",101/6-AR,208061409,-,-,-,278,218,496,2,2,4
114,,101/6-AR,208061410,-,-,-,618,443,1061,,,
114 Total,,,,,,,896,661,1557,,,
115,"Boys Primary School, 102/6-AR(Combined)",102/6-AR,208061401,-,-,-,303,177,480,2,2,4
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
115 Total,,,,,,,944,634,1578,,,
116,"Girls Community Model School,102/6-AR  (Combined)",102/6-AR,208061404,-,-,-,466,343,809,1,1,2
116 Total,,,,,,,466,343,809,,,
117,"Girls Community Model School,102/6-AR  (Combined)",102/6-AR,208061402,-,-,-,418,304,722,2,1,3
117,,102/6-AR,208061403,-,-,-,385,284,669,,,
117 Total,,,,,,,803,588,1391,,,
118,"Govt.High School, 100-A/W.M(Combined)",100-A/W.M,208060801,-,-,-,26,12,38,1,1,2
118,,100-A/W.M,208060802,-,-,-,350,251,601,,,
118,,100-A/W.M,208060805,-,-,-,210,145,355,,,
118 Total,,,,,,,586,408,994,,,
119,"Govt.High School, 100-A/W.M(Combined)",100-A/W.M,208060803,-,-,-,512,366,878,2,1,3
119,,100-A/W.M,208060804,-,-,-,272,241,513,,,
119 Total,,,,,,,784,607,1391,,,
120,"Girls Primary School, Rakh Meer Dad(Combined)","Rakh Meer DadMaufi",208060806,-,-,-,347,258,605,1,1,2
