Sr. No,No. and Name of Polling Station,In case of rural areas,In Case of Urban Area,"S. No. of Voterson the Electoralroll in caseelectoral area isbifurcated","Number of Voters assigned topolling Station",Number of Polling Booths,,,,,,
209,"209. Government.Girls HighSchool Tipiala Dost Muhammad(P)*",Tipiala Dost Muhammad,1  9   9 050607,,,,292,178,470,1,1,2
"",,Tipiala Dost Muhammad,1  9   9 050608,,,,216,107,323,,,
"",,Tipiala Dost Muhammad,1  9   9 050611,,,,108,125,233,,,
210,"210. Govt. Boys Primary SchoolRastam pur",Rastam Pur,199050609,,,,444,282,726,1,1,2
211,"211. Government Girls HighSchool Nangal Kiswala",Nangal Kaswala,199050210,,,,641,451,1092,2,2,4
"",,Nangal Kaswala,199050211,,,,420,295,715,,,
212,"212. Govt Girls Degree CollegeMuridke (Shehzad Town) (P)*",Kot Yaqoob,1  9 9050203,,,,465,306,771,2,2,4
"",,Kot Yaqoob,1  9 9050204,,,,457,345,802,,,
213,"213. Govt Girls Degree CollegeMuridke (Shehzad Town) (194)",Kot Yaqoob,199050202,,,,284,200,484,2,2,4
"",,(Shahzad Town),199050205,,,,248,187,435,,,
"",,Kot Yaqoob,199050208,,,,110,73,183,,,
214,"214. Government.Boys PrimarySchool Kot Yaqoob Tiba (P)*",Kot Yaqoob,199050206,,,,363,143,506,2,2,4
"",,Kot Yaqoob,199050207,,,,236,196,432,,,
"",,Kot Yaqoob,199050212,,,,322,158,480,,,
"",,Kot Yaqoob,199050213,,,,130,155,285,,,
215,"215. Government.Boys PrimarySchool Kot Yaqoob Tiba (P)*",Kot Yaqoob,1  9  9  0  5  0   2  0  1,,,,424,346,770,2,2,4
"",,Kot Yaqoob,199050209,,,,318,239,557,,,
"",,Kot Yaqoob,199050214,,,,45,52,97,,,
216,"216. Government.Boys PrimarySchool Kot Syedan (P)*",Kot Syedian,199050505,,,,368,250,618,1,1,2
"",,Monganwala,1  9  9  0   5  0  5  0  6,,,,82,73,155,,,
217,"217. Government RuralDispensary, Chora Rajputtan,",Chora Rajputtan,199050501,,,,211,130,341,1,1,2
"",,Chora Rajputtan,199050502,,,,313,194,507,,,
218,"218. Government.Girls PrimarySchool Chora Rajputtan (P)*",Chora Rajputtan,199050504,,,,707,452,1159,2,2,4
219,"219. Government.Girls PrimarySchool Chora Rajputtan (198)",Chora Rajputtan,199050503,,,,607,460,1067,2,1,3
220,"220. Government.Boys PrimarySchool Fazal Colony (T)**",Rekh Baoli,1  9   9  0  5  0  3   0  4,,,,221,149,370,2,2,4
Rekh Baoli,1  9   9  0  5  0  3   0  5,,,,189,92,281,,,,,
Rekh Baoli,1  9   9  0  5  0  3   1  5,,,,68,34,102,,,,,
Rekh Baoli,1  9   9  0  5  0  3   1  6,,,,0,0,0,,,,,
"Kot Bashir(Behmanwala)",199050308,,,,378,336,714,,,,,
"Kot Bashir(Behmanwala)",199050319,,,,88,72,160,,,,,
Rekh Baoli,199050314,,,,66,47,113,,,,,
Rekh Baoli,1  9   9  0  5  0  3   0  1,,,,247,163,410,,,,,
Rekh Baoli,199050302,,,,361,247,608,,,,,
222,"222. Government Girls ElementarySchool Rekh Baoli",Rekh Baoli,199050306,,,,349,216,565,2,2,4
"",,Rekh Baoli,199050317,,,,350,200,550,,,
"",,Rekh Baoli,199050318,,,,0,0,0,,,
"",,Rekh Baoli,199050307,,,,321,205,526,,,
223,"223. Government.Boys PrimarySchool Rekh Baoli (Male) (T)**",Rekh Baoli,1  9   9  0  5  0  3   0  9,,,,402,0,402,4,0,4
"",,Rekh Baoli,199050310,,,,64,0,64,,,
"",,Rekh Baoli,199050311,,,,414,0,414,,,
"",,Rekh Baoli,199050312,,,,301,0,301,,,
"",,Rekh Baoli,199050320,,,,90,0,90,,,
"",,Rekh Baoli,199050313,,,,266,0,266,,,
"",,Rekh Baoli,199050321,,,,341,0,341,,,
224,"224. Government.Boys PrimarySchool Rekh Baoli (Female) (T)**",Rekh Baoli,1  9   9  0  5  0  3   0  9,,,,0,277,277,0,2,2
"",,Rekh Baoli,199050310,,,,0,36,36,,,
"",,Rekh Baoli,199050311,,,,0,311,311,,,
"",,Rekh Baoli,199050312,,,,0,225,225,,,
"",,Rekh Baoli,199050320,,,,0,27,27,,,
"",,Rekh Baoli,199050313,,,,0,229,229,,,
"",,Rekh Baoli,199050321,,,,0,244,244,,,
225,"225. Government.Boys HigherSecondary School Nangal Sahdan(P)*",Nangal Sahdan,199050701,,,,445,281,726,1,1,2
226,"226. Basic Halth Centre NangalSahdan (P)*",Nangal Sahdan,199050702,,,,287,176,463,,,
"",,Nangal Sahdan,199050714,,,,218,169,387,,,
"",,Dahir,199050713,,,,212,140,352,,,
227,"227. Government Boys PrimarySchool Dera Gujran. (206)",Nangal Sahdan,199050703,,,,289,198,487,2,2,4
"",,Nangal Sahdan,1  9  9  0  5  0   7  0  4,,,,395,255,650,,,
228,"228. Government.Boys HigherSecondary School Nangal Sahdan",Nangal Sahdan,199050708,,,,405,292,697,2,2,4
"",,Nangal Sahdan,199050718,,,,431,341,772,,,
229,"229. Government.Boys HigherSecondary School Nangal Sahdan(P)*",Nangal Sahdan,1  9  9  0  5  0   7  0  5,,,,256,104,360,2,1,3
"",,Nangal Sahdan,1  9  9  0  5  0   7  1  5,,,,152,152,304,,,
"",,Nangal Sahdan,199050706,,,,65,46,111,,,
"",,Nangal Sahdan,199050716,,,,387,259,646,,,
230,"230. Government.Girls HigherSecondary School Nangal Sahdan(P)*",Nangal Sahdan,1  9  9  0  5  0   7  0  7,,,,49,18,67,2,1,3
"",,Nangal Sahdan,1  9  9  0  5  0   7  1  7,,,,267,215,482,,,
"",,Nangal Sahdan,199050709,,,,346,232,578,,,
"",,Nangal Sahdan,199050719,,,,24,20,44,,,
"",,Nangal Sahdan,199050720,,,,164,146,310,,,
231,"231. Government.Girls HigherSecondary School Nangal Sahdan",Nangal Sahdan,199050710,,,,84,50,134,1,1,2
"",,Nangal Sahdan,199050721,,,,408,385,793,,,
232,"232. Government.Girls HigherSecondary School Nangal Sahdan(P)*",Nangal Sahdan,199050711,,,,214,135,349,2,2,4
Nangal Sahdan,199050712,,,,306,233,539,,,,,
Nangal Sahdan,199050722,,,,238,292,530,,,,,
Nangal Sahdan,199050723,,,,241,72,313,,,,,
Raj Pura,1  9   9  0  5  0  8   0  1,,,,321,201,522,,,,,
234,"234. Government.Boys PrimarySchool Ladhewala Virkan (P)*",Ladhewala Virkan,199050803,,,,452,297,749,2,2,4
"",,Ladhewala Virkan,199050804,,,,501,331,832,,,
"",,Nangal Easa,199050805,,,,213,120,333,,,
235,"235. Government.Girls PrimarySchool Budhanke (P)*",Budhanke,199052104,,,,463,325,788,1,1,2
"",,Budhanke,199052105,,,,204,149,353,,,
"",,Budhanke,199052107,,,,11,0,11,,,
236,"236. Government.Boys HighSchool Kathiala Virkan (P)*",Kathiala Virkan,1  9  9051201,,,,553,373,926,2,1,3
"",,Kathiala Virkan,199051202,,,,458,273,731,,,
237,"237. Government Girls HighSchool Kathiala Virkan",Kathiala Virkan,1  9  9051203,,,,366,163,529,1,1,2
"",,Kathiala Virkan,199051204,,,,354,246,600,,,
238,"238. Basic Health Centre KhatialaVirkan (P)*",Kathiala Virkan,1  9  9  0  5  1  2  0  5,,,,131,87,218,2,2,4
"",,Kathiala Virkan,1  9  9  0  5  1  2  0  8,,,,178,122,300,,,
"",,Kathiala Virkan,199051206,,,,499,309,808,,,
"",,Kathiala Virkan,199051207,,,,323,199,522,,,
239,"239. Government Girls ModelPrimary School Bedadpur Virkan",Bedad Pur,199051301,,,,449,254,703,1,1,2
"",,Alou Multan,199051302,,,,151,82,233,,,
240,"240. Government GirlsCommunity Model SchoolSheikhupura Bedad",Sheikhupura Bedad,199050901,,,,635,392,1027,1,1,2
241,"241. Government.BoysElementary School Sheikhupura",Sheikhupura Bedad,199050902,,,,568,310,878,1,1,2
"",,Sheikhupura Bedad,199050903,,,,209,202,411,,,
242,"242. Government Girls MiddleSchool Chak No.29 UCC Muridke",Fateh Puri,1  99050904,,,,670,432,1102,2,1,3
"",,Fateh Puri,199050905,,,,476,286,762,,,
243,"243. Government.Girls PrimarySchool Qila Bhatianwala (P)*",Qila Bhatianwala,1  9  9  0  5   2  1  0  1,,,,458,351,809,2,2,4
"",,Qila Bhatianwala,1  9  9  0  5   2  1  0  6,,,,7,3,10,,,
"",,Qila Bhatianwala,199052102,,,,228,175,403,,,
"",,Qila Bhatianwala,199052103,,,,406,279,685,,,
244,"244. Government.Girls PrimarySchool Khana Rangran (P)*",Khana Rangran,199051003,,,,200,168,368,1,1,2
"",,Chak No.25,199051004,,,,179,127,306,,,
"",,Chak No.26,199051005,,,,60,42,102,,,
"",,Chak  No.30,1  9  9  0  5   1  1  04,,,,307,184,491,,,
245,"245. Government Primary SchoolChak No.29 Muridke",Chak No.27,199051101,,,,273,181,454,2,1,3
"",,Chak No.28,199051102,,,,366,223,589,,,
246,"246. Government Primary SchoolChak No.29 Muridke (223)","Chak No,29",199051103,,,,616,432,1048,2,2,4
247,"247. Government.Boys PrimarySchool Khana Lubana (P)*",Khana Lubana,199051001,,,,694,391,1085,2,1,3
Khana Lubana,199051002,,,,245,195,440,,,,,
Muridke,1  9  9   0  5  0  1  0  1,,,,529,0,529,,,,,
Muridke,199050102,,,,323,0,323,,,,,
Muridke,199050103,,,,34,0,34,,,,,
Muridke,199050104,,,,104,0,104,,,,,
Muridke,199050105,,,,36,0,36,,,,,
249,"249. Government.Boys PrimarySchool Dhakampura Muridke(Female) (P)*",Muridke,1  9  9   0  5  0  1  0  1,,,,0,315,315,0,2,2
"",Muridke,199050102,,,,0,202,202,,,,
"",Muridke,199050103,,,,0,15,15,,,,
"",Muridke,199050104,,,,0,76,76,,,,
"",Muridke,199050105,,,,0,37,37,,,,
"",Muridke,199050106,,,,0,50,50,,,,
250,"250. Basic Health Centre ChakNo.34 (P)*",Chak No36UCC,199051423,,,,121,65,186,1,1,2
"",Chak No.34UCC,199051424,,,,343,297,640,,,,
251,"251. Government.Girls HighSchool Noon (P)*",Noon,1  99051419,,,,765,588,1353,2,2,4
"",Noon,199051421,,,,322,197,519,,,,
"",Noon,199051434,,,,54,43,97,,,,
252,"252. Government.Girls HighSchool Noon (P)*",Noon,1   9  9  0  5  1   4  1  6,,,,375,256,631,2,1,3
"",Noon,199051417,,,,320,242,562,,,,
"",Noon,199051418,,,,92,81,173,,,,
"",Noon,199051433,,,,0,0,0,,,,
"",Noon,199051420,,,,52,36,88,,,,
253,"253. Social Security Hospital KalaShah Kaku at Rehanpura (Female)(T)**",Noon,1  99051414,,,,0,0,0,1,1,2
"",Noon,1  99051430,,,,286,206,492,,,,
"",Noon,199051415,,,,268,151,419,,,,
"",Noon,199051431,,,,130,81,211,,,,
"",Noon,199051432,,,,0,0,0,,,,
254,"254. Government TechnicalTraining Center Ravi Rian Muridke",Noon,199051402,,,,41,0,41,3,0,3
"",Noon,199051404,,,,109,0,109,,,,
"",Noon,199051405,,,,205,0,205,,,,
"",Noon,199051425,,,,523,0,523,,,,
"",Noon,199051426,,,,257,0,257,,,,
"",Noon,199051435,,,,171,0,171,,,,
255,"255. Social Security Hospital KalaShah Kaku at Rehanpura (Female)(T)**",Noon,199051402,,,,0,31,31,0,2,2
"",Noon,199051404,,,,0,61,61,,,,
"",Noon,199051405,,,,0,235,235,,,,
"",Noon,199051425,,,,0,349,349,,,,
"",Noon,199051426,,,,0,277,277,,,,
"",Noon,199051435,,,,0,109,109,,,,
256,"256. Government.apperenticesTraining Center Ravi Rehan (P)*",Noon,199051401,,,,287,0,287,4,0,4
"",Noon,199051403,,,,951,0,951,,,,
257,"257. Government.apperenticesTraining Center Ravi Rehan. (233)",Noon,199051401,,,,0,161,161,0,3,3
"",Noon,199051403,,,,0,753,753,,,,
258,"258. Government.apperenticesTraining Center Ravi Rehan (P)*",Noon,199051408,,,,1055,796,1851,2,2,4
Noon,1   9  9  0  5  1   4  0  9,,,,0,0,0,,,,,
Noon,1   9  9  0  5  1   4  2  7,,,,601,0,601,,,,,
Noon,199051410,,,,415,0,415,,,,,
Noon,199051412,,,,3,0,3,,,,,
260,"260. Government.Comunity BoysMiddle School Hussin TownRianpura (Female) (P)*",Noon,1   9  9  0  5  1   4  0  9,,,,0,0,0,0,2,2
"",,Noon,1   9  9  0  5  1   4  2  7,,,,0,464,464,,,
"",,Noon,199051410,,,,0,299,299,,,
"",,Noon,199051412,,,,0,1,1,,,
"",,Noon,199051413,,,,0,565,565,,,
261,"261. Government.Boys PrimarySchool Mohallah Rasool Abad RianPura. (P)*",Noon,199051406,,,,635,492,1127,1,1,2
262,"262. Government.Girls MiddleSchool Rian Pura Near Musjid AbuBakar (P)*",Noon,1   9  9051407,,,,631,472,1103,2,2,4
"",,Noon,199051411,,,,118,87,205,,,
"",,Noon,199051428,,,,95,74,169,,,
"",,Noon,199051429,,,,69,41,110,,,
263,"263. Basic Health Unit BheianwalaKalan (P)*",Bheia Wala Kalan,1  9 9051501,,,,434,285,719,1,1,2
"",,Chak Khazir (BC),199051502,,,,0,0,0,,,
264,"264. Government.Girls PrimarySchool Bhianwala Khurd (P)*",Chak No.35UCC,199051422,,,,399,283,682,2,1,3
265,"265. Government Primary SchoolChuhay wali Kalan Muridke",Chohaywali Kalan,199051601,,,,329,246,575,2,1,3
"",,Chohaywali Khurd,199051602,,,,281,169,450,,,
"",,Beer Wala,199051603,,,,178,144,322,,,
266,"266. Government Girls PrimarySchool Ali Pur",Ali Pur Tibba,199051605,,,,504,411,915,1,1,2
267,"267. Government Girls PrimarySchool Ali Pur Tiba (T)**",Ali Pur Tibba,199051606,,,,410,302,712,1,1,2
"",,Ali Pur Tibba,199051607,,,,342,260,602,,,
268,"268. Government Primary SchoolRakh Purab",Poorab,199051604,,,,468,350,818,1,1,2
269,"269. Government Boys HighSchool,Shakhum (P)*",Sekhwan-1,1  9  9  0  5  1   7  0  1,,,,306,195,501,2,2,4
"",,Sekhwan-1,1  9  9  0  5  1   7  0  9,,,,394,225,619,,,
"",,Sekhwan-3,199051703,,,,330,229,559,,,
"",,Sekhwan-4,199051704,,,,210,134,344,,,
270,"270. Government Boys HighSchool,Shakhum (P)*",Sekhwan-2,1  9  9  0  5  1   7  0  2,,,,641,442,1083,2,2,4
"",,Sekhwan-6,199051706,,,,274,149,423,,,
"",,Sekhwan-7,199051707,,,,163,92,255,,,
271,"271. Government Girls PrimerySchool, Chak Sanatta",Sekhwan-5,1  9  9  0  5  1   7  0  5,,,,162,112,274,1,1,2
"",,Chak Sanata,199051708,,,,443,241,684,,,
272,"272. Government BoysElementary School, Qila SattarShah (P)*",Qila Sattar Shah-1,1  9  9   0  5  1  9  0  4,,,,339,233,572,2,2,4
"",,Qila Sattar Shah-2,199051905,,,,606,471,1077,,,
"",,Qila Sattar Shah-3,199051906,,,,175,71,246,,,
"",,Qila Sattar Shah-3,199051907,,,,162,159,321,,,
273,"273. Government ElementarySchool, Hadiala Virkan.",Hadiala,199051903,,,,534,356,890,1,1,2
274,"274. Government Girls PrimerySchool,Katianwala (P)*",Dao ke Mallian,1   9  9  0  5  1  9   0  1,,,,203,109,312,1,1,2
"",,Kathianwala,199051902,,,,337,223,560,,,
275,"275. Basic Health Unit,WandalaNasar(male) (P)*",Wandiala Nasar,199052001,,,,768,0,768,2,0,2
Wandiala Nasar,199052002,,,,259,0,259,,,,,
"",Nasar(Female) (P)*,Wandiala Nasar,199052002,,,,0,221,221,,,
277,"277. Government Girls PrimerySchool,Khushal Pura (P)*",Khushal Pura,1  9  9  0   5  2  0  0  3,,,,255,152,407,1,1,2
"",Lail,199052004,,,,115,65,180,,,,
278,"278. Government.Girls PrimarySchool Bhianwala Khurd (P)*",Bhianwala Khurd,1  9  9 052201,,,,221,141,362,2,1,3
"",Bhianwala Khurd,1  9  9 052214,,,,0,0,0,,,,
279,"279. Government.Girls PrimarySchool Bhianwala Khurd (240)",Bhianwala Khurd,199052202,,,,494,351,845,2,2,4
"",Bhianwala Khurd,199052203,,,,0,0,0,,,,
"",Bhianwala Khurd,199052204,,,,0,0,0,,,,
"",Bhianwala Khurd,199052205,,,,0,0,0,,,,
"",Bhianwala Khurd,199052206,,,,0,0,0,,,,
"",Bhianwala Khurd,199052207,,,,75,49,124,,,,
"",Bhianwala Khurd,199052208,,,,19,8,27,,,,
"",Bhianwala Khurd,199052209,,,,80,79,159,,,,
"",Bhianwala Khurd,199052210,,,,62,26,88,,,,
"",Bhianwala Khurd,199052211,,,,0,0,0,,,,
"",Bhianwala Khurd,199052212,,,,0,0,0,,,,
"",Bhianwala Khurd,199052213,,,,38,20,58,,,,
280,"280. Government.Boys PrimarySchool Chak No.33 (P)*",Chak No.31,1  9  9  0  5   1  5  03,,,,160,128,288,1,1,2
"",Chak No.32,199051504,,,,286,181,467,,,,
"",Chak No.33 UCC,199051505,,,,319,221,540,,,,
281,"281. Government Girls ElementarySchool Joianwala Village",Dalavarian,199051805,,,,362,258,620,2,2,4
"",Joianwala,199051807,,,,732,465,1197,,,,
282,"282. Government.Boys MiddleSchool Joianwala (P)*",Gagrana,199051802,,,,179,138,317,1,1,2
"",Bavra Akalian,199051806,,,,23,14,37,,,,
"",Joianwala,1  9  9  0  5  1   8  0  8,,,,102,85,187,,,,
"",Joianwala,1  9  9  0  5  1   8  0  9,,,,234,146,380,,,,
283,"283. Basic Health Unit PindiMachian (Pindi Ratan Singh)",Sadwan,1  9  9  0  5  1  801,,,,201,113,314,2,1,3
"",Pindi Ratan Singh,199051803,,,,317,221,538,,,,
"",Pindi Ratan Singh,199051804,,,,520,358,878,,,,
284,"284. Government.Girls PrimarySchool Dargai Gill Qadeem (P)*",Dargai Gill Qadeem,1   9  8  0  1  0   104,,,,409,278,687,2,2,4
"",Dargai Gill Qadeem,198010105,,,,666,504,1170,,,,
285,"285. Government.Boys PrimarySchool Rangian Jangian (P)*",Rangian Jangian,198010101,,,,469,285,754,1,1,2
286,"286. Government.Bashir ModelPrimary School Rana Town DargaiGill Jadeed (P)*",Dargai Gill Jadeed,198010102,,,,183,193,376,2,2,4
Dargai Gill Jadeed,198010103,,,,421,304,725,,,,,
Dargai Gill Jadeed,198010106,,,,304,201,505,,,,,
"",,Imamia Colony No.1,1  9  8  0   7  0  1  0  1,,3  1  5,0,315,,,,,
"",,Imamia Colony No.2,198070102,,208,0,208,,,,,
"",,Imamia Colony No.3,198070103,,145,0,145,,,,,
"",,Imamia Colony No.4,198070104,,151,0,151,,,,,
"",,Imamia Colony No.5,198070105,,416,0,416,,,,,
"",,Imamia Colony No.10,198070205,,229,0,229,,,,,
288,"288. Government Sulman ShaheedHigh School Imamia ColonyFerozewala",,,Imamia Colony No.1,1  9  8  0   7  0  1  0  1,,0,268,268,0,4,4
"",,,,Imamia Colony No.2,198070102,,0,170,170,,,
"",,,,Imamia Colony No.3,198070103,,0,130,130,,,
"",,,,Imamia Colony No.4,198070104,,0,125,125,,,
"",,,,Imamia Colony No.5,198070105,,0,430,430,,,
"",,,,Imamia Colony No.10,198070205,,0,212,212,,,
"",,,,Imamia Colony No.10,198070209,,0,210,210,,,
289,"289. Government Sulman ShaheedHigh School Imamia ColonyFerozewala",,,Imamia Colony No.8,198070203,,471,0,471,3,0,3
"",,,,Imamia Colony No.9,198070204,,460,0,460,,,
"",,,,Imamia Colony No.9,198070208,,433,0,433,,,
290,"290. Government Sulman ShaheedHigh School Imamia ColonyFerozewala",,,Imamia Colony No.8,198070203,,0,367,367,0,2,2
"",,,,Imamia Colony No.9,198070204,,0,362,362,,,
"",,,,Imamia Colony No.9,198070208,,0,316,316,,,
291,"291. Sirat un Binat (Reg)Government.Girls High SchoolUmar Park (Male) (P)*",,,Imamia Colony No.6,198070201,,393,0,393,4,0,4
"",,,,Imamia Colony No.6,198070206,,624,0,624,,,
"",,,,Imamia Colony No.7,198070202,,506,0,506,,,
"",,,,Imamia Colony No.7,198070207,,526,0,526,,,
292,"292. Sirat un Binat (Reg)Government.Girls High SchoolUmar Park (Female) (P)*",,,Imamia Colony No.6,198070201,,0,278,278,0,3,3
"",,,,Imamia Colony No.6,198070206,,0,466,466,,,
"",,,,Imamia Colony No.7,198070202,,0,303,303,,,
"",,,,Imamia Colony No.7,198070207,,0,458,458,,,
293,"293. Al-Ghazi High School (Regd),Imamia Colony (Male) (T)**",,,"Annexi Imamia ColonyNo.11",198070301,,509,0,509,4,0,4
"",,,,"Annexi Imamia ColonyNo.12",198070302,,149,0,149,,,
"",,,,Abadi Ferozewala,198070303,,413,0,413,,,
"",,,,Abadi Ferozewala,198070304,,130,0,130,,,
"",,,,Peoples Colony No.1,198070305,,325,0,325,,,
294,"294. Al-Ghazi High School (Regd),Annexi Imamia Colony (Female)(T)**",,,"Annexi Imamia ColonyNo.11",198070301,,0,446,446,0,2,2
"",,,,"Annexi Imamia ColonyNo.12",198070302,,0,108,108,,,
"",,,,Abadi Ferozewala,198070303,,0,285,285,,,
"",,,,Abadi Ferozewala,198070304,,0,90,90,,,
"",,,,Peoples Colony No.1,198070305,,0,270,270,,,
295,"295. Government Girls HighSchool Peoples Colony (RightWing), Ferozewala",,,Peoples Colony   No.2,1  9   8  0  7  0  4  0   1,,493,0,493,4,0,4
"",,Peoples Colony   No.3,198070402,,295,0,295,,,,,
"",,Rachna Town No.1,198070501,,482,0,482,,,,,
"",,Rachna Town No.2,198070502,,350,0,350,,,,,
"",,Peoples Colony   No.2,1  9  8  0  7  0  4  0   1,,0,429,429,,,,,
"",,Peoples Colony   No.3,198070402,,0,256,256,,,,,
"",,Rachna Town No.1,198070501,,0,390,390,,,,,
297,"297. Government Girls HighSchool Peoples Colony (LeftWing), Ferozewala",,,Peoples Colony No.4,1  9   8  0  7  0  4  0   3,,2  9  0,0,2  9  0,4,0,4
"",,,,"Peoples Colony SchemeNo.1",198070404,,282,0,282,,,
"",,,,"Peoples Colony SchemeNo.2",198070405,,97,0,97,,,
"",,,,"Peoples Colony SchemeNo.3",198070406,,109,0,109,,,
"",,,,Peoples Colony No.1,198070503,,431,0,431,,,
298,"298. Government Girls HighSchool Peoples Colony (LeftWing), Ferozewala (11)",,,Scheme No.2,198070504,,497,399,896,2,2,4
"",,,,Scheme No.3,198070505,,176,126,302,,,
"",,,,People Colony F/Wala,1  9   8  0  7  0  506,,111,81,192,,,
"",,,,People Colony F/Wala,198070507,,221,152,373,,,
299,"299. Government Girls HighSchool Peoples Colony (LeftWing), Ferozewala",,,Peoples Colony No.4,1  9   8  0  7  0  4  0   3,,0,2   2  7,2  2  7,0,3,3
"",,,,"Peoples Colony SchemeNo.1",198070404,,0,233,233,,,
"",,,,"Peoples Colony SchemeNo.2",198070405,,0,106,106,,,
"",,,,"Peoples Colony SchemeNo.3",198070406,,0,88,88,,,
"",,,,Peoples Colony No.1,198070503,,0,336,336,,,
300,"300. Govt. Primary School SchemeNo. 3 Near Jamia Islamia Madrasa",,,Ferozewala Deh.No.1,198080105,,395,0,395,3,0,3
"",,,,Ferozewala Deh.No.1,198080107,,611,0,611,,,
301,"301. Government.Girls DegreeCollage Ferozewala New Building(Male) (P)*",,,Scheme No.4,1   9  8  0 80104,,101,0,101,3,0,3
"",,,,Scheme No.4,1   9  8  0 80111,,383,0,383,,,
"",,,,Ferozewala Deh.No.2,198080106,,219,0,219,,,
"",,,,Ferozewala Deh.No.2,198080108,,105,0,105,,,
"",,,,Ferozewala Deh.No.2,198080109,,230,0,230,,,
302,"302. Government.Girls DegreeCollage Ferozewala New Building(Female) (P)*",,,Scheme No.4,1   9  8  0 80104,,0,54,54,0,3,3
"",,,,Scheme No.4,1   9  8  0 80111,,0,314,314,,,
"",,,,Ferozewala Deh.No.1,198080105,,0,356,356,,,
"",,,,Ferozewala Deh.No.1,198080107,,0,427,427,,,
"",,,,Ferozewala Deh.No.2,198080106,,0,125,125,,,
"",,,,Ferozewala Deh.No.2,198080108,,0,104,104,,,
"",,,,Ferozewala Deh.No.2,198080109,,0,152,152,,,
303,"303. Government.Girls DegreeCollage Ferozewala New Building(Male) (P)*",,,Ferozewala Deh.,1  9   8  0  8  0  1   0  1,,173,0,173,3,0,3
"",,Ferozewala Deh.,1  9   8  0  8  0  1   1  0,,595,0,595,,,,,
"",,Ferozewala Scheme No.1,198080102,,121,0,121,,,,,
"",,Ferozewala Scheme No.1,198080112,,340,0,340,,,,,
"",,Rachna Town,198080103,,288,0,288,,,,,
"",,Rachna Town,198080113,,170,0,170,,,,,
"",,Ferozewala Deh.,1  9   8  0  8  0  1   0  1,,0,149,149,,,,,
"",,Ferozewala Deh.,1  9   8  0  8  0  1   1  0,,0,392,392,,,,,
"",,Ferozewala Scheme No.1,198080102,,0,99,99,,,,,
"",,Ferozewala Scheme No.1,198080112,,0,225,225,,,,,
"",,Rachna Town,198080103,,0,104,104,,,,,
305,"305. Worker Welfare SchoolG.T.Road Rana Town (Male) (P)*",,,Rachna Town No.7,1  9  8  0  8  0   3  0  1,,1499,0,1499,4,0,4
"",,,,Murad Town,198080302,,259,0,259,,,
"",,,,Rana Town Kot M.Hussain,198080303,,168,0,168,,,
306,"306. Worker Welfare SchoolG.T.Road Rana Town (Female) (P)*",,,Rachna Town No.7,1  9  8  0  8  0   3  0  1,,0,1132,1132,0,3,3
"",,,,Murad Town,198080302,,0,210,210,,,
"",,,,Rana Town Kot M.Hussain,198080303,,0,144,144,,,
307,"307. New Central Model HighSchool Muhammad Nagar, RanaTown",,,Rana Town No.1,1  9  8  0  8   0  3  0  4,,225,0,225,2,0,2
"",,,,Rana Town No.1,1  9  8  0  8   0  3  0  7,,156,0,156,,,
"",,,,Rana Town No.2,198080305,,284,0,284,,,
"",,,,Rana Town No.2,198080308,,91,0,91,,,
"",,,,Rana Town No.2,198080309,,219,0,219,,,
"",,,,Rana Town No.2,198080310,,61,0,61,,,
"",,,,Rana Town No.2,198080311,,96,0,96,,,
"",,,,Ferozewala,198080306,,117,0,117,,,
308,"308. New Central Model HighSchool Muhammad Nagar, RanaTown",,,Rana Town No.1,1  9  8  0  8   0  3  0  4,,0,158,158,0,2,2
"",,,,Rana Town No.1,1  9  8  0  8   0  3  0  7,,0,105,105,,,
"",,,,Rana Town No.2,198080305,,0,241,241,,,
"",,,,Rana Town No.2,198080308,,0,63,63,,,
"",,,,Rana Town No.2,198080309,,0,124,124,,,
"",,,,Rana Town No.2,198080310,,0,67,67,,,
"",,,,Rana Town No.2,198080311,,0,58,58,,,
"",,,,Ferozewala,198080306,,0,102,102,,,
309,"309. Lahore Gem School (Reg)Rachna Town (Male) (T)**",,,Rachna Town No.1,198080201,,279,0,279,2,0,2
"",,,,Rachna Town No.1,198080207,,246,0,246,,,
"",,,,Rachna Town No.1,198080208,,511,0,511,,,
310,"310. Lahore Gem School (Reg)Rachna Town (Male) (T)**",,,Rachna Town No.2,198080202,,626,0,626,3,0,3
"",,,,Rachna Town No.2,198080209,,408,0,408,,,
"",,,,Rachna Town No.2,198080210,,407,0,407,,,
311,"311. Government Girls ElementarySchool Rachna Town Ferozewala",,,Rachna Town No.1,198080201,,0,232,232,0,3,3
"",,,,Rachna Town No.1,198080207,,0,228,228,,,
"",,,,Rachna Town No.1,198080208,,0,295,295,,,
"",,,,Rachna Town No.2,198080202,,0,442,442,,,
"",,,,Rachna Town No.2,198080209,,0,322,322,,,
"",,,,Rachna Town No.2,198080210,,0,321,321,,,
312,"312. Government.Boys PrimarySchool Rachna Town Male (P)*",,,Rachna Town No.3,198080203,,559,0,559,4,0,4
"",,,,Rachna Town No.3,198080211,,377,0,377,,,
"",,,,Rachna Town No.3,198080212,,726,0,726,,,
313,"313. Government Girls ElementarySchool Rachna Town Ferozewala",,,Rachna Town No.4,198080204,,462,433,895,2,2,4
"",,Rachna Town No.4,198080213,,149,96,245,,,,,
