"Polling Station Serial No",Polling Station Name,Electoral Area,Block Code,Male Voters,"Female Voters","Total Voters","Male Booths","Female Booths","Total Booths","Polling Station Type"
"",,Chak Shiraja,223110506,966,0,966,,,,
316,"Govt. Boys HighSchool AbdulHakeem (P-II)",Rail Bazar Ghurbu,223110501,345,284,639,1,1,2,Combined
317,"Govt. Boys HighSchool AbdulHakeem (P-II)",Mohammadi Mohallah,223110503,544,470,1014,1,1,2,Combined
318,"Govt Girls HigherSecondry  SchoolAbdul Hakim 1stPortion",Rehman Town,223110401,0,372,372,0,2,2,Female
Basti Tareli,223110402,0,174,174,,,,,,
Hospital Road,223110403,0,167,167,,,,,,
A Block,223110404,0,247,247,,,,,,
Town Committee,223110405,0,409,409,,,,,,
Rail Bazar Shurqi,223110406,0,462,462,,,,,,
"",Portion,Chak Shiraja,223110504,0,734,734,,,,
"",,Chak Shiraja,223110506,0,734,734,,,,
320,"Govt Girls MiddleSchool ChristianColony AbdulHakim 1st Portion",Afzal Town,223110205,0,149,149,0,3,3,Female
"",,Oad Colony,223110206,0,590,590,,,,
"",,Oad Colony,223110208,0,590,590,,,,
321,"Govt Girls MiddleSchool ChristianColony AbdulHakim Iind Portion",Kachi Abadi,223110302,0,449,449,0,3,3,Female
Chichean Colony,223110303,0,242,242,,,,,,
Mohallah Sabri,223110304,512,0,512,,,,,,
Mohallah Shekhan Wala,223110305,366,0,366,,,,,,
323,"Govt Girls MiddleSchool  Near OfficeE.N.T Abdul Hakim2nd  Portion",Mohallah Sabri,223110304,0,479,479,0,2,2,Female
"",,Mohallah Shekhan Wala,223110305,0,301,301,,,,
"",,"Mohallah Pir MubarikShah",223110306,0,373,373,,,,
324,"Office of MarketCommittee AbdulHakim (1st Portion)",Basti Qutab Pur,223110505,475,0,475,2,0,2,Male
"",,Basti Bahawal Pur,223110601,651,0,651,,,,
325,"Office of MarketCommittee AbdulHakim (1st Portion)",Mohallah Farooq Azam,223110602,653,612,1255,2,1,3,Combined
"",,Mohallah Farooq Azam,223110608,653,612,1255,,,,
326,"Office of MarketCommittee AbdulHakim (IInd Port)",Mohallah Eid Gah,223110603,209,0,209,2,0,2,Male
Basti Atari,223110604,610,0,610,,,,,,
"",(1st Port),Basti Bahawal Pur,223110601,0,556,556,,,,
"",,Mohallah Eid Gah,223110603,0,164,164,,,,
"",,Basti Atari,223110604,0,486,486,,,,
328,"Govt. Boys DegreeCollege AbdulHakeem",Chah Sultan Thiraj,223110301,945,742,1687,2,2,4,Combined
"",,Nawan Sheher,223110605,731,569,1300,,,,
329,"Govt. Boys DegreeCollege AbdulHakeem",Nawan Sheher,223110606,731,569,1300,2,2,4,Combined
Nawan Sheher,223110607,731,569,1300,,,,,,
Shiraz Abad,223110207,233,189,422,,,,,,
Bagar,223070901,361,0,361,,,,,,
"",,Bagar,223070903,544,0,544,,,,
331,"Govt Boys HighSchool BagarSargana   (IIndPortion)",Bagar,223070901,0,299,299,0,2,2,Female
"",,Bagar,223070902,0,297,297,,,,
"",,Bagar,223070903,0,455,455,,,,
332,"Govt.Boys HighSchool BagarSargana(P-III)",Bagar,223070904,447,387,834,1,1,2,"Combined"
333,"Govt Boys HighSchool BagarSargana   (4th",Bagar,223070905,532,466,998,1,1,2,"Combined"
334,"Govt Girls HighSchool  BagarSargana (IstPortion)",Bagar,223070906,341,0,341,2,0,2,Male
Bagar,223070907,241,0,241,,,,,,
Bagar,223070908,289,0,289,,,,,,
335,"School  BagarSargana (IstPortion)",Bagar,223070910,697,503,1200,2,2,4,"Combined"
Bagar,223070911,697,503,1200,,,,,,
Bagar,223070906,0,287,287,,,,,,
Bagar,223070907,0,183,183,,,,,,
"PollingStationSerial No",Polling Station Name,"MaleFemaleTotalElectoral AreaBlock CodeVotersVotersVoters","MaleBooths","FemaleBooths","TotalBooths",Booth Type,,,,
1,"Govt Boys High SchoolTulamaba (MiddleBlock)","Somali Said /KachaMohallah",222080102,517,0,517,2,0,2,Male
Mohallah Kukran Wala,222080105,385,0,385,,,,,,
"",Block),Mohallah Shiekan,222080104,283,0,283,,,,
3,"Govt Boys High SchoolTulamba    (pryPortion)","Fazal Shah RoadMohallah Mastran",222080404,475,0,475,3,0,3,Male
"",,Tabi Muslam Shakieh,222080403,408,0,408,,,,
"",,"Mohallah Syedian  JafariTulamba",222080101,573,0,573,,,,
4,"Office of towncommittie Tulamba",Mohallah Guli Rehmat,222080201,425,0,425,3,0,3,Male
"",,Mohallah Kojrran,222080202,586,0,586,,,,
"",,Mohallah Rajputtan,222080301,399,0,399,,,,
5,"Govt. Girls PrimarySchool Basti Dogran",Mohallah Dabaran,222080203,545,0,545,2,0,2,Male
"MohallahDogrran/Dabaran",222080204,420,0,420,,,,,,
"",,"Mohallah QuarterTulamba",222080302,315,0,315,,,,
7,"Office of towncommittie Tulamba","Mohallah SindhiGate/Gulstion NoorTown",222080206,731,0,731,2,0,2,Male
"",,"Balal Colony /ThanRoad",222080303,481,0,481,,,,
8,"Office of AssistantEducation OfficerTulambah (RestHouse) (M)","Mohallah KotIslam/Gultion Town",222080304,493,0,493,2,0,2,Male
"",,Mohallah Rest House,222080305,466,0,466,,,,
9,"Agriculture OfficeTulmba Mian ChannuRoad Tulamba","Mohallah Chawani,Khasta Bota",222080401,433,0,433,2,0,2,Male
"",,Mohallah Mehr Shakoor,222080402,320,0,320,,,,
10,"Govt Girls Highersecondary  SchoolTulamba (middleportion)","Somali Said /KachaMohallah",222080102,0,386,386,0,2,2,Female
Mohallah Kukran Wala,222080105,0,327,327,,,,,,
"","Tulamba (middleportion)",Mohallah Shiekan,222080104,0,293,293,,,,
12,"Govt Girls Highersecondary  SchoolTulamba (PrimaryPortion)",Mohallah Syedian  Jafari,222080101,0,452,452,0,3,3,Female
"",,Tabi Muslam Shakieh,222080403,0,424,424,,,,
"",,"Fazal Shah RoadMohallah Mastran",222080404,0,394,394,,,,
13,"Govt Girls Highersecondary  SchoolTulamba (HighPortion)",Mohallah Guli Rehmat,222080201,0,389,389,0,3,3,Female
"",,Mohallah Kojrran,222080202,0,481,481,,,,
"",,Mohallah Rajputtan,222080301,0,381,381,,,,
14,"Govt pry School No.2Near Thana Tulamba.",Mohallah Dabaran,222080203,0,442,442,0,2,2,Female
"MohallahDogrran/Dabaran",222080204,0,358,358,,,,,,
"",Side Tulmaba,"Mohallah SindhiGate/Gulstion NoorTown",222080206,0,578,578,,,,
16,"Govt Boys High SchoolB.Branch SouthrenSide Tulmaba","Balal Colony /ThanRoad",222080303,0,417,417,0,2,2,Female
"",,"Mohallah QuarterTulamba",222080302,0,240,240,,,,
17,"Govt Girls Pry SchoolMohalla Kot IslamTulamba","Mohallah KotIslam/GultionTown",222080304,0,354,354,0,2,2,Female
"",,Mohallah Rest House,222080305,0,370,370,,,,
18,"Govt Boys M SchoolB.Branch (nothernSide)Tulamba","Mohallah Chawani,Khasta Bota",222080401,0,326,326,0,2,2,Female
Mohallah Mehr Shakoor,222080402,0,299,299,,,,,,
Chak No.132/16-L,222010201,374,0,374,,,,,,
Chak No.132/16-L,222010202,238,0,238,,,,,,
"","Govt Boys MiddleSchool 132/16L",Chak No.132/16-L,222010207,135,0,135,4,0,4,Male
"",,Chak No.132/16-L,222010204,794,0,794,,,,
"",,Chak No.132/16-L,222010205,794,0,794,,,,
"",,Chak No.132/16-L,222010217,794,0,794,,,,
"",,Chak No.132/16-L,222010206,403,0,403,,,,
20,"Govt Girls High School132/16L",Chak No.132/16-L,222010201,0,299,299,0,2,2,Female
Chak No.132/16-L,222010202,0,207,207,,,,,,
Chak No.132/16-L,222010203,0,78,78,,,,,,
Chak No.132/16-L,222010207,0,113,113,,,,,,
""
""
21,"Govt Girls High School132/16L",Chak No.132/16-L,222010205,0,625,625,0,2,2,Female
"",,Chak No.132/16-L,222010217,0,625,625,,,,
"",,Chak No.132/16-L,222010206,0,332,332,,,,
22,"Govt Girls PrimarySchool 131/15-L(Lukkan Wala)",Chak No-131/15-L,222010210,455,362,817,2,1,3,Combined
"",,Chak No-131/15-L,222010211,250,193,443,,,,
23,"Govt Girls PrimarySchool 131/15-L(Lukkan Wala)",Chak No-131/15-L,222010208,318,252,570,2,1,3,Combined
"",,Chak No-131/15-L,222010209,286,236,522,,,,
24,"Govt Boys PrimarySchool  131/15-L",Chak No-131/15-L,222010212,84,75,159,1,1,2,Combined
Chak No-131/15-L,222010213,373,314,687,,,,,,
25,"Govt Boys PrimarySchool  131/15-L",Chak No-131/15-L,222010215,854,659,1513,2,2,4,Combined
"",,Chak No-131/15-L,222010216,854,659,1513,,,,
26,"Govt Boys PrimarySchool 127 /15-LBumby Wala",Chak No.127/15-L,222010308,411,0,411,3,0,3,Male
"",,Chak No.127/15-L,222010309,265,0,265,,,,
"",,Chak No.127/15-L,222010310,378,0,378,,,,
27,"Govt Girls PrimarySchool 127 /15-LBumby Wala",Chak No.127/15-L,222010308,0,307,307,0,2,2,Female
Chak No.127/15-L,222010309,0,220,220,,,,,,
Chak No.127/15-L,222010310,0,301,301,,,,,,
Chak No.127/15-L,222010312,226,189,415,,,,,,
29,"Govt.High School127/15-L Gillanwala.",Chak No.127/15-L,222010311,655,578,1233,1,1,2,Combined
30,"Govt Boys PrimarySchool  41-A /15-L",Chak No.41-A/15-L,222010302,480,369,849,1,1,2,Combined
31,"Govt Boys PrimarySchool  41-A /15-L",Chak No.41-A/15-L,222010301,338,268,606,1,1,2,Combined
"",,Chak No.41-A/15-L,222010303,183,132,315,,,,
32,"Govt Boys MiddleSchool  42 /15-L",Chak No.42/15-L,222010304,534,0,534,3,0,3,Male
Chak No.42/15-L,222010305,580,0,580,,,,,,
Chak No.42/15-L,222010306,261,0,261,,,,,,
Chak No.42/15-L,222010307,125,0,125,,,,,,
Chak No.42/15-L,222010304,0,407,407,,,,,,
"",School 42 /15-L,Chak No.42/15-L,222010306,0,206,206,,,,
"",,Chak No.42/15-L,222010307,0,89,89,,,,
34,"Govt Boys High School(High Section ) 43 /15-L",Chak No.43/15-L,222010401,347,265,612,2,1,3,Female
"",,Chak No.43/15-L,222010402,391,292,683,,,,
35,"Govt Girls MiddleSchool Chak No 43 /15L",Chak No.43/15-L,222010403,466,386,852,1,1,2,Combined
36,"Govt Girls MiddleSchool Chak No 43 /15L",Chak No.43/15-L,222010404,687,589,1276,1,1,2,Combined
Chak No.44/15-L,222010405,259,0,259,,,,,,
Chak No.44/15-L,222010406,201,0,201,,,,,,
Chak No.44/15-L,222010407,138,0,138,,,,,,
38,"Govt Girls MiddleSchool  44 /15-L",Chak No.44/15-L,222010405,0,216,216,0,2,2,Male
Chak No.44/15-L,222010406,0,151,151,,,,,,
Chak No.44/15-L,222010407,0,117,117,,,,,,
Chak No.44/15-L,222010408,0,198,198,,,,,,
Chak No.44/15-L,222010411,350,0,350,,,,,,
Chak No.44/15-L,222010412,335,0,335,,,,,,
Chak No.44/15-L,222010413,278,0,278,,,,,,
Chak No.44/15-L,222010414,156,0,156,,,,,,
Chak No.44/15-L,222010409,536,0,536,,,,,,
40,"Govt Girls MiddleSchool  44 /15-L   (PryPortion )",Chak No.44/15-L,222010411,0,339,339,0,2,2,Female
"",,Chak No.44/15-L,222010412,0,302,302,,,,
"",,Chak No.44/15-L,222010413,0,227,227,,,,
"",,Chak No.44/15-L,222010414,0,120,120,,,,
41,"Govt Girls MiddleSchool  44 /15-L   (PryPortion )",Chak No.44/15-L,222010409,0,515,515,0,2,2,Female
"",,Chak No.44/15-L,222010410,0,282,282,,,,
42,"Govt Boys MiddleSchool  129 /15-L NewPortion",Chak No.129/15-L,222010102,599,496,1095,1,1,2,Combined
43,"Govt Boys MiddleSchool  129 /15-L NewPortion",Chak No.129/15-L,222010101,531,402,933,1,1,2,Female
Chak No.129/15-L,222010118,531,402,933,,,,,,
45,"Govt Girls High School129 /15-L",Chak No.129/15-L,222010104,960,759,1719,2,2,4,Combined
"",,Chak No.129/15-L,222010119,960,759,1719,,,,
46,"Govt Boys MiddleSchool  Basty Odd Wali128 /15-L",Chak No.128/15-L,222010108,383,338,721,1,1,2,Combined
47,"Govt Boys MiddleSchool  Basty Odd Wali128 /15-L",Chak No.128/15-L,222010106,946,817,1763,2,2,4,Combined
"",,Chak No.128/15-L,222010107,946,817,1763,,,,
48,"Govt Boys High School128 /15-L (Part-II)",Chak No.128/15-L,222010109,414,352,766,1,1,2,Combined
49,"Govt Girls High School128 /15-L",Chak No.128/15-L,222010110,157,148,305,1,1,2,Combined
Chak No.128/15-L,222010111,465,387,852,,,,,,
Chak No.130/15-L,222010112,312,269,581,,,,,,
51,"Govt Boys PrimarySchool  130 /15-L(quarters)",Chak No.130/15-L,222010114,683,503,1186,1,1,2,Combined
"",,Chak No.130/15-L,222010115,683,503,1186,,,,
52,"Govt Girls PrimarySchool 130 /15-L(quarters)",Chak No.130/15-L,222010116,248,187,435,1,1,2,Combined
"",,Chak No.130/15-L,222010117,292,248,540,,,,
"",,Chak No.130/15-L,222010120,292,248,540,,,,
53,"Govt Girls MiddleSchool 134/16-L",Chak No-134/16-L,222030109,352,283,635,1,1,2,Combined
"",,Chak No.134/16-L,222030110,255,201,456,,,,
54,"Govt.Pry School134/16-L (Islam Pura)",Chak No.134/16-L,222030111,400,318,718,1,1,2,Combined
55,"Govt.Pry School134/16-L (Islam Pura)",Chak No.134/16-L,222030112,405,235,640,1,1,2,Combined
57,"Govt Boys High School134/16-L(pry portion)",Chak No-134/16-L,222030113,286,197,483,1,1,2,Combined
"",,Chak No.134/16-L,222030115,341,268,609,,,,
58,"Govt Boys PrimarySchool 134/16-L",Chak No.134/16-L,222030117,256,0,256,3,0,3,Male
"",,Chak No.134/16-L,222030118,449,0,449,,,,
"",,Chak No.134/16-L,222030119,284,0,284,,,,
59,"Govt Boys PrimarySchool 134/16-L  26b",Chak No.134/16-L,222030116,873,0,873,2,0,2,Male
Chak No.134/16-L,222030116,0,564,564,,,,,,
Chak No.134/16-L,222030117,0,173,173,,,,,,
Chak No.134/16-L,222030118,0,276,276,,,,,,
61,"Govt Boys MiddleSchool  133/16-L(Middle Port)",Chak No-133/16-L,222030101,423,324,747,1,1,2,Combined
62,"Govt Girls PrimarySchool 133/16-L",Chak No-133/16-L,222030102,594,434,1028,1,1,2,Combined
63,"Govt Girls PrimarySchool 133/16-L",Chak No-133/16-L,222030103,306,262,568,1,1,2,Combined
64,"Govt Girls High  School133/16-L(high Portion)",Chak No.133/16-L,222030104,233,0,233,4,0,4,Male
Chak No-133/16-L,222030105,233,0,233,,,,,,
Chak No-133/16-L,222030106,862,0,862,,,,,,
Chak No-133/16-L,222030120,862,0,862,,,,,,
Chak No-133/16-L,222030107,632,0,632,,,,,,
Chak No.133/16-L,222030108,357,0,357,,,,,,
65,"Govt Girls High  School(middle portion)133/16-L",Chak No-133/16-L,222030105,0,193,193,0,3,3,Female
"",,Chak No-133/16-L,222030106,0,600,600,,,,
"",,Chak No-133/16-L,222030120,0,600,600,,,,
66,"Govt Girls High  School(middle portion)133/16-L",Chak No.133/16-L,222030107,0,451,451,0,2,2,Female
"",,Chak No.133/16-L,222030108,0,245,245,,,,
67,"Govt Boys High School135/16-L (middleportion)",Chak No-135/16-L,222030201,395,328,723,1,1,2,Combined
68,"Govt Boys High School135/16-L (middleportion)",Chak No-135/16-L,222030202,384,313,697,2,1,3,Combined
Chak No-135/16-L,222030203,239,176,415,,,,,,
Chak No-135/16-L,222030204,1112,0,1112,,,,,,
70,"Govt Girls MiddleSchool  135/16-L(North)",Chak No-135/16-L,222030204,0,903,903,0,2,2,Female
"",,Chak No-135/16-L,222030205,0,903,903,,,,
71,"Govt Girls High  School135/16-L(High Port)",Chak No-135/16-L,222030206,550,424,974,2,1,3,Combined
"",,Chak No.135/16-L,222030207,162,69,231,,,,
72,"Govt Boys PrimarySchool  136/16-L",Chak No.136/16-L,222030208,694,480,1174,2,2,4,Combined
"",,Chak No.136/16-L,222030209,188,130,318,,,,
73,"Govt Girls PrimarySchool 136/16-L",Chak No.136/16-L,222030210,458,261,719,1,1,2,Combined
74,"Govt Girls PrimarySchool 136/16-L",Chak No.136/16-L,222030211,614,367,981,1,1,2,Combined
Tulamba,222050501,1328,0,1328,,,,,,
76,"Govt Boys Highersecondry SchoolTulamba(1st Portion)",Tulamba,222050503,239,0,239,2,0,2,Male
"",,Tulamba,222080207,159,0,159,,,,
77,"Govt Boys Highersecondry SchoolTulamba (IInd  Portion)",Tulamba,222050501,0,882,882,0,4,4,Female
"",,Tulamba,222050502,0,882,882,,,,
"",,Tulamba,222050503,0,168,168,,,,
"",,Tulamba,222080207,0,117,117,,,,
78,"Sub Tehsil OfficeTulamba",Farid Sanpal,222050405,365,218,583,2,1,3,Combined
Mir pur,222050406,366,227,593,,,,,,
Mir pur,222050407,294,206,500,,,,,,
80,"Govt Boys PrimarySchool  ChoghattaPanjuana",Chaughata Punguana,222050402,497,405,902,1,1,2,Combined
81,"Govt Boys PrimarySchool  ChoghattaPanjuana",Chahan Sarkari,222050404,96,92,188,1,1,2,Combined
"",,Chaughata Punguana,222050401,358,243,601,,,,
82,"Office unoin CouncilChoghatta Panjuana",Bukeniray,222050506,127,87,214,1,1,2,Combined
Bela Punjwana,222050507,65,47,112,,,,,,
Tara Pur,222050508,52,41,93,,,,,,
Bela Sikandar Khan,222050509,0,0,0,,,,,,
Azim Hiraj,222050403,47,17,64,,,,,,
Ahmed Yar Hiraj,222051709,62,38,100,,,,,,
83,"Basic health CenterGhaus pur",Ghouse Pur,222051801,355,288,643,2,1,3,Combined
"",,Ghouse Pur,222051802,136,93,229,,,,
"",,Nuran Hiraj,222051807,0,0,0,,,,
"",,Manik Hiraj,222051808,10,2,12,,,,
84,"Govt Boys PrimarySchool  Ghaus Pur",Chahan Amir Shah,222051708,485,355,840,2,1,3,Combined
"",,Choki Sohang,222051705,234,150,384,,,,
85,"Govt Boys PrimarySchool  Kalupitra",Sajawal Hiraj,222051707,216,151,367,2,1,3,Combined
Kalu Patra,222051703,499,331,830,,,,,,
Ram Pur,222051706,97,60,157,,,,,,
"",,"Jungle Dery WalaShomali",222051702,436,345,781,,,,
87,"Govt.Girls MiddleSchool Raees Abad(Ariwala)",Wasiran,222051701,280,0,280,4,0,4,Male
"",,Hussain-Pur Arewala,222051604,217,0,217,,,,
"",,Hussain-Pur Arewala,222051605,225,0,225,,,,
"",,Hussain-Pur Arewala,222051606,604,0,604,,,,
88,"Govt.Boys MiddleSchool Hussain purAriwala.",Wasiran,222051701,0,161,161,0,3,3,Female
Hussain-Pur Arewala,222051604,0,124,124,,,,,,
Hussain-Pur Arewala,222051605,0,176,176,,,,,,
Hussain-Pur Arewala,222051606,0,460,460,,,,,,
89,"Govt Boys PrimarySchool  jungleDerywala janubi",jungle Derywala janubi,222051608,421,300,721,1,1,2,Combined
"",,jungle Derywala janubi,222051609,220,115,335,,,,
90,"Govt Girls MiddleSchool Noori Suhag    ()",Nuri Sohag,222051601,324,0,324,3,0,3,Male
"",,Nuri Sohag,222051602,387,0,387,,,,
"",,Nuri Sohag,222051603,235,0,235,,,,
91,"Govt.Girls MiddleSchool Noori Suhag",Nuri Sohag,222051601,0,281,281,0,2,2,Female
"",,Nuri Sohag,222051602,0,362,362,,,,
"",,Nuri Sohag,222051603,0,236,236,,,,
92,"Govt Boys PrimarySchool  3/8-AR",Chak No.3/8-A-R,222051505,331,256,587,1,1,2,Combined
94,"Govt Boys MiddleSchool 18/8-R",Chak No 18/8-R,222051507,483,353,836,2,1,3,Combined
"",,Chak No.2/8-AR,222051508,219,121,340,,,,
95,"Govt Girls PrimarySchool  Chak-56 HyderAbad",Hayder Abad,222051503,257,163,420,2,1,3,Combined
"",,Hayder Abad,222051504,524,360,884,,,,
96,"Govt Boys MiddleSchool  19/8-R",Chak No-19/8-R,222051502,593,445,1038,1,1,2,Combined
97,"Govt Boys MiddleSchool  19/8-R",Chak No-19/8-R,222051501,260,165,425,2,1,3,Combined
98,"Govt Boys High School20/8-R",Chak No-20/8-R,222050409,110,70,180,2,2,4,Combined
"",,Chak No-20/8-R,222050410,841,652,1493,,,,
99,"Govt Girls PrimarySchool 13/8-AR",Chak No-13/8-AR,222051006,513,399,912,1,1,2,Combined
101,"Govt Boys PrimarySchool  10/8-AR",Chak No10-11/8-A-R,222051003,412,0,412,4,0,4,Male
"",,Chak No10-11/8A-R,222051004,580,0,580,,,,
"",,Chak No12/8A-R,222051005,399,0,399,,,,
102,"Govt Girls MiddleSchool 10/8-AR",Chak No10-11/8-A-R,222051003,0,317,317,0,3,3,Female
"",,Chak No10-11/8A-R,222051004,0,438,438,,,,
"",,Chak No12/8A-R,222051005,0,327,327,,,,
103,"Govt Boys PrimarySchool  Paka hajiMajeed",Paka haji majeed,222051001,811,614,1425,2,1,3,Combined
Paka haji majeed,222051002,811,614,1425,,,,,,
Chak No.14/8A-R,222051008,854,0,854,,,,,,
"",,Chak No.14/8A-R,222051010,497,0,497,,,,
"",,Chak No14/8A-R,222051011,276,0,276,,,,
105,"Govt Boys High School14/8-AR",Chak No.14/8A-R,222051008,0,598,598,0,3,3,Female
"",,Chak No.14/8A-R,222051009,0,598,598,,,,
"",,Chak No.14/8A-R,222051010,0,348,348,,,,
"",,Chak No14/8A-R,222051011,0,167,167,,,,
106,"Govt Boys PrimarySchool  Jarahi",jarahi,222050801,418,359,777,1,1,2,Combined
107,"Govt Boys PrimarySchool  Jarahi",jarahi,222050802,365,298,663,1,1,2,Combined
108,"Govt Boys PrimarySchool  15/8-BR",Chak No-15/8-BR,222050803,556,466,1022,1,1,2,Combined
"",,Chak No-15/8-BR,222050805,490,406,896,,,,
110,"Govt Girls HigherSecondary School16/8-BR",Chak No-16/8-BR,222050806,407,359,766,1,1,2,Combined
111,"Govt Girls HigherSecondary School16/8-BR",Chak No-16/8-BR,222050807,625,528,1153,2,1,3,Combined
112,"Govt Girls MiddleSchool  17/8-BR",Chak No-17/8-BR,222050810,822,573,1395,2,1,3,Combined
"",,Chak No-17/8-BR,222050811,822,573,1395,,,,
113,"Govt Girls MiddleSchool  17/8-BR",Chak No-17/8-BR,222050808,565,462,1027,1,1,2,Combined
"",,Chak No-17/8-BR,222050809,565,462,1027,,,,
"",,Chak No-17/8-BR,222050812,66,46,112,,,,
114,"Govt Boys MiddleSchool  18/8-BR",Chak No-18/8-BR,222050909,474,372,846,1,1,2,Combined
116,"Govt Boys High School19/8-BR",Chak No-19/8-BR,222050907,840,731,1571,2,2,4,Combined
"",,Chak No-19/8-BR,222050908,840,731,1571,,,,
117,"Govt Boys High School19/8-BR",Chak No-19/8-BR,222050905,380,319,699,2,1,3,Combined
"",,Chak No-19/8-BR,222050906,282,225,507,,,,
118,"Govt Boys MiddleSchool  20/8-BR",Chak No20/8B-R,222050901,340,289,629,1,1,2,Combined
119,"Govt Boys MiddleSchool  20/8-BR",Chak No20/8B-R,222050902,276,241,517,1,1,2,Combined
120,"Govt Girls MiddleSchool  20/8-BR",Chak No20/8B-R,222050904,425,351,776,1,1,2,Combined
121,"Govt Girls MiddleSchool  20/8-BR",Chak No20/8B-R,222050903,569,455,1024,1,1,2,Combined
122,"Govt Boys High School2/8-R",Chak No-2/8-R,222050705,691,540,1231,2,1,3,Combined
124,"Govt Girls PrimarySchool 5/8-R",Chak No5/8-R,222050702,631,458,1089,1,1,2,Combined
125,"Govt Girls PrimarySchool 6/8-R QalandarAbad",Chak No.6/8-R,222050704,499,385,884,1,1,2,Combined
126,"Govt Girls MiddleSchool  Kot Barkat AliKhan",Kot Barkat Ali Khan,222050703,539,397,936,1,1,2,Combined
127,"Govt Boys PrimarySchool  Musa AliKhakh",Musa Ali Khekha,222050306,363,297,660,1,1,2,Combined
128,"Govt Boys PrimarySchool  Musa AliKhakh",Nusrat Pur,222050304,478,404,882,1,1,2,Combined
129,"Govt Girls PrimarySchool Fareed kekathia basti manzoorkhathia",Chraka Bub,222050305,7,2,9,2,1,3,Combined
Farid-Ke-Kathia,222050303,403,308,711,,,,,,
"Bopri MuhammadRehman",222050307,452,304,756,,,,,,
Rotla,222050301,225,175,400,,,,,,
131,"Govt Girls MiddleSchool  1/8-R",Chak No-1/8-R,222050101,465,285,750,1,1,2,Combined
132,"Govt Boys PrimarySchool  1/8-R",Chak No-1/8-R,222050102,933,629,1562,2,2,4,Combined
"",,Chak No-1/8-R,222050103,933,629,1562,,,,
133,"Govt Boys PrimarySchool  125/7-ER",Chak No-125/7-ER,222050114,499,370,869,2,1,3,Combined
"",,Chak No-125/7-ER,222050115,265,178,443,,,,
134,"Govt Girls High School124/7-ER",Chak No-124/7-ER,222050111,212,139,351,1,1,2,Combined
135,"Govt Boys MiddleSchool  124/7.ER",Chak No.124/7-ER,222050112,928,0,928,3,0,3,Male
Chak No.124/7-ER,222050113,928,0,928,,,,,,
Chak No.124/7-ER,222050112,0,705,705,,,,,,
137,"Govt Girls PrimarySchool Dulwan/ atchak no 123/7-ER",Chak No-123/7-ER,222050108,575,372,947,1,1,2,Combined
138,"Govt Girls MiddleSchool  123/7-ER",Chak No-23/7-ER,222050109,586,439,1025,1,1,2,Combined
139,"Govt Girls MiddleSchool  123/7-ER",Chak No-23/7-ER,222050108,406,298,704,1,1,2,Combined
140,"Govt Boys PrimarySchool  3/8-R",Chak No.3/8-R,222050106,581,475,1056,1,1,2,Combined
"",,Chak No.3/8-R,222050107,581,475,1056,,,,
141,"Govt Boys PrimarySchool  3/8-R",Chak No-3/8-R,222050104,218,195,413,2,1,3,Combined
Chak No-3/8-R,222050105,213,161,374,,,,,,
Bopri-Aya-Khaera,222050201,294,218,512,,,,,,
Bopri-Aya-Khaera,222050202,377,285,662,,,,,,
142,"Govt Boys PrimarySchool  Boopri AyaKhera",Bopri Noor Sultan.,222050209,0,0,0,2,2,4,Combined
"",,Bopri Mirza Khatia,222050210,0,0,0,,,,
"",,Bopri-Shakru-k-Dahar,222050203,23,27,50,,,,
"",,Bopri-Dad-Khatia,222050204,73,69,142,,,,
143,"Govt Girls PrimarySchool Chak No bastisarwar ke muzadalwan",Dulwan,222050205,338,241,579,2,1,3,Combined
"",,Jungle Maseet Wala,222050206,106,64,170,,,,
"",,Bunga Nacha Langriyal,222050207,195,144,339,,,,
144,"Govt Boys PrimarySchool  21/8-R",Chak No.21/8-R,222050602,484,348,832,1,1,2,Combined
145,"Govt Boys PrimarySchool  21/8-R",Chak No.21/8-R,222050601,691,487,1178,2,1,3,Combined
147,"Govt Boys High School7/8-R",Chak No7/8-R,222050606,435,346,781,1,1,2,Combined
"",,Chak No7/8-R,222050611,435,346,781,,,,
148,"Govt Boys High School7/8-R",Chak No7/8-R,222050607,300,239,539,1,1,2,Combined
149,"Govt Boys MiddleSchool  6/8-R",Jungle Mian Chaingo,222050609,296,210,506,1,1,2,Combined
"",,Chak Sultan Mehar Shah,222050610,154,101,255,,,,
150,"Govt Girls PrimarySchool 22/8-R",Chak No-22/8-R,222050603,217,143,360,1,1,2,Combined
"",,Chak No-22/8-R,222050605,165,123,288,,,,
151,"Govt Girls PrimarySchool 22/8-R",Chak No-22/8-R,222050604,416,346,762,1,1,2,Combined
152,"Govt Boys MiddleSchool  5/8-AR",Chak No5/8-AR,222051202,539,388,927,1,1,2,Combined
"",,Chak No5/8-AR,222051201,347,258,605,,,,
154,"Govt Boys High School6/8-A.R.(Ist Portion)",Chak No-6/8-AR,222051205,86,0,86,4,0,4,Male
Chak No-6/8.A.R.,222051206,539,0,539,,,,,,
Chak No-6/8.A.R.,222051208,192,0,192,,,,,,
Chak No-6/8.A.R.,222051209,4,0,4,,,,,,
Chak No-6/8.A.R.,222051204,603,0,603,,,,,,
Chak No-6/8.A.R.,222051207,489,0,489,,,,,,
Chak No-6/8.A.R.,222051204,0,461,461,,,,,,
Chak No-6/8.A.R.,222051205,0,63,63,,,,,,
""
