49,,,Abadi Niaz Baig,185010558,,0,111,111,0,Female,,,
49 Total,,,,,,,0,1020,1020,0,2,2,
50,"Government Boys Primary School, Allama IqbalTown , Lahore.(Permanent) ()",,,Gulzar Town,185010519,,446,348,794,2,2,4,Combined
50,,,Gulzar Town,185010562,,137,127,264,0,Combined,,,
50,,,Gulzar Town,185010520,,413,327,740,0,Combined,,,
50 Total,,,,,,,996,802,1798,2,2,4,
51,"Government Boys High School, Niaz Beg,Lahore.(Permanent) ()",,,Abadi Niaz Baig,185010476,,322,228,550,2,1,3,Combined
51,,,Scheme LDA Ali Town,185010475,,233,158,391,0,Combined,,,
51,,,Scheme LDA Ali Town,185010498,,130,92,222,0,Combined,,,
51,,,"Mohalla Bhattian NiazBaig",185010477,,148,103,251,0,Combined,,,
51 Total,,,,,,,833,581,1414,2,1,3,
52,,,"Ahmad Abad Myo NiazBaig",185010516,,95,102,197,2,Combined,,,
52,,,"Ahmad Abad Myo NiazBaig",185010559,,234,165,399,0,Combined,,,
52,,,"Ahmad Abad Myo NiazBaig",185010560,,190,165,355,0,Combined,,,
52,,,Niaz Baig,185010521,,141,127,268,0,Combined,,,
"",S.No.,"Government Girls Primary School, Niaz Beg,Lahore.(Permanent) ()No. and Name of Polling Station","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","1MaleBooths","1FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",52,,,,Niaz Baig,185010563,,37,24,61,,,0,Combined
"",52 Total,,,,,,,697,583,1280,1,1,2,
"",53,"Government Girls Primary School, Niaz Beg,Lahore.(Permanent) ()",,,"Ahmad Abad Myo NiazBaig",185010517,,196,115,311,2,2,4,Combined
"",53,,,"Ahmad Abad Myo NiazBaig",185010518,,861,612,1473,0,Combined,,,
"",53 Total,,,,,,,1057,727,1784,2,2,4,
"",54,"Pride Public School, Raiwind Road, Sultan Town,Near Lahore University. ()",,,Wast Wood Colony,185010510,,213,0,213,2,0,2,Male
"",54,,,Wast Wood Colony,185010511,,272,0,272,0,Male,,,
"",54,,,Wast Wood Colony,185010554,,274,0,274,0,Male,,,
"",54,,,Block R-3 Johar Town,185010739,,0,0,0,0,Male,,,
"",54,,,Block R-3 Johar Town,185010740,,31,0,31,0,Male,,,
"",54 Total,,,,,,,790,0,790,2,0,2,
"",55,"Pride Public School, Raiwind Road, Sultan Town,Near Lahore University. ()",,,Wast Wood Colony,185010511,,0,291,291,0,2,2,Female
"",55,,,Wast Wood Colony,185010554,,0,270,270,0,Female,,,
"",55,,,Block R-3 Johar Town,185010739,,0,0,0,0,Female,,,
"",55,,,Wast Wood Colony,185010510,,0,188,188,0,Female,,,
"",55,,,Block R-3 Johar Town,185010740,,0,32,32,0,Female,,,
"",55 Total,,,,,,,0,781,781,0,2,2,
"",56,"Govt. Engineering Academy Niaz Beg , Canalroad, Lahore. ()",,,Jodicial Colony,185010622,,567,0,567,4,0,4,Male
"",56,,,Jodicial Colony,185010621,,119,0,119,0,Male,,,
"",56,,,Judicial Colony,185010668,,53,0,53,0,Male,,,
"",56,,,Judicial Colony,185010669,,374,0,374,0,Male,,,
"",56,,,"Kibarya Town - SultanTown",185010623,,410,0,410,0,Male,,,
"",56,,,"Kibarya Town - SultanTown",185010624,,757,0,757,0,Male,,,
"",56 Total,,,,,,,2280,0,2280,4,0,4,
"",57,"Allama Iqbal H/S, Canal View, Lahore",,,Jodicial Colony,185010622,,0,519,519,0,4,4,Female
"",57,,,Jodicial Colony,185010621,,0,127,127,0,Female,,,
"",57,,,Judicial Colony,185010668,,0,29,29,0,Female,,,
"",57,,,Judicial Colony,185010669,,0,356,356,0,Female,,,
"",57,,,"Kibarya Town - SultanTown",185010624,,0,650,650,0,Female,,,
"",57,,,"Kibarya Town - SultanTown",185010623,,0,342,342,0,Female,,,
"",57 Total,,,,,,,0,2023,2023,0,4,4,
"",58,,,Abdalin Rasul Pura,185010616,,28,0,28,3,Male,,,
"",58,,,Abdalin Rasul Pura,185010657,,93,0,93,0,Male,,,
"",58,,,Abdalin Rasul Pura,185010658,,141,0,141,0,Male,,,
"",58,,,Abdalin Rasul Pura,185010659,,97,0,97,0,Male,,,
"",58,,,Abdalin Rasul Pura,185010660,,155,0,155,0,Male,,,
"",58,,,Abdalin Rasul Pura,185010683,,283,0,283,0,Male,,,
58,,,Abdalin Rasul Pura,185010661,,143,0,143,0,Male,,,,
"",S.No.,"Govt. Engineering Academy Niaz Beg , CanalrNooad.,  aLanhdo rNe.a ()me of Polling Station","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","3MaleBooths","0FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",58,,,,Rasool Pura,185010617,,381,0,381,,,0,Male
"",58,,,Rasool Pura,185010618,,169,0,169,0,Male,,,
"",58 Total,,,,,,,1490,0,1490,3,0,3,
"",59,"Govt. Engineering Academy Niaz Beg , Canalroad, Lahore. ()",,,Abdalin Rasul Pura,185010616,,0,418,418,0,2,2,Female
"",59,,,Abdalin Rasul Pura,185010657,,0,51,51,0,Female,,,
"",59,,,Abdalin Rasul Pura,185010658,,0,41,41,0,Female,,,
"",59,,,Abdalin Rasul Pura,185010659,,0,0,0,0,Female,,,
"",59,,,Abdalin Rasul Pura,185010660,,0,49,49,0,Female,,,
"",59,,,Abdalin Rasul Pura,185010683,,0,265,265,0,Female,,,
"",59,,,Abdalin Rasul Pura,185010661,,0,45,45,0,Female,,,
"",59,,,Rasool Pura,185010617,,0,266,266,0,Female,,,
"",59,,,Rasool Pura,185010618,,0,102,102,0,Female,,,
"",59 Total,,,,,,,0,1237,1237,0,2,2,
"",60,"The Lahore School & Acadmy, Main ShamsaniRoad, Lahore",,,Ali Town,185010619,,435,969,1404,2,2,4,Combined
"",60,,,Ali Town,185010620,,222,0,222,0,Combined,,,
"",60 Total,,,,,,,657,969,1626,2,2,4,
"",61,"City School, Johar Town, Lahore",,,Block J-ll Johar Town,185010629,,380,347,727,1,1,2,Combined
"",61 Total,,,,,,,380,347,727,1,1,2,
"",62,"City Gramer School Ravi CampusBlock H-III Johar Town , Lahore.                ()",,,Johar Town Block-J,185010625,,141,0,141,4,0,4,Male
"",62,,,Johar Town Block-J,185010626,,110,0,110,0,Male,,,
"",62,,,Block J-l Johar Town,185010627,,241,0,241,0,Male,,,
"",62,,,Block J-ll Johar Town,185010628,,122,0,122,0,Male,,,
"",62,,,Block J-ll Johar Town,185010632,,221,0,221,0,Male,,,
"",62,,,Block J-lll Johar Town,185010633,,274,0,274,0,Male,,,
"",62,,,Block J-lll Johar Town,185010634,,150,0,150,0,Male,,,
"",62,,,Block J-ll Johar Town,185010630,,110,0,110,0,Male,,,
"",62,,,Block J-ll Johar Town,185010631,,189,0,189,0,Male,,,
"",62 Total,,,,,,,1558,0,1558,4,0,4,
"",63,"City Gramer School RaviCampus Block H-III Johar Town , Lahore.()",,,Block J-lll Johar Town,185010633,,0,264,264,0,4,4,Female
"",63,,,Johar Town Block-J,185010625,,0,142,142,0,Female,,,
"",63,,,Johar Town Block-J,185010626,,0,107,107,0,Female,,,
"",63,,,Block J-l Johar Town,185010627,,0,218,218,0,Female,,,
"",63,,,Block J-ll Johar Town,185010628,,0,101,101,0,Female,,,
"",63,,,Block J-ll Johar Town,185010630,,0,114,114,0,Female,,,
"",63,,,Block J-ll Johar Town,185010631,,0,167,167,0,Female,,,
"",63,,,Block J-ll Johar Town,185010632,,0,185,185,0,Female,,,
"",63,,,Block J-lll Johar Town,185010634,,0,140,140,0,Female,,,
"",63 Total,,,,,,,0,1438,1438,0,4,4,
"",64,"Govt. Girls H/S, Shamsani Khoi",,,Joher Town Block L,185010713,,221,274,495,1,1,2,Combined
64,,,Joher Town Block L,185010714,,69,56,125,0,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
64 Total,,,,,,,290,330,620,1,1,2,
65,,,Block-N Johar Town,185010711,,20,25,45,2,Combined,,,
65,,,Expo Center Joher Town,185010712,,33,35,68,0,Combined,,,
65,,,Joher Town Block L,185010715,,0,0,0,0,Combined,,,
65,,,Joher Town Block L,185010716,,9,6,15,0,Combined,,,
65,,,Joher Town Block P,185010717,,12,12,24,0,Combined,,,
65,,,Joher Town Block P,185010718,,55,52,107,0,Combined,,,
65,,,Joher Town Block P,185010719,,0,0,0,0,Combined,,,
65,,,Joher Town Block P,185010720,,0,0,0,0,Combined,,,
65,,,Block-Q Johar Town,185010721,,121,130,251,0,Combined,,,
65,,,Block-Q Johar Town,185010722,,15,15,30,0,Combined,,,
65,,,Block-Q Johar Town,185010723,,29,47,76,0,Combined,,,
65,,,Block-Q Johar Town,185010724,,45,43,88,0,Combined,,,
65,,,Block-Q Johar Town,185010725,,34,39,73,0,Combined,,,
65,,,Block-R Johar Town,185010726,,14,12,26,0,Combined,,,
65,,,Block-R Johar Town,185010727,,10,15,25,0,Combined,,,
65,,,Block R-l Johar Town,185010728,,20,17,37,0,Combined,,,
65,,,Block R-l Johar Town,185010729,,8,5,13,0,Combined,,,
65,,,Adalian Johar Town,185010730,,59,60,119,0,Combined,,,
65,,,Block R-l Johar Town,185010731,,48,5,53,0,Combined,,,
65,,,Block R-l Johar Town,185010732,,31,92,123,0,Combined,,,
65,,,Adalian Johar Town,185010733,,0,0,0,0,Combined,,,
65,,,Adalian Johar Town,185010734,,39,40,79,0,Combined,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
65,,,,Block R-2 Johar Town,185010736,,19,10,29,,,0,Combined
65,,,Block R-2 Johar Town,185010737,,0,0,0,0,Combined,,,
65,,,Block R-2 Johar Town,185010738,,0,0,0,0,Combined,,,
65 Total,,,,,,,621,660,1281,1,1,2,
66,"The Lahore School & Acadmy, Main ShamsaniRoad, Lahore",,,Block-B Canal view,185010605,,831,722,1553,2,2,4,Combined
66,,,Block-B Canal view,185010607,,0,0,0,0,Combined,,,
66,,,Block-B Canal view,185010648,,6,5,11,0,Combined,,,
66 Total,,,,,,,837,727,1564,2,2,4,
67,"Government Model Girls High School Canal Veiw,Lahore. (Permanent) (  )",,,Canal View Block-A,185010603,,494,0,494,3,0,3,Male
67,,,Block-B Canal view,185010604,,816,0,816,0,Male,,,
67 Total,,,,,,,1310,0,1310,3,0,3,
68,"Government Model Girls High School Canal Veiw,Lahore (Permanent) ()",,,Canal View Block-A,185010603,,0,433,433,0,2,2,Female
68,,,Block-B Canal view,185010604,,0,715,715,0,Female,,,
68 Total,,,,,,,0,1148,1148,0,2,2,
69,"Govt. Girls Model H/S, Canal View",,,Block-B Canal view,185010606,,942,885,1827,2,1,3,Combined
69 Total,,,,,,,942,885,1827,2,1,3,
70,"Government Model Girls High School Canal Veiw,Lahore (Permanent) ()",,,"Water AndManagement Colony",185010601,,677,0,677,4,0,4,Male
70,,,Canal Berg Society,185010602,,445,0,445,0,Male,,,
70,,,"Canal View - KhayabanChora Shareef",185010609,,279,0,279,0,Male,,,
70,,,"Canal View- KhayabanChorah Shareef",185010650,,282,0,282,0,Male,,,
70 Total,,,,,,,1683,0,1683,4,0,4,
71,"Government Moddel Girls High School CanalVeiw, Lahore (Permanent) ()",,,"Water AndManagement Colony",185010601,,0,493,493,0,3,3,Female
71,,,Canal Berg Society,185010602,,0,435,435,0,Female,,,
71,,,"Canal View - KhayabanChora Shareef",185010609,,0,269,269,0,Female,,,
71,,,"Canal View- KhayabanChorah Shareef",185010650,,0,248,248,0,Female,,,
71 Total,,,,,,,0,1445,1445,0,3,3,
72,,,Block G-llll Johar Town,185010635,,297,217,514,2,Combined,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",72,,,,Block G-IV Johar Town,185010673,,351,374,725,,,0,Combined
"",72 Total,,,,,,,648,591,1239,1,1,2,
"",73,"Johar Public School, G-Block, Johar Town, Lahore.()",,,Block-H Johar Town,185010637,,244,227,471,2,2,4,Combined
"",73,,,Block-H Johar Town,185010675,,254,221,475,0,Combined,,,
"",73,,,Block G-llll Johar Town,185010636,,77,61,138,0,Combined,,,
"",73 Total,,,,,,,575,509,1084,2,2,4,
"",74,"Govt. Girls P/S, Nawan Pind, H-2, Johar Town,Lahore",,,Block H-l Johar Town,185010638,,67,60,127,1,1,2,Combined
"",74 Total,,,,,,,67,60,127,1,1,2,
"",75,"Hamza Foundation، Academy for HearingInpaired Children J-Block Johar Town, Lahore. ()",,,Block H-ll Johar Town,185010639,,518,0,518,4,0,4,Male
"",75,,,Block H-lll Johar Town,185010640,,56,0,56,0,Male,,,
"",75,,,Block H-lll Johar Town,185010641,,257,0,257,0,Male,,,
"",75 Total,,,,,,,831,0,831,4,0,4,
"",76,"Hamza Foundation، Academy for HearingInpaired Children J-Block Johar Town, Lahore. (  )",,,Block H-lll Johar Town,185010640,,0,58,58,0,3,3,Female
"",76,,,Block H-lll Johar Town,185010641,,0,233,233,0,Female,,,
"",76,,,Block H-ll Johar Town,185010639,,0,488,488,0,Female,,,
"",76 Total,,,,,,,0,779,779,0,3,3,
"",77,"City School, Near Moghal Eye Hospital, JoharTown, H-Block, Lahore",,,Block G-lll Johar Town,185010643,,786,739,1525,2,2,4,Combined
"",77 Total,,,,,,,786,739,1525,2,2,4,
"",78,"Johar Public School, G-Block, Johar Town,Lahore. ()",,,Block G-ll Johar Town,185010642,,187,0,187,3,0,3,Male
"",78,,,Block G-l Johar Town,185010644,,287,0,287,0,Male,,,
"",78,,,Block G-l Johar Town,185010680,,310,0,310,0,Male,,,
"",78,,,Block G-l Johar Town,185010681,,227,0,227,0,Male,,,
"",78,,,Block G-l Johar Town,185010645,,321,0,321,0,Male,,,
"",78 Total,,,,,,,1332,0,1332,3,0,3,
"",79,"Johar Public School, G-Block, Johar Town, Lahore.()",,,Block G-ll Johar Town,185010642,,0,198,198,0,3,3,Female
"",79,,,Block G-l Johar Town,185010644,,0,311,311,0,Female,,,
"",79,,,Block G-l Johar Town,185010680,,0,299,299,0,Female,,,
"",79,,,Block G-l Johar Town,185010681,,0,167,167,0,Female,,,
"",79,,,Block G-l Johar Town,185010645,,0,305,305,0,Female,,,
"",79 Total,,,,,,,0,1280,1280,0,3,3,
"",80,"SOS Hermann Gmeirer School A- Blockl RevenueHousing Society, Lahore. ()",,,Revenue Scheme,185010774,,735,0,735,2,0,2,Male
"",80,,,Revenue Scheme,185010775,,73,0,73,0,Male,,,
"",80,,,Revenue Scheme,185010776,,122,0,122,0,Male,,,
"",80,,,Revenue Scheme,185010772,,242,0,242,0,Male,,,
80,,,Revenue Scheme,185010773,,33,0,33,0,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
80 Total,,,,,,,1205,0,1205,2,0,2,
81,"Govt. Girls H/S School, Village Shadiwall, Majha,Johar Town, Lahore.",,,Revenue Scheme,185010774,,0,568,568,0,2,2,Female
81,,,Revenue Scheme,185010775,,0,84,84,0,Female,,,
81,,,Revenue Scheme,185010776,,0,161,161,0,Female,,,
81,,,Revenue Scheme,185010772,,0,191,191,0,Female,,,
81,,,Revenue Scheme,185010773,,0,34,34,0,Female,,,
81 Total,,,,,,,0,1038,1038,0,2,2,
82,"Govt. Girls High school Samsani Khoi, Lahore ()",,,Block-B Canal view,185010646,,253,156,409,2,1,3,Combined
82,,,Block-B Canal view,185010647,,601,481,1082,0,Combined,,,
82 Total,,,,,,,854,637,1491,2,1,3,
83,"Govt. Boys P/S School, Village Shadiwall, Majha,Johar Town, Lahore.",,,Joher Town Block M,185010701,,137,144,281,1,1,2,Combined
83,,,Joher Town Block M,185010702,,184,158,342,0,Combined,,,
83,,,Block-M Johar Town,185010703,,172,110,282,0,Combined,,,
83,,,Block-M Johar Town,185010704,,29,3,32,0,Combined,,,
83,,,Block-M Johar Town,185010706,,0,0,0,0,Combined,,,
83 Total,,,,,,,522,415,937,1,1,2,
84,"Govt. Boys Primary School Kanbha Pind Lahore(Permanent) ()",,,Phase-ll PCSIR,185010655,,263,0,263,3,0,3,Male
84,,,Phase-ll PCSIR,185010656,,169,0,169,0,Male,,,
84,,,Johar Town Block-J,185010670,,172,0,172,0,Male,,,
84,,,Block G-IV Johar Town,185010674,,480,0,480,0,Male,,,
84 Total,,,,,,,1084,0,1084,3,0,3,
85,"Govt. Boys  Primary School Khamba PindLahore.(Permanent) ()",,,Phase-ll PCSIR,185010655,,0,198,198,0,3,3,Female
85,,,Phase-ll PCSIR,185010656,,0,148,148,0,Female,,,
85,,,Johar Town Block-J,185010670,,0,174,174,0,Female,,,
85,,,Block G-IV Johar Town,185010674,,0,496,496,0,Female,,,
85 Total,,,,,,,0,1016,1016,0,3,3,
86,,,Avenue Scheme Block-A,185010752,,142,108,250,4,Combined,,,
86,,,"Iqbal Avenue JoharTown OPF",185010741,,61,56,117,0,Combined,,,
86,,,"Iqbal Avenue JoharTown OPF",185010742,,49,45,94,0,Combined,,,
86,,,"Iqbal Avenue JoharTown OPF",185010743,,,,0,0,Combined,,,
86,,,Avenue Scheme Block-A,185010753,,201,225,426,0,Combined,,,
"",S.No.,"Lahore (Permanent) ()No. and Name of Polling Station","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",86,,,,PIA Society,185010754,,26,23,49,,,0,Combined
"",86,,,PIA Society,185010755,,0,0,0,0,Combined,,,
"",86,,,PIA Society,185010756,,24,30,54,0,Combined,,,
"",86,,,PIA Society,185010757,,81,79,160,0,Combined,,,
"",86,,,PIA Society,185010758,,55,42,97,0,Combined,,,
"",86 Total,,,,,,,639,608,1247,2,2,4,
"",87,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,Block H-l Johar Town,185010676,,695,650,1345,1,1,2,Combined
"",87 Total,,,,,,,695,650,1345,1,1,2,
"",88,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,Block H-ll Johar Town,185010677,,652,0,652,3,0,3,Male
"",88,,,Block H-ll Johar Town,185010678,,699,0,699,0,Male,,,
"",88,,,Block H-lll Johar Town,185010679,,319,0,319,0,Male,,,
"",88,,,Block G-l Johar Town,185010682,,133,0,133,0,Male,,,
"",88 Total,,,,,,,1803,0,1803,3,0,3,
"",89,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,Block H-ll Johar Town,185010677,,0,352,352,0,3,3,Female
"",89,,,Block H-ll Johar Town,185010678,,0,556,556,0,Female,,,
"",89,,,Block H-lll Johar Town,185010679,,0,326,326,0,Female,,,
"",89,,,Block G-l Johar Town,185010682,,0,138,138,0,Female,,,
"",89 Total,,,,,,,0,1372,1372,0,3,3,
"",90,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,PIA Society,185010765,,20,0,20,3,0,3,Male
"",90,,,PIA Society,185010766,,45,0,45,0,Male,,,
"",90,,,PIA Society,185010767,,13,0,13,0,Male,,,
"",90,,,"PIA Society / KhayabanZahra",185010768,,92,0,92,0,Male,,,
"",90,,,"PIA Society / KhayabanZahra",185010769,,93,0,93,0,Male,,,
"",90,,,PIA Society,185010759,,275,0,275,0,Male,,,
"",90,,,PIA Society,185010760,,193,0,193,0,Male,,,
"",90,,,PIA Society,185010761,,142,0,142,0,Male,,,
"",90,,,"PIA Society / KhayabanZahra",185010770,,93,0,93,0,Male,,,
"",90,,,"PIA Society / KhayabanZahra",185010771,,0,0,0,0,Male,,,
"",90,,,PIA Society,185010762,,6,0,6,0,Male,,,
"",90,,,PIA Society,185010763,,165,0,165,0,Male,,,
"",90,,,PIA Society,185010764,,277,0,277,0,Male,,,
"",90 Total,,,,,,,1414,0,1414,3,0,3,
91,,,PIA Society,185010762,,0,7,7,2,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
"",1,"American Lycetuff Schoo2l, PIA Housing Society,",3,4,5,6,7,8,9,10,101,122,13,14
"",91,Lahore (Permanent) (),,,PIA Society,185010763,,0,128,128,,,0,Female
"",91,,,PIA Society,185010764,,0,276,276,0,Female,,,
"",91,,,PIA Society,185010765,,0,3,3,0,Female,,,
"",91,,,PIA Society,185010766,,0,58,58,0,Female,,,
"",91,,,PIA Society,185010767,,0,17,17,0,Female,,,
"",91,,,PIA Society,185010759,,0,239,239,0,Female,,,
"",91,,,PIA Society,185010760,,0,283,283,0,Female,,,
"",91,,,PIA Society,185010761,,0,139,139,0,Female,,,
"",91,,,"PIA Society / KhayabanZahra",185010768,,0,56,56,0,Female,,,
"",91,,,"PIA Society / KhayabanZahra",185010769,,0,76,76,0,Female,,,
"",91,,,"PIA Society / KhayabanZahra",185010770,,0,81,81,0,Female,,,
"",91,,,"PIA Society / KhayabanZahra",185010771,,0,0,0,0,Female,,,
"",91 Total,,,,,,,0,1363,1363,0,2,2,
"",92,"Allied School, Islam block, Johar Town, lahore",,,"Faisal Block - IslamBlock",185010528,,858,725,1583,2,2,4,Combined
"",92 Total,,,,,,,858,725,1583,2,2,4,
"",93,"Allied Alhamad Campus 201-Islam Block AzamGarden Multan Road Lahore ()",,,Pak Town,185010526,,500,0,500,3,0,3,Male
"",93,,,"Azeem Garden - HaseebBlock",185010527,,309,0,309,0,Male,,,
"",93,,,"Azeem Garden - HaseebBlock",185010565,,533,0,533,0,Male,,,
"",93 Total,,,,,,,1342,0,1342,3,0,3,
"",94,"Allied Alhamad Campus 201-Islam Block AzamGardem Multan Road Lahore ()",,,Pak Town,185010526,,0,398,398,0,2,2,Female
"",94,,,"Azeem Garden - HaseebBlock",185010527,,0,268,268,0,Female,,,
"",94,,,"Azeem Garden - HaseebBlock",185010565,,0,477,477,0,Female,,,
"",94 Total,,,,,,,0,1143,1143,0,2,2,
"",95,"Lahore School System, Azam Garden, Islam blockJohat Town, Lahore",,,Karamat Colony,185010536,,1213,1066,2279,2,2,4,Combined
"",95 Total,,,,,,,1213,1066,2279,2,2,4,
"",96,"Sahara Falahi Markaz 14-A Ghousia-e-AhbabNear Azam Garden Lahore ()",,,Ghosha Ahbab Phase-ll,185010529,,239,0,239,3,0,3,Male
"",96,,,Ghosha Ahbab Phase=ll,185010566,,135,0,135,0,Male,,,
"",96,,,Karamat Colony,185010534,,298,0,298,0,Male,,,
"",96,,,Karamat Colony,185010535,,57,0,57,0,Male,,,
"",96,,,"Qayum Block - AzamGarden",185010540,,276,0,276,0,Male,,,
"",96,,,Karamat Colony,185010538,,107,0,107,0,Male,,,
96 Total,,,,,,,1112,0,1112,3,0,3,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
97,"Sahara Falahi Markaz 14-A Ghousia-e-AhbabNear Azam Garden Lahore ()",,,Ghosha Ahbab Phase-ll,185010529,,0,233,233,0,2,2,Female
97,,,Ghosha Ahbab Phase=ll,185010566,,0,48,48,0,Female,,,
97,,,Karamat Colony,185010534,,0,260,260,0,Female,,,
97,,,Karamat Colony,185010535,,0,38,38,0,Female,,,
97,,,Karamat Colony,185010538,,0,24,24,0,Female,,,
97,,,"Qayum Block - AzamGarden",185010540,,0,253,253,0,Female,,,
97 Total,,,,,,,0,856,856,0,2,2,
98,"Govt. Middle School Waris Colony Lahore(Permanent)",,,Waris Colony,185010531,,763,639,1402,2,2,4,Combined
98 Total,,,,,,,763,639,1402,2,2,4,
99,"Govt. Middle School Waris Colony Lahore(Permanent) ()",,,Abadi Mansoor Colony,185010524,,477,0,477,4,0,4,Male
99,,,Abadi Mansoor Colony,185010525,,231,0,231,0,Male,,,
99,,,Abadi Mansoor Colony,185010564,,0,0,0,0,Male,,,
99,,,Waris Colony,185010532,,548,0,548,0,Male,,,
99,,,Waris Colony,185010523,,69,0,69,0,Male,,,
99,,,Education Town,185010533,,222,0,222,0,Male,,,
99,,,Waris Colony,185010522,,85,0,85,0,Male,,,
99 Total,,,,,,,1632,0,1632,4,0,4,
100,"Govt. Middle School Waris Colony Lahore(Permanent) ()",,,Abadi Mansoor Colony,185010524,,0,444,444,0,4,4,Female
100,,,Abadi Mansoor Colony,185010525,,0,179,179,0,Female,,,
100,,,Abadi Mansoor Colony,185010564,,0,0,0,0,Female,,,
100,,,Education Town,185010533,,0,260,260,0,Female,,,
100,,,Waris Colony,185010522,,0,70,70,0,Female,,,
100,,,Waris Colony,185010523,,0,69,69,0,Female,,,
100,,,Waris Colony,185010532,,0,490,490,0,Female,,,
100 Total,,,,,,,0,1512,1512,0,4,4,
101,"Zikas School System, Civic Centre, MustafaTown, Lahore.",,,Mamdowat Block,185010541,,324,332,656,1,1,2,Combined
101,,,Mamdowat Block,185010567,,181,171,352,0,Combined,,,
101 Total,,,,,,,505,503,1008,1,1,2,
102,,,Ghani Colony,185010530,,538,0,538,4,Male,,,
102,,,"Mustafa Town -Mumtaz Bukhtawar",185010539,,101,0,101,0,Male,,,
102,,,"Allah Yar Block -Hadayat  Allah Block",185010542,,302,0,302,0,Male,,,
S.No.,"No. and Name of Polling StationFederal Public Service Commission OfficeMustafa Town Near Marriage Hall Lahore(Permanent) ()","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBoo4ths","FemaleBoo0ths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
102,,,,"Allah Yar Block -Hadayat  Allah Block",185010543,,156,0,156,,,0,Male
