S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
89,"Boys Primary School,B-Branch,High Street, Sahiwal((Male)",-,-,Circle No. 1,208110104,-,403,0,403,3,0,3
89,,-,-,Circle No. 1,208110105,-,430,0,430,,,
89,,-,-,Circle No. 1,208110106,-,575,0,575,,,
89 Total,,,,,,,1408,0,1408,,,
90,"Boys Primary School,B-Branch,High Street,     sahiwal(Female)",-,-,Circle No. 1,208110104,-,0,342,342,0,2,2
90,,-,-,Circle No. 1,208110105,-,0,417,417,,,
90,,-,-,Circle No. 1,208110106,-,0,469,469,,,
90 Total,,,,,,,0,1228,1228,,,
91,"Boys Primary School, Insar Gali, Sahiwal (Male)",-,-,Circle No. 2,208110201,-,440,0,440,2,0,2
91,,-,-,Circle No. 2,208110202,-,637,0,637,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
92,"Binat-Ul-Islam, Girls High School, Sahiwal  (Female)",-,-,Circle No. 2,208110201,-,0,369,369,0,2,2
92,,-,-,Circle No. 2,208110202,-,0,504,504,,,
92 Total,,,,,,,0,873,873,,,
93,"Nangal Ambia No. 2 High School,Sahiwal (Male)",-,-,Circle No. 2,208110203,-,939,0,939,2,0,2
93 Total,,,,,,,939,0,939,,,
94,"Nangal Ambia No. 2 High School, Sahiwal (Male)",-,-,Circle No. 2,208110204,-,448,0,448,2,0,2
94,,-,-,Circle No. 2,208110209,-,387,0,387,,,
94 Total,,,,,,,835,0,835,,,
95,"Nangal Ambia No. 2 High School,Sahiwal (Female)",-,-,Circle No. 2,208110203,-,0,836,836,0,3,3
95,,-,-,Circle No. 2,208110204,-,0,267,267,,,
95,,-,-,Circle No. 2,208110209,-,0,435,435,,,
95 Total,,,,,,,0,1538,1538,,,
96,"Nangal Ambia No. 2 High School,Sahiwal (Male)",-,-,Circle No. 2,208110205,-,597,0,597,3,0,3
96,,-,-,Circle No. 2,208110206,-,455,0,455,,,
96,,-,-,Circle No. 2,208110207,-,468,0,468,,,
96 Total,,,,,,,1520,0,1520,,,
97,"Nangal Ambia No. 2 High School,Sahiwal (Female)",-,-,Circle No. 2,208110205,-,0,505,505,0,3,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
97,,-,-,Circle No. 2,208110207,-,0,409,409,,,
97 Total,,,,,,,0,1288,1288,,,
98,"Nangal Ambia No. 2 High School,Sahiwal (Male)",-,-,Circle No. 3,208110301,-,452,0,452,2,0,2
98,,-,-,Circle No. 3,208110307,-,467,0,467,,,
98 Total,,,,,,,919,0,919,,,
99,"Nangal Ambia No. 2 High School,Sahiwal (Female)",-,-,Circle No. 3,208110301,-,0,493,493,0,2,2
99,,-,-,Circle No. 3,208110307,-,0,225,225,,,
99 Total,,,,,,,0,718,718,,,
100,"Govt Primary School, Green Town, Sahiwal  (Male)",-,-,Circle No. 3,208110302,-,331,0,331,2,0,2
100,,-,-,Circle No. 3,208110304,-,645,0,645,,,
100 Total,,,,,,,976,0,976,,,
101,"Govt Primary School, Green Town,  Sahiwal,(Male)",-,-,Circle No. 3,208110303,-,167,0,167,2,0,2
101,,-,-,Circle No. 3,208110305,-,359,0,359,,,
101,,-,-,Circle No. 3,208110306,-,224,0,224,,,
101 Total,,,,,,,750,0,750,,,
102,"Perfect Public High School (Regd) GreenTown(Female)",-,-,Circle No. 3,208110303,-,0,141,141,0,2,2
102,,-,-,Circle No. 3,208110305,-,0,314,314,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
102 Total,,,,,,,0,654,654,,,
103,"Perfect Public High School (Regd)Green Town(Female)",-,-,Circle No. 3,208110302,-,0,240,240,0,2,2
103,,-,-,Circle No. 3,208110304,-,0,537,537,,,
103 Total,,,,,,,0,777,777,,,
104,"Guiding Star Public SchoolGarden Town (Regd)(Male)",-,-,Circle No. 4,208110401,-,415,0,415,2,0,2
104,,-,-,Circle No. 4,208110402,-,258,0,258,,,
104,,-,-,Circle No. 4,208110403,-,178,0,178,,,
104 Total,,,,,,,851,0,851,,,
105,"Guiding Star Public School Garden Town(Regd)(Male)",-,-,Circle No. 4,208110404,-,509,0,509,2,0,2
105,,-,-,Circle No. 4,208110406,-,388,0,388,,,
105 Total,,,,,,,897,0,897,,,
106,"Guiding Star Public School Garden Town(Regd)(Male)",-,-,Circle No. 4,208110405,-,492,0,492,2,0,2
106,,-,-,Circle No. 4,208110501,-,535,0,535,,,
106 Total,,,,,,,1027,0,1027,,,
107,"Govt Girls Primary School,Garden Town,Sahiwal,(Female)",-,-,Circle No. 4,208110404,-,0,322,322,0,2,2
107,,-,-,Circle No. 4,208110405,-,0,389,389,,,
107,,-,-,Circle No. 4,208110406,-,0,374,374,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
108,"Govt Girls Primary School,Garden Town,Sahiwal,(Female)",-,-,Circle No. 4,208110401,-,0,359,359,0,2,2
108,,-,-,Circle No. 4,208110402,-,0,209,209,,,
108,,-,-,Circle No. 4,208110403,-,0,143,143,,,
108,,-,-,Circle No. 4,208110501,-,0,381,381,,,
108 Total,,,,,,,0,1092,1092,,,
109,"Allied School Warda Campus,124 Abu Bakar Block, Shadab Town(Male)",-,-,Circle No. 5,208110502,-,318,0,318,2,0,2
109,,-,-,Circle No. 5,208110506,-,539,0,539,,,
109 Total,,,,,,,857,0,857,,,
110,"Allied School Warda Campus, 124 Abu Bakar Block,Shadab Town(Male)",-,-,Circle No. 5,208110503,-,359,0,359,2,0,2
110,,-,-,Circle No. 5,208110504,-,351,0,351,,,
110,,-,-,Circle No. 5,208110505,-,310,0,310,,,
110 Total,,,,,,,1020,0,1020,,,
111,"Girls Primary School,Garden Town,Sahiwal,(Female)",-,-,Circle No. 5,208110502,-,0,223,223,0,3,3
111,,-,-,Circle No. 5,208110503,-,0,268,268,,,
111,,-,-,Circle No. 5,208110504,-,0,239,239,,,
111,,-,-,Circle No. 5,208110505,-,0,234,234,,,
111,,-,-,Circle No. 5,208110506,-,0,451,451,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
112,"Govt.Junior Model Girls High School No.2 GhalaMandi,Sahiwal(Male)",-,-,Circle No. 6,208110601,-,319,0,319,2,0,2
112,,-,-,Circle No. 6,208110602,-,378,0,378,,,
112 Total,,,,,,,697,0,697,,,
113,"Govt.Junior Model Girls High School No.2 GhalaMandi,Sahiwal(Female)",-,-,Circle No. 6,208110601,-,0,236,236,0,2,2
113,,-,-,Circle No. 6,208110602,-,0,292,292,,,
113 Total,,,,,,,0,528,528,,,
114,"Dastqari School, Near Junior Model School No,2Ghala Mandi, Sahiwal(Male)",-,-,Circle No. 6,208110603,-,231,0,231,2,0,2
114,,-,-,Circle No. 6,208110607,-,754,0,754,,,
114 Total,,,,,,,985,0,985,,,
115,"Dastqari School, Near Junior Model School No,2Ghala Mandi, Sahiwal(Female)",-,-,Circle No. 6,208110603,-,0,181,181,0,2,2
115,,-,-,Circle No. 6,208110607,-,0,572,572,,,
115 Total,,,,,,,0,753,753,,,
116,"M.C Govt Girls High School  Sirki Bazar,Sahiwal (Male)",-,-,Circle No. 6,208110604,-,571,0,571,3,0,3
116,,-,-,Circle No. 6,208110606,-,376,0,376,,,
116,,-,-,Circle No. 6,208110608,-,284,0,284,,,
116 Total,,,,,,,1231,0,1231,,,
117,"M.C Govt Girls High School  Sirki Bazar,  Sahiwal(Male)",-,-,Circle No. 6,208110605,-,970,0,970,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
118,"M.C Govt Girls High School  Sirki Bazar,  Sahiwal(Female)",-,-,Circle No. 6,208110605,-,0,674,674,0,2,2
118 Total,,,,,,,0,674,674,,,
119,"M.C Govt Girls High School  Sirki Bazar,Sahiwal (Female)",-,-,Circle No. 6,208110604,-,0,474,474,0,2,2
119,,-,-,Circle No. 6,208110606,-,0,315,315,,,
119,,-,-,Circle No. 6,208110608,-,0,214,214,,,
119 Total,,,,,,,0,1003,1003,,,
120,"Deputy Director  Agriculture,Sahiwal (Male)",-,-,Circle No. 7,208110701,-,449,0,449,2,0,2
120,,-,-,Circle No. 7,208110702,-,200,0,200,,,
120,,-,-,Circle No. 7,208110703,-,98,0,98,,,
120,,-,-,Circle No. 7,208110704,-,102,0,102,,,
120 Total,,,,,,,849,0,849,,,
121,"Deputy Director  Agriculture,Sahiwal (Female)",-,-,Circle No. 7,208110701,-,0,356,356,0,2,2
121,,-,-,Circle No. 7,208110702,-,0,165,165,,,
121,,-,-,Circle No. 7,208110703,-,0,86,86,,,
121,,-,-,Circle No. 7,208110704,-,0,83,83,,,
121 Total,,,,,,,0,690,690,,,
122,"Assistant.Director Agriculture,Sahiwal (Male)",-,-,Circle No. 7,208110705,-,172,0,172,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
122,,-,-,Circle No. 7,208110707,-,142,0,142,,,
122 Total,,,,,,,874,0,874,,,
123,"Assistant.Director Agriculture,Sahiwal (Female)",-,-,Circle No. 7,208110705,-,0,140,140,0,2,2
123,,-,-,Circle No. 7,208110706,-,0,469,469,,,
123,,-,-,Circle No. 7,208110707,-,0,112,112,,,
123 Total,,,,,,,0,721,721,,,
124,"Govt. Girls Community model School, ManzoorColony (Male)",-,-,Circle No. 8 & 2,208110801,-,501,0,501,2,0,2
124,,-,-,Circle No. 8 & 2,208110802,-,348,0,348,,,
124,,-,-,Circle No. 8 & 2,208120205,-,253,0,253,,,
124 Total,,,,,,,1102,0,1102,,,
125,"Govt. Girls Community model School, ManzoorColony (Female)",-,-,Circle No. 8 & 2,208110801,-,0,359,359,0,2,2
125,,-,-,Circle No. 8 & 2,208110802,-,0,277,277,,,
125,,-,-,Circle No. 8 & 2,208120205,-,0,229,229,,,
125 Total,,,,,,,0,865,865,,,
126,"Govt Girls Community model School, ManzoorColony (Combined)",-,-,Circle No. 8,208110803,-,80,77,157,2,1,3
126,,-,-,Circle No. 8,208110805,-,561,432,993,,,
126 Total,,,,,,,641,509,1150,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
127,,-,-,Circle No. 8,208110806,-,872,0,872,,,
127 Total,,,,,,,1123,0,1123,,,
128,"Advance Teaching Management System (ATMS)High SchoolManzoor Colony (Regd)(Female)",-,-,Circle No. 8,208110804,-,0,228,228,0,2,2
128,,-,-,Circle No. 8,208110806,-,0,732,732,,,
128 Total,,,,,,,0,960,960,,,
129,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Male)",-,-,Circle No. 1,208120101,-,538,0,538,3,0,3
129,,-,-,Circle No. 1,208120102,-,440,0,440,,,
129,,-,-,Circle No. 1,208120103,-,302,0,302,,,
129 Total,,,,,,,1280,0,1280,,,
130,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Female)",-,-,Circle No. 1,208120101,-,0,429,429,0,2,2
130,,-,-,Circle No. 1,208120102,-,0,367,367,,,
130,,-,-,Circle No. 1,208120103,-,0,252,252,,,
130 Total,,,,,,,0,1048,1048,,,
131,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Male)",-,-,Circle No.1,208120104,-,520,0,520,2,0,2
131,,-,-,Circle No.1,208120107,-,360,0,360,,,
131 Total,,,,,,,880,0,880,,,
132,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Male)",-,-,Circle No.1,208120105,-,309,0,309,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
132 Total,,,,,,,1077,0,1077,,,
133,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Female)",-,-,Circle No.1,208120104,-,0,447,447,0,3,3
133,,-,-,Circle No.1,208120105,-,0,239,239,,,
133,,-,-,Circle No.1,208120106,-,0,587,587,,,
133,,-,-,Circle No.1,208120107,-,0,262,262,,,
133 Total,,,,,,,0,1535,1535,,,
134,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Male)",-,-,Circle No. 2,208120201,-,187,0,187,3,0,3
134,,-,-,Circle No. 2,208120202,-,231,0,231,,,
134,,-,-,Circle No. 2,208120203,-,204,0,204,,,
134,,-,-,Circle No. 2,208120204,-,592,0,592,,,
134 Total,,,,,,,1214,0,1214,,,
135,"SE Office Wapda, POWER HOUSE, Sahiwal, Mepco(Female)",-,-,Circle No. 2,208120201,-,0,139,139,0,2,2
135,,-,-,Circle No. 2,208120202,-,0,199,199,,,
135,,-,-,Circle No. 2,208120203,-,0,170,170,,,
135,,-,-,Circle No. 2,208120204,-,0,470,470,,,
135 Total,,,,,,,0,978,978,,,
136,"Xen Office, Wapda,  Power House, sahiwal(Combined)",-,-,Circle No. 3,208120301,-,392,309,701,2,1,3
136,,-,-,Circle No. 3,208120302,-,293,237,530,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
137,"MC Girls Primary School No.13 MohallaRajpura,Sahiwal       (Male)",-,-,Circle No. 3,208120303,-,758,0,758,3,0,3
137,,-,-,Circle No. 3,208120304,-,317,0,317,,,
137,,-,-,Circle No. 3,208120305,-,183,0,183,,,
137 Total,,,,,,,1258,0,1258,,,
138,"MC Girls Primary School No.13Mohalla Rajpura,Sahiwal      (Female)",-,-,Circle No. 3,208120303,-,0,648,648,0,2,2
138,,-,-,Circle No. 3,208120304,-,0,291,291,,,
138,,-,-,Circle No. 3,208120305,-,0,187,187,,,
138 Total,,,,,,,0,1126,1126,,,
139,"SDO Office, WapdaSahiwal (Male)",-,-,Circle No.4,208120401,-,473,0,473,2,0,2
139,,-,-,Circle No.4,208120402,-,335,0,335,,,
139,,-,-,Circle No.4,208120403,-,184,0,184,,,
139 Total,,,,,,,992,0,992,,,
140,"Revenue Office, Wapda Mepco,Sahiwal   (Female)",-,-,Circle No.4,208120401,-,0,335,335,0,2,2
140,,-,-,Circle No.4,208120402,-,0,303,303,,,
140,,-,-,Circle No.4,208120403,-,0,185,185,,,
140 Total,,,,,,,0,823,823,,,
141,"Dispensary Ghalla MandiSahiwal   (Male)",-,-,Cirlce No. 4,208120404,-,469,0,469,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
141 Total,,,,,,,732,0,732,,,
142,"Dispensary Ghalla MandiSahiwal   (Female)",-,-,Cirlce No. 4,208120404,-,0,381,381,0,2,2
142,,-,-,Cirlce No. 4,208120405,-,0,215,215,,,
142 Total,,,,,,,0,596,596,,,
143,"Dispensary Ghalla MandiSahiwal   (Male)",-,-,Cirlce No. 4 & 5,208120406,-,572,0,572,3,0,3
143,,-,-,Cirlce No. 4 & 5,208120501,-,729,0,729,,,
143 Total,,,,,,,1301,0,1301,,,
144,"Dispensary Ghalla MandiSahiwal (Female)",-,-,Cirlce No. 4 & 5,208120406,-,0,479,479,0,2,2
144,,-,-,Cirlce No. 4 & 5,208120501,-,0,565,565,,,
144 Total,,,,,,,0,1044,1044,,,
145,"MC Girls Middle School No.12Ghalla Mandi Swl (Male)",-,-,Circle No.5,208120502,-,291,0,291,3,0,3
145,,-,-,Circle No.5,208120503,-,246,0,246,,,
145,,-,-,Circle No.5,208120508,-,733,0,733,,,
145 Total,,,,,,,1270,0,1270,,,
146,"MC Girls Middle SchoolNo.12 Ghalla Mandi Swl(Female)",-,-,Circle No.5,208120502,-,0,230,230,0,2,2
146,,-,-,Circle No.5,208120503,-,0,524,524,,,
146,,-,-,Circle No.5,208120508,-,0,275,275,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
147,"MC Girls Middle SchoolNo.12Ghalla Mandi Swl (Male)",-,-,Circle No.5,208120504,-,489,0,489,2,0,2
147,,-,-,Circle No.5,208120505,-,652,0,652,,,
147 Total,,,,,,,1141,0,1141,,,
148,"MC Girls Middle SchoolNo.12Ghalla Mandi Swl (Female)",-,-,Circle No.5,208120504,-,0,417,417,0,2,2
148,,-,-,Circle No.5,208120505,-,0,493,493,,,
148 Total,,,,,,,0,910,910,,,
149,"MC Girls Middle SchoolNo.12Ghalla Mandi Swl (Male)",-,-,Circle No.5,208120506,-,422,0,422,2,0,2
149,,-,-,Circle No.5,208120507,-,490,0,490,,,
149 Total,,,,,,,912,0,912,,,
150,"MC Girls Middle SchoolNo.12Ghalla Mandi Swl   (Female)",-,-,Circle No.5,208120506,-,0,337,337,0,2,2
150,,-,-,Circle No.5,208120507,-,0,396,396,,,
150 Total,,,,,,,0,733,733,,,
151,"Govt. Primary SchoolSharqia Rizvia,GhallaMandiSahiwal   (Male)",-,-,Circel No.6,208120601,-,529,0,529,2,0,2
151,,-,-,Circel No.6,208120602,-,599,0,599,,,
151 Total,,,,,,,1128,0,1128,,,
152,"Govt. Primary SchoolSharqia Rizvia,  GhallaMandiSahiwal   (Female)",-,-,Circel No.6,208120601,-,0,418,418,0,2,2
152,,-,-,Circel No.6,208120602,-,0,511,511,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
153,"Govt. Mehmoodia High SchoolSahiwal   (Male)",-,-,Circel No.6,208120603,-,1147,0,1147,3,0,3
153,,-,-,Circel No.6,208120607,-,320,0,320,,,
153 Total,,,,,,,1467,0,1467,,,
154,"Govt. Mehmoodia High SchoolSahiwal    (Female)",-,-,Circel No.6,208120603,-,0,973,973,0,3,3
154,,-,-,Circel No.6,208120607,-,0,223,223,,,
154 Total,,,,,,,0,1196,1196,,,
155,"Govt. Middle School Jamia Rashidia, sahiwal   (Male)",-,-,Circel No.6,208120604,-,722,0,722,2,0,2
155,,-,-,Circel No.6,208120605,-,362,0,362,,,
155,,-,-,Circel No.6,208120606,-,116,0,116,,,
155 Total,,,,,,,1200,0,1200,,,
156,"Govt. Middle SchoolJamia Rashidia,Sahiwal  (Female)",-,-,Circel No.6,208120604,-,0,554,554,0,2,2
156,,-,-,Circel No.6,208120605,-,0,300,300,,,
156,,-,-,Circel No.6,208120606,-,0,114,114,,,
156 Total,,,,,,,0,968,968,,,
157,"Boys  Primary School  72/4R(Male)",72/4R,208011004,-,-,-,328,0,328,2,0,2
157,,72/4R,208011005,-,-,-,445,0,445,,,
157,,72/4R,208011006,-,-,-,147,0,147,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
158,"Boys  Primary School  72/4R(Female)",72/4R,208011004,-,-,-,0,368,368,0,2,2
158,,72/4R,208011005,-,-,-,0,277,277,,,
158,,72/4R,208011006,-,-,-,0,120,120,,,
158 Total,,,,,,,0,765,765,,,
159,"Boys  High School 78/5 -R(Male)",78/5 -R,208011001,-,-,-,1012,0,1012,2,0,2
159 Total,,,,,,,1012,0,1012,,,
160,Boys  High School 78/5 -R  (Male),78/5 -R,208011002,-,-,-,341,0,341,2,0,2
160,,78/5 -R,208011003,-,-,-,605,0,605,,,
160 Total,,,,,,,946,0,946,,,
161,"Govt. Girls High School 78/5 -R(Female)",78/5 -R,208011001,-,-,-,0,821,821,0,3,3
161,,78/5 -R,208011002,-,-,-,0,261,261,,,
161,,78/5 -R,208011003,-,-,-,0,477,477,,,
161 Total,,,,,,,0,1559,1559,,,
162,"Boys primary School79-80/5-R(Male)",79-80/5-R,208010801,-,-,-,308,0,308,3,0,3
162,,79-80/5-R,208010802,-,-,-,358,0,358,,,
162,,79-80/5-R,208010805,-,-,-,252,0,252,,,
162,,79-80/5-R,208010810,-,-,-,334,0,334,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
163,"Boys  Primary School79-80/-5R(Female)",79-80/5-R,208010801,-,-,-,0,244,244,0,2,2
163,,79-80/5-R,208010802,-,-,-,0,293,293,,,
163,,79-80/5-R,208010805,-,-,-,0,189,189,,,
163,,79-80/5-R,208010810,-,-,-,0,242,242,,,
163 Total,,,,,,,0,968,968,,,
164,"Govt. Girls Primary School, 79-80/5R  (Combined)",79-80/5-R,208010803,-,-,-,499,389,888,2,1,3
164,,79-80/5-R,208010804,-,-,-,465,286,751,,,
164 Total,,,,,,,964,675,1639,,,
165,"Rural Health Center81/5 -R(Male)",81/5 -R,208010806,-,-,-,809,0,809,2,0,2
165 Total,,,,,,,809,0,809,,,
166,Govt Primary School 81/5-R(Male),81/5 -R,208010807,-,-,-,561,0,561,2,0,2
166,,81/5 -R,208010808,-,-,-,184,0,184,,,
166,,81/5 -R,208010809,-,-,-,207,0,207,,,
166 Total,,,,,,,952,0,952,,,
167,"Govt. Girls High School 81/5 -R(Female)",81/5 -R,208010806,-,-,-,0,586,586,0,3,3
167,,81/5 -R,208010807,-,-,-,0,439,439,,,
167,,81/5 -R,208010808,-,-,-,0,158,158,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
167 Total,,,,,,,0,1328,1328,,,
168,"Boys  High School82/6 -R         (Male)",-,-,82/6 -R,208091602,-,910,0,910,2,0,2
168,,-,-,82/6 -R,208091605,-,255,0,255,,,
168 Total,,,,,,,1165,0,1165,,,
169,Boys  High School   82/6 -R         (Male),-,-,82/6 -R,208091603,-,561,0,561,2,0,2
169,,-,-,82/6 -R,208091604,-,49,0,49,,,
169 Total,,,,,,,610,0,610,,,
170,"Boys  High School School82/6 -R         (Male)",-,-,82/6 -R,208091502,-,608,0,608,2,0,2
170,,-,-,82/6 -R,208091503,-,270,0,270,,,
170,,-,-,82/6 -R,208091504,-,63,0,63,,,
170,,-,-,82/6 -R,208091505,-,8,0,8,,,
170 Total,,,,,,,949,0,949,,,
171,"Boys  High School School82/6 -R     I    (Male)",-,-,82/6 -R,208091501,-,777,0,777,3,0,3
171,,-,-,82/6 -R,208091601,-,622,0,622,,,
171,,-,-,82/6 -R,208091606,-,0,0,0,,,
171 Total,,,,,,,1399,0,1399,,,
172,"Girls  Communty Model School 82/6 -R    -I(Female)",-,-,82/6 -R,208091602,-,0,799,799,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
172 Total,,,,,,,0,1019,1019,,,
173,"Girls  Communty Model School 82/6 -R    -I(Female)",-,-,82/6 -R,208091502,-,0,539,539,0,2,2
173,,-,-,82/6 -R,208091503,-,0,184,184,,,
173,,-,-,82/6 -R,208091504,-,0,33,33,,,
173,,-,-,82/6 -R,208091505,-,0,10,10,,,
173 Total,,,,,,,0,766,766,,,
174,"Girls  Communty Model School 82/6 -R     -II(Female)",-,-,82/6 -R,208091501,-,0,608,608,0,4,4
174,,-,-,82/6 -R,208091601,-,0,527,527,,,
174,,-,-,82/6 -R,208091603,-,0,498,498,,,
174,,-,-,82/6 -R,208091604,-,0,34,34,,,
174,,-,-,82/6 -R,208091606,-,0,0,0,,,
174 Total,,,,,,,0,1667,1667,,,
175,"Boys  Primary School  50/GD(Male)",50/GD,208041101,-,-,-,584,0,584,3,0,3
175,,50/GD,208041102,-,-,-,360,0,360,,,
