ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
20,20-Govt. GPS Nagrey No. 2 (Combined),Nagrey,257010305,,,,127,96,223,,,
"",,Fattowal,257010306,,,,48,38,86,,,
"",,Nahal Garh Bc,257010307,,,,0,0,0,,,
"",,Sammo Saini,257010401,,,,162,120,282,,,
"",,Bhagotipur,257010402,,,,300,220,520,,,
"",,Total:-,,,,,637,474,1111,1,1,2
21,"21-Govt.Girls P/S Ladharr. (Combined)(P)",Ladharr,257010403,,,,284,194,478,,,
"",,Shankerpur,257010404,,,,5,3,8,,,
"",,Pendori,257011401,,,,292,220,512,,,
"",,Mullan Chak,257011402,,,,118,79,197,,,
"",,Total:-,,,,,699,496,1195,2,1,3
22,22-Govt.Boys M/S Jandeyala. (Male) (P),Jandeyala,257010501,,,,716,,716,,,
"",,Barthal-Veran,257010502,,,,106,,150,,,
"",,Asmail-pur.BC,257010506,,,,0,,0,,,
"",,Total:-,,,,,822,0,866,2,0,2
23,23-Govt.Girls M/S Jandiala. (Female) (P),Barthal-Veran,257010502,,,,,70,70,,,
"",-,Jandeyala,257010501,,,,,573,573,,,
"",,Mirza-pur,257010503,,,,,416,416,,,
"",,Asmail-pur.BC,257010506,,,,,0,0,,,
24,24-Govt.Girls P/S Jarpal (Combined) (P),Manghwal,257010504,,,,434,338,772,,,
"",,Jarpal,257010505,,,,582,401,983,,,
"",,Total:-,,,,,1016,739,1755,2,1,3
25,,Devli,257010507,,,,448,336,784,,,
"",,Devli,257010508,,,,341,214,555,,,
"",,Total:-,,,,,789,550,1339,2,1,3
26,"26-Govt.Girls P/S Chak-Vechla.(Combined) (P)",Lahre-Kalan,257010601,,,,111,59,170,,,
"",,Lehre-Khurd,257010602,,,,218,138,356,,,
"",,Chak-Vechala.,257010603,,,,373,268,641,,,
"",,Maan-Pur .BC,257010606,,,,0,0,0,,,
"",,Sapwal,257010701,,,,302,211,513,,,
"",,Mohal Murwal BC,257010707,,,,0,0,0,,,
"",,Total:-,,,,,1004,676,1680,2,1,3
27,"27-Govt.Girls P/S Sakhroor (Combined)(P)",Sakror,257010604,,,,682,457,1139,,,
"",,Sakrori,257010605,,,,173,115,288,,,
"",,Total:-,,,,,855,572,1427,2,1,3
28,28-Govt.Girls E/S Malla. (Combined) (P),Mugha,257010702,,,,80,52,132,,,
"",,Ratnal,257010703,,,,90,53,143,,,
"",,Nadwal,257010705,,,,104,56,160,,,
"",,Mala,257010708,,,,440,330,770,,,
"",,Mala,257010709,,,,116,86,202,,,
"",,Total:-,,,,,830,577,1407,2,1,3
29,"29-Govt.Girls P/S Kot-Naju. (Combined)(P)",Badhyal,257010704,,,,200,104,304,,,
"",,Kot-Naju,257010706,,,,530,392,922,,,
"",,Total:-,,,,,730,496,1226,2,1,3
30,30-Govt.Girls P/S Torrah. (Combined) (P),Baja pur,257010801,,,,236,150,386,,,
"",,Bhandial,257010802,,,,99,59,158,,,
"",,Said Nihal,257010803,,,,4,6,10,,,
"",,Tairah,257010804,,,,618,448,1066,,,
"",,Bagal BC,257010805,,,,0,0,0,,,
"",,Total:-,,,,,957,663,1620,2,1,3
31,"31-Govt.Girls  P/S Chani-Baghareyan(Combined) (P)",Chani-Baghareyan,257010807,,,,475,320,795,,,
"",,Chani-Baghareyan,257010808,,,,333,251,584,,,
"",,Chack Googhar,257010806,,,,0,0,0,,,
"",,Total:-,,,,,808,571,1379,2,1,3
32,"32-Govt.Boys P/S Saluwal (Combined)(P)",Bojhu-chak,257010901,,,,314,232,546,,,
"",,Majra,257010902,,,,70,38,108,,,
"",,Saluwal,257010906,,,,432,297,729,,,
"",,Saluwal,257010907,,,,209,148,357,,,
"",,Total:-,,,,,1025,715,1740,2,1,3
33,33-Govt.Boys H/S Marara (Combined) (P),Marara,257010903,,,,654,499,1153,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,654,499,1153,1,1,2
"",,Marara,257010904,,,,169,122,291,,,
"",,Total:-,,,,,743,510,1253,2,1,3
"",,,,,,,,,,,,
35,"35-Govt.Girls P/S Harbanas-pur(Combined) (P)",Harbans pur,257011302,,,,435,316,751,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,435,316,751,1,1,2
36,36-Govt.Girls E/S Marjal (Combined) (P),Marjal,257010908,,,,828,657,1485,,,
"",,Marjal,257010909,,,,330,268,598,,,
"",,Total:-,,,,,1158,925,2083,2,2,4
37,"37-Govt.Girls P/S Pindi-Chaniani(Combined) (P)",Pindi-Chaniani,257010910,,,,349,260,609,,,
"",,Pindi-Chaniani,257010911,,,,602,413,1015,,,
"",,Total:-,,,,,951,673,1624,2,2,4
38,38-Govt.Girls P/S Amral (Combined) (P),Amral,257010912,,,,212,162,374,,,
"",,Amral,257010913,,,,447,345,792,,,
"",,Total:-,,,,,659,507,1166,1,1,2
39,39-Govt.Girls P/S Chakri (Combined) (P),Chakri,257011001,,,,425,294,719,,,
"",,Khan-pur-Salehrian,257011002,,,,137,105,242,,,
"",,Total:-,,,,,562,399,961,1,1,2
40,"40-Govt.Boys High School Rapu-Chak(Combined) (P)",Akyal,257011003,,,,280,210,490,,,
"",,Rapu-chak No.1,257011005,,,,572,462,1034,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,852,672,1524,2,1,3
41,"41-Govt. Girls High School Rapu Chak(Combined)",Rapu-chak No.2,257011006,,,,523,506,1029,,,
"",,Rapu-chak No.3,257011007,,,,429,325,,,,
"",,Total:-,,,,,952,831,1783,2,2,4
42,"42-Govt.Girls P/S Chohali (Combined)(P)",Basanat-pur BC,257011004,,,,0,0,0,,,
"",,Ghazi-pur,257011105,,,,340,209,549,,,
"",,Panjmali,257011101,,,,186,149,335,,,
"",,Chohali,257011102,,,,281,235,516,,,
"",,Sakindar-pur,235701103,,,,148,97,245,,,
"",,Rathan-Ghar.BC,257011104,,,,0,0,0,,,
"",,Lalyal,257011106,,,,166,112,278,,,
"",,Total:-,,,,,1121,802,1923,2,2,4
43,43-Govt.Girls P/S Rajwal. (Combined) (P),Maila,257011201,,,,357,212,569,,,
"",,Rajwal,257011204,,,,375,484,294,,,
"",,Total:-,,,,,732,696,1428,2,1,3
44,"44-Govt. Girls E/S Sapanwal No.2(Combined) (P)",Pachawalian,257011202,,,,428,284,712,,,
"",,Bhatti Goraha,257011203,,,,252,145,397,,,
"",,Sapanwal,257011209,,,,274,180,454,,,
"",,Total:-,,,,,954,609,1563,2,1,3
45,45-Govt.Girls P/S Jaghal (Combined) (P),Thakhyal,257011205,,,,261,184,445,,,
"",,Total:-,,,,,712,448,1160,2,1,3
46,"46-Govt.Boys E/S Sapanwal No.1(Combined) (P)",Sapanwal,257011207,,,,446,333,779,,,
"",,Sapanwal,257011208,,,,395,256,651,,,
"",,Total:-,,,,,841,589,1430,2,1,3
47,"47-Govt.Girls P/S Wadhala. (Combined)(P)",Aughuwal,257011301,,,,545,377,922,,,
"",,Wadhala,257011303,,,,544,451,995,,,
"",,Total:-,,,,,1089,828,1917,2,2,4
48,"48-Govt. Girls Primary School ChakDaudhu(Combined)",Khaprala,257011304,,,,53,31,84,,,
"",,Chak-Daudhu,257011305,,,,400,245,645,,,
"",,Total:-,,,,,453,276,729,1,1,2
49,49-Govt. Boys P/S Amwal (Combined) (P),Amwal.,257011306,,,,526,356,882,,,
"",,Amwal.,257011307,,,,203,179,382,,,
"",,Total:-,,,,,729,535,1264,2,1,3
"",,,,,,,,,,,,
50,"50-Govt.Boys P/S Bhabalwali(Combined) (P)",Longokey,257011405,,,,367,309,676,,,
"",,Ugowala,257011406,,,,202,133,335,,,
"",,Total:-,,,,,569,442,1011,1,1,2
"",,,,,,,,,,,,
"",,,,,,,,,,,,
51,"51-Govt. Girls Primary School GnaishPur(Combined)",Pir Kala,257011407,,,,106,71,177,,,
"",,Gnaish Pur,257011403,,,,300,249,549,,,
"",,Total:-,,,,,406,320,726,1,1,2
52,"52-Govt.Girls P/S Jandran. (Combined)(P)",Jandran,257011408,,,,621,525,1146,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,621,525,1146,1,1,2
"",,,,,,,,,,,,
53,"53-Govt.Girls P/S Jahanian. (Combined)(P)",Sohail,257011404,,,,156,114,270,,,
"",,Jahanian,257011409,,,,422,335,757,,,
"",,Jahanian,257011410,,,,234,166,400,,,
"",,Total:-,,,,,812,615,1427,2,1,3
54,"54-Govt.Boys P/S Kartarpur (Combined)(P)",Mahal Arazi,257011501,,,,23,9,32,,,
"",,Kartarpur,257011502,,,,213,141,354,,,
"",,Musa(BC),257011506,,,,0,0,0,,,
"",,Total:-,,,,,236,150,386,1,1,2
55,"55-Govt.Boys P/S Habit Pur (Combined)(P)",Rajumarl,257011503,,,,409,313,722,,,
"",,Mehmood Pur,257011504,,,,188,122,310,,,
"",,Habitpur,257011505,,,,458,334,792,,,
"",,Total:-,,,,,1055,769,1824,2,2,4
56,56-Govt. Boys E/S Rajian (Combined) (P),Rajian,257011507,,,,342,301,643,,,
"",,Rajian,257011508,,,,637,536,1173,,,
"",,Total:-,,,,,979,837,1816,2,2,4
"",,Auncha-Khalan,257011604,,,,740,,740,,,
"",,Auncha-Khalan,257011605,,,,327,,327,,,
"",,Total:-,,,,,1311,,1311,3,0,3
58,"58-Govt.Girls P/S Auncha-Khalan.(Female) (P)",Pindi-Devianian,257011602,,,,,165,165,,,
"",,Auncha-Khalan,257011604,,,,,558,558,,,
"",,Auncha-Khalan,257011605,,,,,237,237,,,
"",,Total:-,,,,,,960,960,0,2,2
59,"59-Govt.Boys Primary School Feth Toor.(Combined) (P)",Ariyan,257020201,,,,263,174,437,,,
"",,Feth-Toor,257020202,,,,523,409,932,,,
"",,Total:-,,,,,786,583,1369,2,1,3
60,60-Govt. Girls PS Jamkey (Combined),Jamkey,257020204,,,,543,387,930,,,
"",,Total:-,,,,,543,387,930,1,1,2
"",,,,,,,,,,,,
61,"61-Govt. Girls p./S Jalokey. (Combined)(P)",Jalokey,257020203,,,,432,317,749,,,
"",,Nawaday,257020208,,,,39,22,61,,,
"",,Togo Bahttian,257020207,,,,296,165,461,,,
"",,Total:-,,,,,767,504,1271,2,1,3
62,62-Govt. Girls PS Soian (Combined),Soian,257020209,,,,296,209,505,,,
"",,Soian,257020210,,,,450,270,720,,,
"",,Total:-,,,,,746,479,1225,2,1,3
63,"63-Govt. Boys E/S Llangar-Key(Combined) (P)",Mahal Ajat,257020205,,,,182,96,278,,,
"",,Langar Key,257020206,,,,889,642,1531,,,
"",,Total:-,,,,,1071,738,1809,2,2,4
64,"64-Govt.P/S Pindi Amolak. (Combined)(P)",Pindi Amolak,257020401,,,,490,328,818,,,
"",,Pindi Amolak,257020402,,,,336,229,565,,,
"",,Total:-,,,,,826,557,1383,2,1,3
65,65-Public Health Unit Romal. (Combined),Sidhwan,257020403,,,,252,145,397,,,
"",,Romaal,257020405,,,,399,290,689,,,
"",,Boorhi,257020409,,,,373,229,602,,,
"",,Total:-,,,,,1024,664,1688,2,1,3
66,66-Govt.Girls P/S Targa (Combined) (P),Targa,257020404,,,,399,237,636,,,
"",,Dotail,257021302,,,,527,322,849,,,
"",,Total:-,,,,,926,559,1485,2,1,3
67,"67-Govt.P/S Chack-Hakeem (Combined)(P)",Lange,257020406,,,,324,196,520,,,
"",,Kot Bala Singh,257020407,,,,39,23,62,,,
"",,Chandwal,257020408,,,,50,29,79,,,
"",,Salo Taily(BC),257020410,,,,0,0,0,,,
"",,Chak-Hakim,257020411,,,,470,315,785,,,
"",,Total:-,,,,,883,563,1446,2,1,3
68,"68-Govt. Boys P/S Eno-Wali (Combined)(P)",Eno-Wali,257020801,,,,715,486,1201,,,
"",,Eno-Wali,257020802,,,,398,276,674,,,
"",,Total:-,,,,,1113,762,1875,2,2,4
69,"69-Govt.Girls P/S Eno-Wali (Combined)(P)",Enowali,257020803,,,,240,165,405,,,
"",,Chain Nagar,257020806,,,,9,6,15,,,
"",,Total:-,,,,,303,204,507,1,1,2
70,"70-Govt.Boys P/S Bahtti-Kahlwan.(Combined) (P)",Bahtti Kahlwan,257020805,,,,408,286,694,,,
"",,Jalil pur,257020807,,,,433,297,730,,,
"",,Total:-,,,,,841,583,1424,2,1,3
"",,,,,,,,,,,,
71,"71-Govt.Boys P/S Maehlo Wala(Combined) (P)",Mehlo Wala,257020808,,,,208,129,337,,,
"",,Mehlo Wala,257020809,,,,571,404,975,,,
"",,Total:-,,,,,779,533,1312,1,1,2
"",,,,,,,,,,,,
72,"72-Govt.Girls  Primary School PindiKahlawan. (Combined) (P)","AiemaMughlan(B.C)",257021201,,,,4,1,5,,,
"",,Kot Bawa,257021203,,,,281,155,436,,,
"",,Maan,257021204,,,,92,68,160,,,
"",,Pindi Kahwalan,257021205,,,,421,261,682,,,
"",,Sahdray,257021206,,,,301,222,523,,,
"",,Total:-,,,,,1099,707,1806,2,2,4
73,73-Govt.H/S Dhamthal. (Combined) (P),Dhamthal,257021207,,,,400,255,655,,,
"",,Alamiana,257021202,,,,186,137,323,,,
"",,Dhamthal,257021208,,,,241,172,413,,,
"",,Total:-,,,,,827,564,1391,2,1,3
74,"74-Govt.Girls H/S Dhamthal. (Combined)(P)",Dhamthal,257021209,,,,469,312,781,,,
"",,Dhamthal,257021210,,,,259,222,481,,,
"",,Total:-,,,,,728,534,1262,1,1,2
75,75-Govt.H/S Dhamthal. (Male) (P),Dhamthal,257021211,,,,403,,403,,,
"",,Dhamthal,257021212,,,,440,,440,,,
"",,Dhamthal,257021213,,,,516,,516,,,
"",,Dhamthal,257021214,,,,335,,335,,,
"",,Dhamthal,257021215,,,,49,,49,,,
"",,Dhamthal,257021216,,,,50,,50,,,
"",,Dhamthal,257021217,,,,13,,13,,,
"",,Total:-,,,,,1806,,1806,4,0,4
76,76-Govt.H/S Dhamthal. (Female) (P),Dhamthal,257021211,,,,,318,318,,,
"",,Dhamthal,257021212,,,,,297,297,,,
"",,Dhamthal,257021213,,,,,353,353,,,
"",,Dhamthal,257021214,,,,,253,253,,,
"",,Dhamthal,257021215,,,,,43,43,,,
"",,Dhamthal,257021216,,,,,37,37,,,
"",,Dhamthal,257021217,,,,,76,76,,,
"",,Total:-,,,,,,1377,1377,0,3,3
77,"77-Govt.Girls Elementry School Sarjal.(Combined) (P)",Atto Wali,257021301,,,,117,55,172,,,
"",,Sarjal,257021305,,,,142,115,257,,,
"",,Sarjal,257021306,,,,593,385,978,,,
"",,Total:-,,,,,852,555,1407,2,1,3
78,"78-Govt.Girls Elementry School Sangyal.(Combined) (P)",Sammon Wali,257021303,,,,289,165,454,,,
"",,Puro-Wali,257021304,,,,85,62,147,,,
"",,Sangial,257021308,,,,433,329,762,,,
"",,Sangial,257021309,,,,284,191,475,,,
"",,Total:-,,,,,1091,747,1838,2,2,4
79,79-Govt.P/S Sangial. (Combined) (P),Sangial,257021307,,,,571,426,997,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,571,426,997,1,1,2
"",,,,,,,,,,,,
80,80-Govt.Boys H/S Darman.(Male) (P),Darman,257030101,,,,478,,478,,,
"",,Darman,257030102,,,,390,,390,,,
"",,Darman,257030103,,,,338,,338,,,
"",,Darman,257030104,,,,596,,596,,,
"",,Total:-,,,,,1802,,1802,4,,4
81,81-Govt.Girls H/S Darman.(Female) (P),Darman,257030101,,,,,396,396,,,
"",,Darman,257030103,,,,,251,251,,,
"",,Darman,257030102,,,,,323,323,,,
"",,Darman,257030104,,,,,498,498,,,
"",,Total:-,,,,,0,1468,1468,,3,3
82,82-Govt.P/S Nawan Pind (Combined) (P),Nawan pind,257030105,,,,735,548,1283,,,
"",,,,,,,,,0,,,
"",,Total:-,,,,,735,548,1283,1,1,2
83,"83-Govt.Boys P/S Balal Nagar(Combined) (P)",Pandori-Ghotran.,257030201,,,,78,42,120,,,
"",,Khothi-Ghotran.,257030202,,,,129,81,210,,,
"",,Balal Nagar,257030204,,,,408,219,627,,,
"",,"GharghalBarahmana",257031703,,,,256,180,436,,,
"",,Total:-,,,,,871,522,1393,2,1,3
84,"84-Govt.Girls P/S Dingha-Narian-Pur(Combined) (P)",Dingha-Narian-pur,257030203,,,,422,309,731,,,
"",,Fatha-pur-Ghotran,257031706,,,,71,42,113,,,
"",,Tarkwal.,257031705,,,,266,208,474,,,
"",,Total:-,,,,,759,559,1318,2,1,3
85,85-Govt.Boys P/S Ghumrola(Male) (P),Ghumrola,257030301,,,,494,,494,,,
"",,Ghumrola,257030302,,,,395,,395,,,
"",,Ghumrola,257030303,,,,802,,802,,,
"",,Total:-,,,,,1691,,1691,3,,3
86,86-Govt.Girls P/S Ghumrola (Female) (P),Ghumrola,257030301,,,,,343,343,,,
"",,Ghumrola,257030302,,,,,264,264,,,
"",,Ghumrola,257030303,,,,,541,541,,,
"",,Total:-,,,,,,1148,1148,,2,2
87,87-Govt.Boys P/S Jarpal (Combined) (P),Lohaal.,257030304,,,,77,48,125,,,
"",,Mangoian,257030904,,,,99,78,159,,,
"",,Pindori Viran,257030905,,,,21,16,37,,,
"",,Chack Suraj,257031002,,,,190,113,303,,,
"",,Total:-,,,,,387,255,642,1,1,2
88,88-Govt.P/S Bhattli (Combined) (P),Dander,257030401,,,,183,132,315,,,
"",,Chak Bura,257030403,,,,197,121,318,,,
"",,Chak Bhego(BC),257030501,,,,11,5,16,,,
"",,Bhatli kalan,257030505,,,,506,371,877,,,
"",,Total:-,,,,,897,629,1526,2,1,3
89,89-Govt.Girls E/S Jhang (Combined) (P),Makh Wal,257030402,,,,316,239,555,,,
"",,Sargala,257030404,,,,111,66,177,,,
"",,Chak Nahala,257030502,,,,159,99,258,,,
"",,Uddowal(BC),257030503,,,,0,0,0,,,
"",,Jhang,257030504,,,,379,251,630,,,
"",,Total:-,,,,,965,655,1620,2,1,3
90,"90-Govt.Girls P/S Sadghal. (Combined)(P)",Danwal.,257031602,,,,366,312,678,,,
"",,Sadgal,257031102,,,,477,380,857,,,
"",,Total:-,,,,,843,692,1535,2,1,3
91,"91-Govt.Boys P/S Jatwal Kalan(Combined) (P)",Jatwal Khurd,257030601,,,,224,140,364,,,
"",,Jatwal Kalan,257030602,,,,462,305,767,,,
"",,Jatwal Manjla,257030603,,,,201,112,313,,,
"",,Total:-,,,,,887,557,1444,2,1,3
92,92-Govt.H/S Delra. (Male) (P),Dalra,257030604,,,,261,,261,,,
"",,Dalra,257030605,,,,68,,68,,,
"",,Dalra,257030606,,,,625,,625,,,
"",,Dalra,257030607,,,,84,,84,,,
"",,Total:-,,,,,1038,,1038,2,0,2
93,93-Govt.H/S Delra. (Female) (P),Dalra,257030604,,,,,176,176,,,
"",,Dalra,257030605,,,,,45,45,,,
"",,Dalra,257030606,,,,,457,457,,,
"",,Dalra,257030607,,,,,79,79,,,
"",,Total:-,,,,,,757,757,0,2,2
94,"94-Govt.Boys P/S Dhudham Kalan(Combined) (P)",Dhudham Kalan,257030608,,,,447,270,717,,,
"",,Dhudham Khurd,257030609,,,,293,186,479,,,
"",,Total:-,,,,,740,456,1196,2,1,3
95,95-Govt.Girls P/S Koilian (Combined) (P),Sasswan,257030709,,,,263,145,408,,,
"",,Baeri Kalan,257030703,,,,230,159,389,,,
"",,Bangor Kalan,257030704,,,,259,166,425,,,
"",,Koulian,257030708,,,,357,284,641,,,
"",,Total:-,,,,,1109,754,1863,2,1,3
96,"96-Govt. Girls Primary School BadalaGujran.(Combined)",Badala Gujran.,257030702,,,,273,182,455,,,
"",,Chamiana Klan,257030705,,,,96,77,173,,,
"",,Chamiana Khurd.,257030706,,,,189,118,307,,,
"",,Sapwal,257030701,,,,161,106,267,,,
"",,Shoohal,257030707,,,,107,77,184,,,
"",,Total:-,,,,,826,560,1386,2,1,3
97,97-Basic Health Unit Taara Pur (Male),Pind-Bholian,257030801,,,,422,,422,,,
