"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
40,Govt:Boys Primary School Nizam Addli key (Combined),Nazam Addlikay,210090810,487,388,875,2,2,4
"",,Ghazi Mardan,210090811,347,273,620,,,
41,Govt: Boys Primary School Sham Kot (Combined,Sham Garh,210090812,634,490,1124,2,1,3
42,"Govt:Boys Middle School, Bunga  Hayat       (Male)",Buga Hayat,210050101,452,0,452,2,0,2
Buga Hayat,210050102,70,0,70,,,,,
Buga Hayat,210050115,133,0,133,,,,,
Buga Hayat,210050103,883,0,883,,,,,
Buga Hayat,210050104,222,0,222,,,,,
43,"Govt:Boys Middle School, Bunga  Hayat   (Female)",Buga Hayat,210050102,0,60,60,0,2,2
"",,Buga Hayat,210050115,0,106,106,,,
"",,Buga Hayat,210050103,0,697,697,,,
"",,Buga Hayat,210050104,0,175,175,,,
44,Govt: Girls Middle School Bunga Hayat   (Combined),Buga Hayat,210050105,285,248,533,2,2,4
"",,Buga Hayat,210050106,129,100,229,,,
"",,Buga Hayat,210050107,176,116,292,,,
"",,Magan Pur,210050114,232,178,410,,,
45,"Govt:Boys Primary School, Asdullah Pur  (Combined)",Asdullah Pur,210050111,282,285,567,2,2,4
"",,Asdullah Pur,210050112,391,313,704,,,
"",,Asdullah Pur,210050113,167,156,323,,,
46,"Govt:Boys Primary School, Arazi Amar Singh (Combined)",Arazi Amar Singh,210050108,121,105,226,2,2,4
"",,Arazi Amar Singh,210050109,473,298,771,,,
"",,Arazi Amar Singh,210050110,393,292,685,,,
47,"Govt:Boys Primary School, Nanik Pur   P )*  (Male)",Nanik Pur,210050301,413,0,413,2,0,2
"",,Nanik Pur,210050302,380,0,380,,,
"",,Nanik Pur,210050303,631,0,631,,,
"",,Nanik Pur,210050304,259,0,259,,,
48,"Govt:Boys Primary School, Nanik Pur   P )*           (Female)",Nanik Pur,210050301,0,315,315,0,2,2
"",,Nanik Pur,210050302,0,299,299,,,
"",,Nanik Pur,210050303,0,447,447,,,
"",,Nanik Pur,210050304,0,206,206,,,
49,"Govt: Boys Primary School 5 marla Scheem Bung Hayat(Combined)","Nanak Pura  ( 5 MarlaScheme)",210050310,644,434,1078,1,1,2
50,Govt: Girls Primary School  Kot Maan Singh (Combined),Nank Pur,210050311,492,330,822,1,1,2
51,"Govt: Girls,Primary School Nanak Pur   (Combined)",Nanak Pur,210050305,287,228,515,2,1,3
"",,Nanak Pur,210050306,360,273,633,,,
"",,Nanak Pur,210050307,275,197,472,,,
52,Govt:Boys Primary School Nanak Pur   (Combined),Nanak Pur,210050308,320,247,567,1,1,2
"",,Nanak Pur,210050309,235,164,399,,,
53,"Govt:Boys Higher Secoundary School, Chak Bedi East(Combined)",Chak Bedi,210050401,307,254,561,1,1,2
"",,Chak Bedi,210050402,381,311,692,,,
54,"Govt:Boys Higher Secoundary School, Chak Bedi West(Male)",Chak Bedi,210050404,278,0,278,2,0,2
Chak Bedi,210050405,326,0,326,,,,,
Chak Bedi,210050406,619,0,619,,,,,
55,(Female),Chak Bedi,210050405,0,225,225,0,2,2
"",,Chak Bedi,210050406,0,489,489,,,
56,Govt:Boys Primary School Tahtha Ranghran (Combined),Chak Bedi,210050403,355,285,640,1,1,2
57,"Govt: Girls High School, Chak Bedi    (Combined)",Chak Bedi,210050407,526,432,958,2,1,3
"",,Chak Bedi,210050409,210,144,354,,,
58,Yousaf Saeed Public High School (PEF) 54/SP (Combined),Chak 54/SP,210050203,267,168,435,1,1,2
59,Govt: Girls Primary School 54/SP            (Combined),Chak 54/SP,210050201,590,391,981,2,1,3
"",,Chak 54/SP,210050202,277,201,478,,,
60,Govt:Boys Primary School Prince Abad   (Combined),Khatwan,210050204,326,197,523,2,2,4
"",,Prinsabad,210050205,302,229,531,,,
"",,Prinsabad,210050206,224,160,384,,,
"",,Chak Ellahi  Bakhash,210050408,131,111,242,,,
61,"Govt:Boys Middle School, 23/SP    (Male)",Chak 23/SP,210050502,849,0,849,2,0,2
"",,Chak 23/SP,210050503,485,0,485,,,
"",,Chak 23/SP,210050504,279,0,279,,,
62,"Govt:Boys Middle School, 23/SP               (Female)",Chak 23/SP,210050502,0,685,685,0,2,2
"",,Chak 23/SP,210050503,0,390,390,,,
"",,Chak 23/SP,210050504,0,240,240,,,
63,Govt:Girls Primary School 23/SP     (Combined),Chak 23/SP,210050501,481,360,841,1,1,2
64,Govt:Boys Primary School 22/SP                           (Male),Chak 22/SP,210050505,306,0,306,2,0,2
"",,Chak 22/SP,210050506,517,0,517,,,
"",,Chak 22/SP,210050507,297,0,297,,,
"",,Chak 22/SP,210050508,134,0,134,,,
"",,Chak 22/SP,210050509,233,0,233,,,
65,Govt: Girls Primary School 22/SP              (Female),Chak 22/SP,210050505,0,276,276,0,2,2
"",,Chak 22/SP,210050506,0,326,326,,,
"",,Chak 22/SP,210050507,0,229,229,,,
"",,Chak 22/SP,210050508,0,104,104,,,
"",,Chak 22/SP,210050509,0,195,195,,,
66,Govt:Boys Middle School 11/SP                      (Male),chak 11/SP,210050601,380,0,380,2,0,2
chak 11/SP,210050602,299,0,299,,,,,
chak 11/SP,210050603,548,0,548,,,,,
chak 11/SP,210050601,0,257,257,,,,,
chak 11/SP,210050602,0,232,232,,,,,
68,Govt:Boys Primary School 12/SP             (Combined),Chak 12/SP,210050604,622,532,1154,2,1,3
"",,Chak 12/SP,210050605,141,133,274,,,
69,"Govt:Boys Middle School, 21/SP              (Combined)",Chak 21/SP,210050606,452,363,815,2,2,4
"",,Chak 21/SP,210050607,476,383,859,,,
70,Govt:Boys Primary School 48/SP                       (Male),Chak 48/SP,210050608,596,0,596,2,0,2
"",,Chak 48/SP,210050609,522,0,522,,,
71,Govt: Girls  Primary School 48/SP                 (Female),Chak 48/SP,210050608,0,460,460,0,2,2
"",,Chak 48/SP,210050609,0,359,359,,,
72,"Govt:Boys High School, Kumhari Wala East     (Male)",Kumhariwala,210050701,237,0,237,2,0,2
"",,Kumhariwala,210050702,655,0,655,,,
"",,Kumhariwala,210050703,233,0,233,,,
73,"Govt:Boys High School, Kumhari Wala South (Female)",Kumhariwala,210050701,0,159,159,0,2,2
"",,Kumhariwala,210050702,0,467,467,,,
"",,Kumhariwala,210050703,0,178,178,,,
74,"Govt: Girls High School, Kumahari Wala West (Combined)",Kumhariwala,210050704,326,241,567,2,1,3
"",,Kumhariwala,210050705,441,328,769,,,
75,Govt:Boys Primary School Kani Pur            (Combined),Kani Pur,210050706,466,284,750,1,1,2
"",,Kani Pur,210050707,284,134,418,,,
76,"Community Model School, Chak 10/SP     (Combined)",Chak 10/SP,210050708,186,116,302,2,1,3
"",,Chak 10/SP,210050709,423,341,764,,,
"",,Chak 10/SP,210050710,310,191,501,,,
77,"Govt:Boys High School, Bail Gunj                           (Male)",Bail Gunj,210050901,673,0,673,2,0,2
"",,Bail Gunj,210050902,411,0,411,,,
"",,Chak 47/SP,210050906,7,0,7,,,
"",,Chak 47/SP,210050907,10,0,10,,,
78,"Govt:Boys High School, Bail Gunj (West            (Female)",Bail Gunj,210050901,0,479,479,0,2,2
"",,Bail Gunj,210050902,0,340,340,,,
"",,Chak 47/SP,210050906,0,4,4,,,
"",,Chak 47/SP,210050907,0,6,6,,,
79,Govt: Girls Community  Model School.Bail Gunj     (Male),Bail Gunj,210050903,462,0,462,2,0,2
"",,Bail Gunj,210050904,260,0,260,,,
"",,Bail Gunj,210050905,335,0,335,,,
80,"Govt: Girls Community  Model School.Bail Gunj(West(Female)",Bail Gunj,210050903,0,336,336,0,2,2
Bail Gunj,210050904,0,207,207,,,,,
Bail Gunj,210050905,0,242,242,,,,,
Kalaywal,210050910,115,82,197,,,,,
"",,4/SP,210050912,353,267,620,,,
"",,Bheday,210051008,372,250,622,,,
82,Govt:Boys Primary School 6/SP             (Combined),Chak 6/SP,210050908,436,285,721,1,1,2
"",,Chak 6/SP,210050909,159,73,232,,,
83,"Govt:Boys Middle School, 46/SP         (Male)",Chak 46/SP,210051001,617,0,617,2,0,2
"",,Chak 46/SP,210051002,270,0,270,,,
"",,Chak 46/SP,210051003,207,0,207,,,
84,"Govt:Boys Middle School, 46/SP                        (Female)",Chak 46/SP,210051001,0,460,460,0,2,2
"",,Chak 46/SP,210051002,0,213,213,,,
"",,Chak 46/SP,210051003,0,167,167,,,
85,Govt: Girls Primary School Kot Kahan Singh    (Male),Kot Kahan singh,210051004,311,0,311,2,0,2
"",,Kot Kahan singh,210051005,393,0,393,,,
"",,Kot Kahan singh,210051006,424,0,424,,,
"",,Chah Para Kumboh,210051007,24,0,24,,,
86,Govt: Girls Primary School Kot Kahan Singh  (Female),Kot Kahan singh,210051004,0,283,283,0,2,2
"",,Kot Kahan singh,210051005,0,297,297,,,
"",,Kot Kahan singh,210051006,0,298,298,,,
"",,Chah Para Kumboh,210051007,0,9,9,,,
87,Govt:Boys Primary School 65/D (Male),Chak 65/D,210051104,340,0,340,2,0,2
"",,Chak 65/D,210051105,653,0,653,,,
88,Govt:Boys Primary School 65/D             (Female),Chak 65/D,210051104,0,266,266,0,2,2
"",,Chak 65/D,210051105,0,499,499,,,
89,Govt: Girls Primary School 65/D              (Combined),Chak 65/D,210051106,474,397,871,2,1,3
"",,Faiz Pur,210051107,312,258,570,,,
90,Govt: Girls Primary School Fazal Garh                (Male),Fazal Garh,210051101,168,0,168,2,0,2
"",,Fazal Garh,210051102,327,0,327,,,
"",,Fazal Garh,210051103,484,0,484,,,
91,Govt: Boys Primary School Fazal Garh   (Female),Fazal Garh,210051101,0,122,122,0,2,2
"",,Fazal Garh,210051102,0,286,286,,,
"",,Fazal Garh,210051103,0,370,370,,,
92,"Govt:BoysMiddle School Ghulam Farid Mallay ke Tarro(Male)",Mallay ke Tarroo ky,210050801,492,0,492,2,0,2
"",,Mallay ke Tarroo ky,210050802,389,0,389,,,
"",,Mallay ke Tarroo ky,210050803,269,0,269,,,
93,"Govt:BoysMiddle School Ghulam Farid Mallay ke Tarro(Female)",Mallay ke Tarroo ky,210050801,0,339,339,0,2,2
Mallay ke Tarroo ky,210050802,0,297,297,,,,,
Mallay ke Tarroo ky,210050803,0,223,223,,,,,
"",(Combined),Mallay Ke Tarro,210050805,254,178,432,,,
95,"Govt:Boys High School,Pir Ghani    (Male)",Pir Ghani,210030205,348,0,348,2,0,2
"",,Pir Ghani,210030206,445,0,445,,,
96,Office of the Union Council No.17 Pir Ghani (Female),Pir Ghani,210030205,0,289,289,0,2,2
"",,Pir Ghani,210030206,0,435,435,,,
97,"Govt:Boys High School,Pir Ghani  (West)              (Male)",Pir Ghani,210030207,300,0,300,2,0,2
"",,Pir Ghani,210030208,289,0,289,,,
"",,Pir Ghani,210030209,756,0,756,,,
98,"Govt:Boys High School,Pir Ghani  (South          (Female)",Pir Ghani,210030207,0,276,276,0,2,2
"",,Pir Ghani,210030208,0,213,213,,,
"",,Pir Ghani,210030209,0,644,644,,,
99,"Govt: Girls Middle School, Pir Ghani     (Combined)",Jalil Mehteyka,210030201,122,79,201,2,1,3
"",,Dedar Singh,210030202,406,261,667,,,
"",,Rakh Pir Ghani,210030203,23,15,38,,,
"",,Maney Ki,210030204,328,286,614,,,
100,"Govt:Girls Primary School, Siddhu Malka  (Combined)",Saddu Malkana,210030501,529,428,957,2,1,3
101,"Govt:Boys Middle School, Saleem Shah Bodla (Combined)",Piddu Busharat,210030505,571,425,996,1,1,2
102,"Govt:Boys Primary School, Bheela (East)              (Male)",Dhaker,210030101,317,0,317,2,0,2
"",,Bhela,210030103,420,0,420,,,
"",,Bhela,210030104,420,0,420,,,
103,"Govt:Girls Primary School, Bheela                (Female)",Dhaker,210030101,0,202,202,0,2,2
"",,Bhela,210030103,0,287,287,,,
"",,Bhela,210030104,0,304,304,,,
104,Govt:Boys Primary School Bheela (West)   (Combined),Jeewana Mehtam,210030102,329,218,547,2,1,3
"",,Bhela,210030105,526,319,845,,,
105,"Govt:Boys Primary School, Chak Nasir Khan (Combined)",Nasir Khan Wala,210030601,479,377,856,1,1,2
106,"Govt:Girls Middle School, Saleem Shah Bodla (Combined)",Saleem Shah Bodla,210030602,218,137,355,1,1,2
107,"Govt: Girls Community Model School, Siddu Pipli(Male)",Saddu Pipli,210030604,829,0,829,2,0,2
108,"Govt:Boys Primary School, Chak Khaggya          (Female)",Saddu Pipli,210030604,0,649,649,0,2,2
110,"Govt:Boys Primary School Hassan ke Gamey Khan(Combined)","Hassan key GameyKhan",210030701,294,182,476,1,1,2
"",,Kund Nain singh,210030702,85,59,144,,,
"",,Kund Malay kay,210030703,74,69,143,,,
11,Govt:Boys Primary School Gadai Shah           (Combined),Gadai Shah,210030704,749,528,1277,2,1,3
112,Govt:Boys Primary School Noora Ahlooka           (Male),Noora Ahlooka,210030705,319,0,319,2,0,2
"",,Amira,210030706,174,0,174,,,
"",,Sohara,210030707,229,0,229,,,
"",,Dadu Ahlooka,210030805,312,0,312,,,
113,Govt:Boys Primary School Noora Ahlooka        (Female),Noora Ahlooka,210030705,0,235,235,0,2,2
"",,Amira,210030706,0,153,153,,,
"",,Sohara,210030707,0,141,141,,,
"",,Dadu Ahlooka,210030805,0,233,233,,,
114,"Govt:Boys Middle School, Malik Bahawal (East)(Combined)",Malik Bahawal,210030801,418,343,761,1,1,2
"",,Malik Bahawal,210030802,250,161,411,,,
115,Govt:Boys Primary School Kuhnd Mahar Kalan (Combined),"Kund Saddu HaidarMalkana",210030804,241,177,418,1,1,2
"",,Kund Mahar Kalan,210030904,96,74,170,,,
116,"Govt:Boys Middle School, Chak Malik Bhawal (West)(Combined)",Chak Amira Ahlooka,210030806,192,136,328,1,1,2
"",,Chak Amira Ahlooka,210030807,295,193,488,,,
117,"Govt:Boys Primary School Malik  Rehmoon  (Malik Bhawal)(Combined)",Bahmani,210030803,297,199,496,1,1,2
"",,Malik Rahmoon,210030905,281,234,515,,,
118,"Govt:Boys Middle School, 41/SP  (Combined)",Chak 41/SP,210030301,497,323,820,1,1,2
119,Govt:Boys Primary School 40/SP         (Combined),Chak 40/SP,210030302,778,544,1322,2,1,3
120,"Govt:Girls Primary School, 40/SP   (Combined)",Chak 40/SP,210030303,313,246,559,2,1,3
"",,Chak 40/SP,210030304,351,254,605,,,
121,"Govt:Girls  High School, 39/SP    (Male)",Chak 39/SP,210030305,306,0,306,2,0,2
"",,Chak 39/SP,210030306,650,0,650,,,
122,"Govt:Girls  High School, 39/SP                     (Female)",Chak 39/SP,210030305,0,234,234,0,2,2
"",,Chak 39/SP,210030306,0,538,538,,,
123,"Govt:Boys High School, 39/SP             (Combined)",Chak 39/SP,210030307,456,334,790,1,1,2
124,"Govt:Boys Middle School, Moosay Wal   (Combined)",Moosay Wal,210030401,160,114,274,2,1,3
Moosay Wal,210030402,185,162,347,,,,,
Moosay Wal,210030403,367,288,655,,,,,
Moosay Wal,210030404,240,173,413,,,,,
"",,Chak 7/SP,210030406,245,170,415,,,
126,Govt:Boys Primary School 8/SP              (Combined),Chak 8/SP,210030407,177,134,311,1,1,2
"",,Chak 8/SP,210030408,433,352,785,,,
127,Govt:Boys Primary School 9/SP            (Combined),Chak 9/SP,210030409,150,115,265,2,1,3
"",,Chak 9/SP,210030410,294,192,486,,,
"",,Chak 9/SP,210030411,185,145,330,,,
"",,Chak 9/SP,210030412,261,173,434,,,
128,Govt:Girls Primary School 38/SP           (Combined),Chak 38/SP,210030413,585,434,1019,2,2,4
"",,Chak 38/SP,210030414,414,310,724,,,
129,"Govt:Boys Middle School, Farid Kot (East)            (Male)",Baghar Mehtey Ka,210030502,109,0,109,3,0,3
"",,Aalam Mehtey Ka,210030503,179,0,179,,,
"",,Arazi Kham Tehsil,210030504,28,0,28,,,
"",,Farid Kot,210030506,326,0,326,,,
"",,Farid Kot,210030507,427,0,427,,,
"",,Farid Kot,210030508,346,0,346,,,
"",,Farid Kot,210030509,130,0,130,,,
"",,Farid Kot,210030510,60,0,60,,,
130,"Govt:Boys Middle School, Farid Kot (West) (Female)",Baghar Mehtey Ka,210030502,0,79,79,0,2,2
"",,Aalam Mehtey Ka,210030503,0,127,127,,,
"",,Arazi Kham Tehsil,210030504,0,16,16,,,
"",,Farid Kot,210030506,0,248,248,,,
"",,Farid Kot,210030507,0,316,316,,,
"",,Farid Kot,210030508,0,215,215,,,
"",,Farid Kot,210030509,0,89,89,,,
"",,Farid Kot,210030510,0,35,35,,,
131,"Govt:Boys Primary School Mustaqeem Mehmoonka(Combined)",Bonga Bloach,210030901,116,100,216,2,1,3
"",,"MustaqeemMehmoonka",210030902,139,119,258,,,
"",,Jahana Mehmonka,210030906,49,33,82,,,
"",,Kirpa Ram,210031002,236,173,409,,,
"",,Rehmani Malkana,210031104,221,179,400,,,
"",,Rehmani Malkana,210031105,45,34,79,,,
132,Govt:Boys Primary School Bohar             (Combined),Bohar,210030903,532,384,916,1,1,2
Meer Khan Mahmooka,210030907,73,71,144,,,,,
Panch,210030908,236,182,418,,,,,
"",,Panch,210030910,245,200,445,,,
"",,Panch,210030911,194,115,309,,,
134,Govt:Boys Primary School Jagga Bloach         (Combined),Jagga Bloach,210031001,378,249,627,1,1,2
"",,Lakhwera,210031004,331,228,559,,,
135,Govt: Boys Model Primary School Bakar kay (Combined),Saddu Haider Malkana,210031003,616,518,1134,2,2,4
"",,Arazi Jind Karm,210031005,192,188,380,,,
"",,Khalita,210031006,46,29,75,,,
"",,Kalanchi,210031007,60,28,88,,,
"",,Nabi Bakhsh,210031008,13,16,29,,,
"",,Qadir Bakhsh Bloch,210031009,7,5,12,,,
136,Govt:Boys Primary School Khola Utam Singh (Combined),Chak 5/KB,210031101,195,141,336,1,1,2
"",,Khola Utam Singh,210031102,329,287,616,,,
"",,Arazi Jhajhal Bhag,210031103,44,20,64,,,
"",,Khaggay Wala,210031106,20,14,34,,,
137,"Govt:Boys Middle School, Rakh Pakpattan        (Male)",Rakh Pakpattan,210010205,300,0,300,2,0,2
"",,Rakh Pakpattan,210010209,293,0,293,,,
"",,Rakh Pakpattan,210010211,110,0,110,,,
"",,Rakh Pakpattan,210010212,350,0,350,,,
"",,Rakh Pakpattan,210010210,159,0,159,,,
138,"Govt:Boys Middle School, Rakh Pakpattan  (Female)",Rakh Pakpattan,210010205,0,204,204,0,2,2
"",,Rakh Pakpattan,210010209,0,210,210,,,
"",,Rakh Pakpattan,210010211,0,84,84,,,
"",,Rakh Pakpattan,210010212,0,284,284,,,
"",,Rakh Pakpattan,210010210,0,114,114,,,
139,"Govt:Girls Primary School, Rakh pakpattan  (Combined)",Rakh Pakpattan,210010206,557,458,1015,2,2,4
"",,Rakh Pakpattan,210010207,361,254,615,,,
"",,Rakh Pakpattan,210010208,181,128,309,,,
140,"Govt:Boys Middle School, 13/SP            (Combined)",Chak 13/SP,210010606,167,112,279,2,2,4
"",,Chak 13/SP,210010607,655,567,1222,,,
141,"Govt:Girl Primary School, 13/SP             (Combined)",Chak 13/SP,210010608,450,367,817,1,1,2
"",,Chak 13/SP,210010609,100,66,166,,,
142,"Govt:Boys Primary School, 16/SP Mardana    (Male)",Chak 16/SP,210010201,276,0,276,3,0,3
Chak 16/SP,210010202,484,0,484,,,,,
Chak 16/SP,210010203,458,0,458,,,,,
Chak 16/SP,210010204,365,0,365,,,,,
143,"Govt:Girls Primary School, 16/SP (Feamel)",Chak 16/SP,210010202,0,408,408,0,2,2
"",,Chak 16/SP,210010203,0,314,314,,,
"",,Chak 16/SP,210010204,0,288,288,,,
144,"Govt:Girls High School, 17/SP     (Male)",Chak 17/SP,210010601,577,0,577,2,0,2
"",,Chak 17/SP,210010602,577,0,577,,,
"",,Chak 17/SP,210010604,199,0,199,,,
145,Govt:Boys Primary School 17/SP           (Female),Chak 17/SP,210010601,0,404,404,0,2,2
"",,Chak 17/SP,210010602,0,384,384,,,
"",,Chak 17/SP,210010604,0,127,127,,,
146,"(72)Govt:Girls High School, 17/SP           (Combined)",Chak 17/SP,210010603,462,373,835,2,1,3
"",,Chak 17/SP,210010605,254,195,449,,,
147,"Govt:Boys  Middle School, Karm Pur Bhatti    (Male)",Karm Pur Bhatti,210010401,233,0,233,2,0,2
"",,Karm Pur Bhatti,210010402,491,0,491,,,
"",,Karm Pur Bhatti,210010403,331,0,331,,,
148,"(103)Govt:Boys  Middle School, Karm Pur Bhatti   (Female)",Karm Pur Bhatti,210010401,0,203,203,0,2,2
"",,Karm Pur Bhatti,210010402,0,434,434,,,
"",,Karm Pur Bhatti,210010403,0,244,244,,,
149,"Govt:Girls Primary School, Hafiz Sidique     (Combined)",Hafiz Siddiq,210010408,507,388,895,1,1,2
150,"Govt: Boys Primary School,  Jandoo wala  (Combined)",Jandoo Wal,210010404,319,179,498,1,1,2
"",,Cheena,210010405,96,71,167,,,
151,"Govt.Boys High School, Basti Ghulam Qadir (Combined)",Ghulam Qadir,210010407,413,272,685,1,1,2
152,"Govt: Boys Primary School, Ghulam Shah Bodla(Combined)",Bodla,210010406,563,473,1036,1,1,2
153,"Govt:Boys Middle School, 15/SP    (Male)",Chak 15/SP,210010303,482,0,482,2,0,2
"",,Chak 15/SP,210010304,253,0,253,,,
"",,Chak 15/SP,210010305,348,0,348,,,
